"Ethnicity","Socio-economic background","Education and training (%)","Employment (%)","NEET (%)"
"Bangladeshi","Higher professional",57.432,35.31,8.755
"","Lower working",48.556,30.609,21.422
"Chinese","Higher professional",64.374,29.416,7.57
"","Lower working",55.833,25.194,18.875
"Indian","Higher professional",56.115,37.786,7.572
"","Lower working",47.217,32.923,18.879
"Pakistani","Higher professional",60.826,32.075,8.541
"","Lower working",52.067,27.621,20.968
"Black African","Higher professional",64.495,29.361,7.787
"","Lower working",55.963,25.144,19.348
"Black Caribbean","Higher professional",44.754,44.716,10.613
"","Lower working",36.173,39.528,25.224
"Mixed","Higher professional",47.711,41.796,10.659
"","Lower working",38.962,36.722,25.316
"White British","Higher professional",33.663,56.504,9.447
"","Lower working",26.2,51.214,22.864
"White other","Higher professional",42.295,50.486,8.11
"","Lower working",33.895,45.175,20.048
"Other","Higher professional",60.853,32.735,7.914
"","Lower working",52.095,28.227,19.626
