ind_code,ind_name,area_type,area_code,area_name,time_period,seb,age,sex,category_type,category,category_type2,category2,value,sample_size,lci,uci,se,unit,value_note,Quintile
IN12,Attainment at age 11,Country,E92000001,England,202223,FSM eligible,11,Total,Ethnicity,Asian - Any other Asian,NA,NA,54,3412,NA,NA,NA,Percentage,NA,NA
IN12,Attainment at age 11,Country,E92000001,England,202223,FSM eligible,11,Total,Ethnicity,Asian - Bangladeshi,NA,NA,63,4000,NA,NA,NA,Percentage,NA,NA
IN12,Attainment at age 11,Country,E92000001,England,202223,FSM eligible,11,Total,Ethnicity,Asian - Chinese,NA,NA,71,533,NA,NA,NA,Percentage,NA,NA
IN12,Attainment at age 11,Country,E92000001,England,202223,FSM eligible,11,Total,Ethnicity,Asian - Indian,NA,NA,60,2158,NA,NA,NA,Percentage,NA,NA
IN12,Attainment at age 11,Country,E92000001,England,202223,FSM eligible,11,Total,Ethnicity,Asian - Pakistani,NA,NA,53,8968,NA,NA,NA,Percentage,NA,NA
IN12,Attainment at age 11,Country,E92000001,England,202223,FSM eligible,11,Total,Ethnicity,Black - Any other Black background,NA,NA,48,2256,NA,NA,NA,Percentage,NA,NA
IN12,Attainment at age 11,Country,E92000001,England,202223,FSM eligible,11,Total,Ethnicity,Black - Black African,NA,NA,58,10289,NA,NA,NA,Percentage,NA,NA
IN12,Attainment at age 11,Country,E92000001,England,202223,FSM eligible,11,Total,Ethnicity,Black - Black Caribbean,NA,NA,43,3048,NA,NA,NA,Percentage,NA,NA
IN12,Attainment at age 11,Country,E92000001,England,202223,FSM eligible,11,Total,Ethnicity,Mixed - Any other Mixed background,NA,NA,50,5198,NA,NA,NA,Percentage,NA,NA
IN12,Attainment at age 11,Country,E92000001,England,202223,FSM eligible,11,Total,Ethnicity,Mixed - White and Asian,NA,NA,52,2585,NA,NA,NA,Percentage,NA,NA
IN12,Attainment at age 11,Country,E92000001,England,202223,FSM eligible,11,Total,Ethnicity,Mixed - White and Black African,NA,NA,51,2272,NA,NA,NA,Percentage,NA,NA
IN12,Attainment at age 11,Country,E92000001,England,202223,FSM eligible,11,Total,Ethnicity,Mixed - White and Black Caribbean,NA,NA,41,5403,NA,NA,NA,Percentage,NA,NA
IN12,Attainment at age 11,Country,E92000001,England,202223,FSM eligible,11,Total,Ethnicity,White - Any other White background,NA,NA,42,10145,NA,NA,NA,Percentage,NA,NA
IN12,Attainment at age 11,Country,E92000001,England,202223,FSM eligible,11,Total,Ethnicity,White - Gypsy or Roma,NA,NA,14,1463,NA,NA,NA,Percentage,NA,NA
IN12,Attainment at age 11,Country,E92000001,England,202223,FSM eligible,11,Total,Ethnicity,White - Irish,NA,NA,39,377,NA,NA,NA,Percentage,NA,NA
IN12,Attainment at age 11,Country,E92000001,England,202223,FSM eligible,11,Total,Ethnicity,White - Traveller of Irish heritage,NA,NA,18,433,NA,NA,NA,Percentage,NA,NA
IN12,Attainment at age 11,Country,E92000001,England,202223,FSM eligible,11,Total,Ethnicity,White - White British,NA,NA,40,112127,NA,NA,NA,Percentage,NA,NA
