ind_code,ind_name,area_type,area_code,area_name,time_period,seb,age,sex,category_type,category,category_type2,category2,value,sample_size,lci,uci,se,unit,value_note,Quintile
IN12,Attainment at age 11,Country,E92000001,England,201516,Total,11,Boys,NA,NA,NA,NA,50,298975,NA,NA,NA,Percentage,NA,NA
IN12,Attainment at age 11,Country,E92000001,England,201516,Total,11,Girls,NA,NA,NA,NA,57,286605,NA,NA,NA,Percentage,NA,NA
IN12,Attainment at age 11,Country,E92000001,England,201516,Total,11,Total,NA,NA,NA,NA,53,585580,NA,NA,NA,Percentage,NA,NA
IN12,Attainment at age 11,Country,E92000001,England,201516,Disadvantaged,11,Boys,NA,NA,NA,NA,36,94841,NA,NA,NA,Percentage,NA,NA
IN12,Attainment at age 11,Country,E92000001,England,201516,Disadvantaged,11,Girls,NA,NA,NA,NA,43,91662,NA,NA,NA,Percentage,NA,NA
IN12,Attainment at age 11,Country,E92000001,England,201516,Disadvantaged,11,Total,NA,NA,NA,NA,39,186503,NA,NA,NA,Percentage,NA,NA
IN12,Attainment at age 11,Country,E92000001,England,201516,Not known to be disadvantaged,11,Boys,NA,NA,NA,NA,56,204134,NA,NA,NA,Percentage,NA,NA
IN12,Attainment at age 11,Country,E92000001,England,201516,Not known to be disadvantaged,11,Girls,NA,NA,NA,NA,64,194943,NA,NA,NA,Percentage,NA,NA
IN12,Attainment at age 11,Country,E92000001,England,201516,Not known to be disadvantaged,11,Total,NA,NA,NA,NA,60,399077,NA,NA,NA,Percentage,NA,NA
IN12,Attainment at age 11,Country,E92000001,England,201516,FSM eligible,11,Boys,NA,NA,NA,NA,32,46532,NA,NA,NA,Percentage,NA,NA
IN12,Attainment at age 11,Country,E92000001,England,201516,FSM eligible,11,Girls,NA,NA,NA,NA,39,44407,NA,NA,NA,Percentage,NA,NA
IN12,Attainment at age 11,Country,E92000001,England,201516,FSM eligible,11,Total,NA,NA,NA,NA,35,90939,NA,NA,NA,Percentage,NA,NA
IN12,Attainment at age 11,Country,E92000001,England,201516,Not known to be FSM eligible,11,Boys,NA,NA,NA,NA,53,252443,NA,NA,NA,Percentage,NA,NA
IN12,Attainment at age 11,Country,E92000001,England,201516,Not known to be FSM eligible,11,Girls,NA,NA,NA,NA,61,242198,NA,NA,NA,Percentage,NA,NA
IN12,Attainment at age 11,Country,E92000001,England,201516,Not known to be FSM eligible,11,Total,NA,NA,NA,NA,57,494641,NA,NA,NA,Percentage,NA,NA
IN12,Attainment at age 11,Country,E92000001,England,201617,Total,11,Boys,NA,NA,NA,NA,57,305949,NA,NA,NA,Percentage,NA,NA
