Region,Percentage (%)
Bedfordshire and Hertfordshire,40.438
"Berkshire, Buckinghamshire and Oxfordshire",48.596
Cheshire,44.817
Cornwall and Isles of Scilly,30.567
Cumbria,26.845
Derbyshire and Nottinghamshire,30.126
Devon,34.564
Dorset and Somerset,32.867
East Anglia,30.572
East Wales,36.141
East Yorkshire and Northern Lincolnshire,24.894
Eastern Scotland,39.214
Essex,28.96
"Gloucestershire, Wiltshire and Bath/Bristol area",39.933
Greater Manchester,33.632
Hampshire and Isle of Wight,36.91
"Herefordshire, Worcestershire and Warwickshire",35.585
Highlands and Islands,33.043
Inner London - East,47.254
Inner London - West,65.444
Kent,32.625
Lancashire,28.026
"Leicestershire, Rutland and Northamptonshire",30.27
Lincolnshire,22.979
Merseyside,31.836
North Eastern Scotland,38.208
North Yorkshire,36.524
Northern Ireland,30.804
"Northumberland, and Tyne and Wear",28.535
Outer London - East and North East,41.295
Outer London - South,49.266
Outer London - West and North West,50.681
Shropshire and Staffordshire,28.679
South Yorkshire,27.541
Southern Scotland,28.512
"Surrey, East and West Sussex",43.115
Tees Valley and Durham,24.719
West Central Scotland,32.167
West Midlands,28.131
West Wales and The Valleys,26.957
West Yorkshire,29.714
