"Region","Percentage (%)"
"Bedfordshire and Hertfordshire",13.497
"Berkshire, Buckinghamshire and Oxfordshire",18.128
"Cheshire",15.744
"Cornwall and Isles of Scilly",9.708
"Cumbria",10.244
"Derbyshire and Nottinghamshire",10.205
"Devon",11.273
"Dorset and Somerset",10.854
"East Anglia",11.312
"East Wales",13.957
"East Yorkshire and Northern Lincolnshire",7.361
"Eastern Scotland",15.002
"Essex",9.37
"Gloucestershire, Wiltshire and Bath/Bristol area",14.844
"Greater Manchester",11.611
"Hampshire and Isle of Wight",11.895
"Herefordshire, Worcestershire and Warwickshire",11.936
"Highlands and Islands",8.577
"Inner London - East",25.097
"Inner London - West",32.026
"Kent",10.315
"Lancashire",10.02
"Leicestershire, Rutland and Northamptonshire",10.242
"Lincolnshire",7.171
"Merseyside",10.317
"North Eastern Scotland",14.636
"North Yorkshire",14.154
"Northern Ireland",9.763
"Northumberland, and Tyne and Wear",10.459
"Outer London - East and North East",15.484
"Outer London - South",20.068
"Outer London - West and North West",21.421
"Shropshire and Staffordshire",9.453
"South Yorkshire",12.302
"Southern Scotland",6.868
"Surrey, East and West Sussex",14.716
"Tees Valley and Durham",8.246
"West Central Scotland",12.338
"West Midlands",10.627
"West Wales and The Valleys",9.991
"West Yorkshire",10.584
