Region,Percentage point difference
Bedfordshire and Hertfordshire,-1.97
"Berkshire, Buckinghamshire and Oxfordshire",-1.03
Cheshire,-0.37
Cornwall and Isles of Scilly,-2.53
Cumbria,-1.95
Derbyshire and Nottinghamshire,-0.83
Devon,-2.23
Dorset and Somerset,1.00E-02
East Anglia,0.64
East Wales,-3.41
East Yorkshire and Northern Lincolnshire,-1.16
Eastern Scotland,-0.2
Essex,-3.14
"Gloucestershire, Wiltshire and Bath/Bristol area",-0.36
Greater Manchester,-1.91
Hampshire and Isle of Wight,-2.86
"Herefordshire, Worcestershire and Warwickshire",-1.85
Highlands and Islands,-6.1
Inner London - East,-0.91
Inner London - West,0
Kent,-1.47
Lancashire,-2.8
"Leicestershire, Rutland and Northamptonshire",-3.21
Lincolnshire,0.25
Merseyside,-2.29
North Eastern Scotland,0.1
North Yorkshire,-2.61
Northern Ireland,2.12
Northumberland and Tyne and Wear,-0.5
Outer London - East and North East,-3.21
Outer London - South,-1.58
Outer London - West and North West,-4.32
Shropshire and Staffordshire,-0.57
South Yorkshire,-1.08
Southern Scotland,-1.24
"Surrey, East and West Sussex",-1.93
Tees Valley and Durham,-0.29
West Central Scotland,-0.59
West Midlands,-2.66
West Wales and The Valleys,-0.9
West Yorkshire,-1.34
