Region,Percentage (%)
Bedfordshire and Hertfordshire,12.4
"Berkshire, Buckinghamshire and Oxfordshire",11.8
Cheshire,10.8
Cornwall and Isles of Scilly,12.6
Cumbria,10.9
Derbyshire and Nottinghamshire,16
Devon,12.2
Dorset and Somerset,11.7
East Anglia,13.8
East Wales,14.3
East Yorkshire and Northern Lincolnshire,18.5
Eastern Scotland,12.2
Essex,10.7
"Gloucestershire, Wiltshire and Bath/Bristol area",10.5
Greater Manchester,18.9
Hampshire and Isle of Wight,12.7
"Herefordshire, Worcestershire and Warwickshire",10.9
Highlands and Islands,4.2
Inner London - East,24.5
Inner London - West,24.3
Kent,14.9
Lancashire,11.7
"Leicestershire, Rutland and Northamptonshire",15.7
Lincolnshire,13.5
Merseyside,11.5
North Eastern Scotland,13.1
North Yorkshire,10.4
Northern Ireland,9.5
Northumberland and Tyne and Wear,15.7
Outer London - East and North East,18.2
Outer London - South,23
Outer London - West and North West,21.7
Shropshire and Staffordshire,13.3
South Yorkshire,12.8
Southern Scotland,15
"Surrey, East and West Sussex",11.5
Tees Valley and Durham,15.8
West Central Scotland,10.6
West Midlands,17.4
West Wales and The Valleys,12.6
West Yorkshire,15.7
