"Region","Lower working (%)","Higher professional (%)"
"Bedfordshire and Hertfordshire",12.864,16.08
"Berkshire, Buckinghamshire and Oxfordshire",12.485,19.639
"Cheshire",13.834,15.319
"Cornwall and Isles of Scilly",20.087,8.516
"Cumbria",15.702,8.516
"Derbyshire and Nottinghamshire",15.036,13.716
"Devon",13.126,11.677
"Dorset and Somerset",14.782,11.336
"East Anglia",15.473,11.951
"East Wales",12.848,13.667
"East Yorkshire and Northern Lincolnshire",20.436,9.152
"Eastern Scotland",17.772,12.823
"Essex",11.271,14.157
"Gloucestershire, Wiltshire and Bath/Bristol area",11.675,15.23
"Greater Manchester",15.249,15.484
"Hampshire and Isle of Wight",12.339,13.619
"Herefordshire, Worcestershire and Warwickshire",13.004,13.237
"Highlands and Islands",20.13,5.692
"Inner London - East",10.675,24.483
"Inner London - West",8.007,32.984
"Kent",12.804,10.928
"Lancashire",14.899,9.328
"Leicestershire, Rutland and Northamptonshire",14.878,12.963
"Lincolnshire",13.865,7.718
"Merseyside",12.511,12.343
"North Eastern Scotland",22.43,9.706
"North Yorkshire",12.467,14.541
"Northern Ireland",18.452,12.832
"Northumberland, and Tyne and Wear",17.594,11.227
"Outer London - East and North East",11.826,16.755
"Outer London - South",12.49,21.918
"Outer London - West and North West",12.947,18.853
"Shropshire and Staffordshire",17.628,10.892
"South Yorkshire",18.519,11.523
"Southern Scotland",18.919,7.705
"Surrey, East and West Sussex",12.334,15.694
"Tees Valley and Durham",19.035,9.019
"West Central Scotland",21.049,14.044
"West Midlands",17.278,12.819
"West Wales and The Valleys",17.301,7.407
"West Yorkshire",17.513,12.866
