"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","seb_three_cat"
"dr33","Type of employment opportunities for young people","geography_caterpillar","TLH2","ITL2","Bedfordshire and Hertfordshire","sec_employed","Higher professional","itl2_current_geo","Bedfordshire and Hertfordshire","quintile",5,,,"2014-2024",16.08,14.192,18.146,1375,"Percent",,
"dr33","Type of employment opportunities for young people","geography_caterpillar","TLH2","ITL2","Berkshire, Buckinghamshire and Oxfordshire","sec_employed","Higher professional","itl2_current_geo","Berkshire, Buckinghamshire and Oxfordshire","quintile",5,,,"2014-2024",19.639,17.826,21.533,1815,"Percent",,
"dr33","Type of employment opportunities for young people","geography_caterpillar","TLH2","ITL2","Cheshire","sec_employed","Higher professional","itl2_current_geo","Cheshire","quintile",4,,,"2014-2024",15.319,12.968,18.061,808,"Percent",,
"dr33","Type of employment opportunities for young people","geography_caterpillar","TLH2","ITL2","Cornwall and Isles of Scilly","sec_employed","Higher professional","itl2_current_geo","Cornwall and Isles of Scilly","quintile",1,,,"2014-2024",8.516,6.171,11.503,460,"Percent",,
"dr33","Type of employment opportunities for young people","geography_caterpillar","TLH2","ITL2","Cumbria","sec_employed","Higher professional","itl2_current_geo","Cumbria","quintile",1,,,"2014-2024",8.516,6.329,11.521,489,"Percent",,
"dr33","Type of employment opportunities for young people","geography_caterpillar","TLH2","ITL2","Derbyshire and Nottinghamshire","sec_employed","Higher professional","itl2_current_geo","Derbyshire and Nottinghamshire","quintile",4,,,"2014-2024",13.716,12.209,15.392,1858,"Percent",,
"dr33","Type of employment opportunities for young people","geography_caterpillar","TLH2","ITL2","Devon","sec_employed","Higher professional","itl2_current_geo","Devon","quintile",2,,,"2014-2024",11.677,9.723,14.05,896,"Percent",,
"dr33","Type of employment opportunities for young people","geography_caterpillar","TLH2","ITL2","Dorset and Somerset","sec_employed","Higher professional","itl2_current_geo","Dorset and Somerset","quintile",2,,,"2014-2024",11.336,9.559,13.471,1064,"Percent",,
"dr33","Type of employment opportunities for young people","geography_caterpillar","TLH2","ITL2","East Anglia","sec_employed","Higher professional","itl2_current_geo","East Anglia","quintile",2,,,"2014-2024",11.951,10.626,13.397,2177,"Percent",,
"dr33","Type of employment opportunities for young people","geography_caterpillar","TLH2","ITL2","East Wales","sec_employed","Higher professional","itl2_current_geo","East Wales","quintile",4,,,"2014-2024",13.667,11.513,16.153,885,"Percent",,
"dr33","Type of employment opportunities for young people","geography_caterpillar","TLH2","ITL2","East Yorkshire and Northern Lincolnshire","sec_employed","Higher professional","itl2_current_geo","East Yorkshire and Northern Lincolnshire","quintile",1,,,"2014-2024",9.152,7.288,11.498,773,"Percent",,
"dr33","Type of employment opportunities for young people","geography_caterpillar","TLH2","ITL2","Eastern Scotland","sec_employed","Higher professional","itl2_current_geo","Eastern Scotland","quintile",3,,,"2014-2024",12.823,11.301,14.551,1690,"Percent",,
"dr33","Type of employment opportunities for young people","geography_caterpillar","TLH2","ITL2","Essex","sec_employed","Higher professional","itl2_current_geo","Essex","quintile",4,,,"2014-2024",14.157,12.414,16.113,1419,"Percent",,
"dr33","Type of employment opportunities for young people","geography_caterpillar","TLH2","ITL2","Gloucestershire, Wiltshire and Bath/Bristol area","sec_employed","Higher professional","itl2_current_geo","Gloucestershire, Wiltshire and Bath/Bristol area","quintile",4,,,"2014-2024",15.23,13.759,16.805,2201,"Percent",,
"dr33","Type of employment opportunities for young people","geography_caterpillar","TLH2","ITL2","Greater Manchester","sec_employed","Higher professional","itl2_current_geo","Greater Manchester","quintile",4,,,"2014-2024",15.484,14.082,16.984,2455,"Percent",,
"dr33","Type of employment opportunities for young people","geography_caterpillar","TLH2","ITL2","Hampshire and Isle of Wight","sec_employed","Higher professional","itl2_current_geo","Hampshire and Isle of Wight","quintile",3,,,"2014-2024",13.619,11.9,15.48,1464,"Percent",,
"dr33","Type of employment opportunities for young people","geography_caterpillar","TLH2","ITL2","Herefordshire, Worcestershire and Warwickshire","sec_employed","Higher professional","itl2_current_geo","Herefordshire, Worcestershire and Warwickshire","quintile",3,,,"2014-2024",13.237,11.356,15.318,1173,"Percent",,
"dr33","Type of employment opportunities for young people","geography_caterpillar","TLH2","ITL2","Highlands and Islands","sec_employed","Higher professional","itl2_current_geo","Highlands and Islands","quintile",1,,,"2014-2024",5.692,3.05,9.785,215,"Percent",,
"dr33","Type of employment opportunities for young people","geography_caterpillar","TLH2","ITL2","Inner London - East","sec_employed","Higher professional","itl2_current_geo","Inner London - East","quintile",5,,,"2014-2024",24.483,22.632,26.444,2005,"Percent",,
"dr33","Type of employment opportunities for young people","geography_caterpillar","TLH2","ITL2","Inner London - West","sec_employed","Higher professional","itl2_current_geo","Inner London - West","quintile",5,,,"2014-2024",32.984,29.632,36.422,762,"Percent",,
"dr33","Type of employment opportunities for young people","geography_caterpillar","TLH2","ITL2","Kent","sec_employed","Higher professional","itl2_current_geo","Kent","quintile",2,,,"2014-2024",10.928,9.183,12.88,1147,"Percent",,
"dr33","Type of employment opportunities for young people","geography_caterpillar","TLH2","ITL2","Lancashire","sec_employed","Higher professional","itl2_current_geo","Lancashire","quintile",1,,,"2014-2024",9.328,7.811,11.05,1300,"Percent",,
"dr33","Type of employment opportunities for young people","geography_caterpillar","TLH2","ITL2","Leicestershire, Rutland and Northamptonshire","sec_employed","Higher professional","itl2_current_geo","Leicestershire, Rutland and Northamptonshire","quintile",3,,,"2014-2024",12.963,11.373,14.694,1630,"Percent",,
"dr33","Type of employment opportunities for young people","geography_caterpillar","TLH2","ITL2","Lincolnshire","sec_employed","Higher professional","itl2_current_geo","Lincolnshire","quintile",1,,,"2014-2024",7.718,5.753,10.154,612,"Percent",,
"dr33","Type of employment opportunities for young people","geography_caterpillar","TLH2","ITL2","Merseyside","sec_employed","Higher professional","itl2_current_geo","Merseyside","quintile",3,,,"2014-2024",12.343,10.514,14.416,1143,"Percent",,
"dr33","Type of employment opportunities for young people","geography_caterpillar","TLH2","ITL2","North Eastern Scotland","sec_employed","Higher professional","itl2_current_geo","North Eastern Scotland","quintile",2,,,"2014-2024",9.706,7.106,13.087,412,"Percent",,
"dr33","Type of employment opportunities for young people","geography_caterpillar","TLH2","ITL2","North Yorkshire","sec_employed","Higher professional","itl2_current_geo","North Yorkshire","quintile",4,,,"2014-2024",14.541,12.155,17.429,726,"Percent",,
"dr33","Type of employment opportunities for young people","geography_caterpillar","TLH2","ITL2","Northern Ireland","sec_employed","Higher professional","itl2_current_geo","Northern Ireland","quintile",3,,,"2014-2024",12.832,11.732,14.043,3309,"Percent",,
"dr33","Type of employment opportunities for young people","geography_caterpillar","TLH2","ITL2","Northumberland, and Tyne and Wear","sec_employed","Higher professional","itl2_current_geo","Northumberland, and Tyne and Wear","quintile",2,,,"2014-2024",11.227,9.579,13.058,1321,"Percent",,
"dr33","Type of employment opportunities for young people","geography_caterpillar","TLH2","ITL2","Outer London - East and North East","sec_employed","Higher professional","itl2_current_geo","Outer London - East and North East","quintile",5,,,"2014-2024",16.755,14.824,18.934,1317,"Percent",,
"dr33","Type of employment opportunities for young people","geography_caterpillar","TLH2","ITL2","Outer London - South","sec_employed","Higher professional","itl2_current_geo","Outer London - South","quintile",5,,,"2014-2024",21.918,19.426,24.6,1018,"Percent",,
"dr33","Type of employment opportunities for young people","geography_caterpillar","TLH2","ITL2","Outer London - West and North West","sec_employed","Higher professional","itl2_current_geo","Outer London - West and North West","quintile",5,,,"2014-2024",18.853,16.682,21.187,1200,"Percent",,
"dr33","Type of employment opportunities for young people","geography_caterpillar","TLH2","ITL2","Shropshire and Staffordshire","sec_employed","Higher professional","itl2_current_geo","Shropshire and Staffordshire","quintile",2,,,"2014-2024",10.892,9.257,12.769,1267,"Percent",,
"dr33","Type of employment opportunities for young people","geography_caterpillar","TLH2","ITL2","South Yorkshire","sec_employed","Higher professional","itl2_current_geo","South Yorkshire","quintile",2,,,"2014-2024",11.523,9.851,13.494,1238,"Percent",,
"dr33","Type of employment opportunities for young people","geography_caterpillar","TLH2","ITL2","Southern Scotland","sec_employed","Higher professional","itl2_current_geo","Southern Scotland","quintile",1,,,"2014-2024",7.705,5.841,10.016,677,"Percent",,
"dr33","Type of employment opportunities for young people","geography_caterpillar","TLH2","ITL2","Surrey, East and West Sussex","sec_employed","Higher professional","itl2_current_geo","Surrey, East and West Sussex","quintile",5,,,"2014-2024",15.694,14.046,17.448,1812,"Percent",,
"dr33","Type of employment opportunities for young people","geography_caterpillar","TLH2","ITL2","Tees Valley and Durham","sec_employed","Higher professional","itl2_current_geo","Tees Valley and Durham","quintile",1,,,"2014-2024",9.019,7.334,11.092,951,"Percent",,
"dr33","Type of employment opportunities for young people","geography_caterpillar","TLH2","ITL2","West Central Scotland","sec_employed","Higher professional","itl2_current_geo","West Central Scotland","quintile",4,,,"2014-2024",14.044,12.211,16.13,1259,"Percent",,
"dr33","Type of employment opportunities for young people","geography_caterpillar","TLH2","ITL2","West Midlands","sec_employed","Higher professional","itl2_current_geo","West Midlands","quintile",3,,,"2014-2024",12.819,11.439,14.337,2114,"Percent",,
"dr33","Type of employment opportunities for young people","geography_caterpillar","TLH2","ITL2","West Wales and The Valleys","sec_employed","Higher professional","itl2_current_geo","West Wales and The Valleys","quintile",1,,,"2014-2024",7.407,6.187,8.851,1565,"Percent",,
"dr33","Type of employment opportunities for young people","geography_caterpillar","TLH2","ITL2","West Yorkshire","sec_employed","Higher professional","itl2_current_geo","West Yorkshire","quintile",3,,,"2014-2024",12.866,11.519,14.388,2165,"Percent",,
