"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","seb_three_cat"
"dr33","Type of employment opportunities for young people","trend","K02000001","country","United Kingdom","sec_employed","Lower working","year","2014",,,,,"2014-2024",15.515,14.646,16.426,6471,"Percent",,
"dr33","Type of employment opportunities for young people","trend","K02000001","country","United Kingdom","sec_employed","Lower working","year","2015",,,,,"2014-2024",15.374,14.502,16.3,6294,"Percent",,
"dr33","Type of employment opportunities for young people","trend","K02000001","country","United Kingdom","sec_employed","Lower working","year","2016",,,,,"2014-2024",14.264,13.401,15.169,6121,"Percent",,
"dr33","Type of employment opportunities for young people","trend","K02000001","country","United Kingdom","sec_employed","Lower working","year","2017",,,,,"2014-2024",14.874,13.982,15.811,5930,"Percent",,
"dr33","Type of employment opportunities for young people","trend","K02000001","country","United Kingdom","sec_employed","Lower working","year","2018",,,,,"2014-2024",13.759,12.87,14.691,5605,"Percent",,
"dr33","Type of employment opportunities for young people","trend","K02000001","country","United Kingdom","sec_employed","Lower working","year","2019",,,,,"2014-2024",13.007,12.132,13.923,5530,"Percent",,
"dr33","Type of employment opportunities for young people","trend","K02000001","country","United Kingdom","sec_employed","Lower working","year","2020",,,,,"2014-2024",12.745,11.713,13.854,3821,"Percent",,
"dr33","Type of employment opportunities for young people","trend","K02000001","country","United Kingdom","sec_employed","Lower working","year","2021",,,,,"2014-2024",15.71,14.722,16.756,5015,"Percent",,
"dr33","Type of employment opportunities for young people","trend","K02000001","country","United Kingdom","sec_employed","Lower working","year","2022",,,,,"2014-2024",16.646,15.481,17.885,3772,"Percent",,
"dr33","Type of employment opportunities for young people","trend","K02000001","country","United Kingdom","sec_employed","Lower working","year","2023",,,,,"2014-2024",15.564,14.088,17.14,2231,"Percent",,
"dr33","Type of employment opportunities for young people","trend","K02000001","country","United Kingdom","sec_employed","Lower working","year","2024",,,,,"2014-2024",14.215,13.062,15.448,3377,"Percent",,
"dr33","Type of employment opportunities for young people","trend","K02000001","country","United Kingdom","sec_employed","Higher working","year","2014",,,,,"2014-2024",25.056,24.002,26.128,6471,"Percent",,
"dr33","Type of employment opportunities for young people","trend","K02000001","country","United Kingdom","sec_employed","Higher working","year","2015",,,,,"2014-2024",24.427,23.367,25.505,6294,"Percent",,
"dr33","Type of employment opportunities for young people","trend","K02000001","country","United Kingdom","sec_employed","Higher working","year","2016",,,,,"2014-2024",25.815,24.724,26.932,6121,"Percent",,
"dr33","Type of employment opportunities for young people","trend","K02000001","country","United Kingdom","sec_employed","Higher working","year","2017",,,,,"2014-2024",24.709,23.615,25.827,5930,"Percent",,
"dr33","Type of employment opportunities for young people","trend","K02000001","country","United Kingdom","sec_employed","Higher working","year","2018",,,,,"2014-2024",22.894,21.8,24.018,5605,"Percent",,
"dr33","Type of employment opportunities for young people","trend","K02000001","country","United Kingdom","sec_employed","Higher working","year","2019",,,,,"2014-2024",23.518,22.418,24.671,5530,"Percent",,
"dr33","Type of employment opportunities for young people","trend","K02000001","country","United Kingdom","sec_employed","Higher working","year","2020",,,,,"2014-2024",20.439,19.178,21.761,3821,"Percent",,
"dr33","Type of employment opportunities for young people","trend","K02000001","country","United Kingdom","sec_employed","Higher working","year","2021",,,,,"2014-2024",17.447,16.413,18.533,5015,"Percent",,
"dr33","Type of employment opportunities for young people","trend","K02000001","country","United Kingdom","sec_employed","Higher working","year","2022",,,,,"2014-2024",16.114,14.967,17.34,3772,"Percent",,
"dr33","Type of employment opportunities for young people","trend","K02000001","country","United Kingdom","sec_employed","Higher working","year","2023",,,,,"2014-2024",16.909,15.379,18.533,2231,"Percent",,
"dr33","Type of employment opportunities for young people","trend","K02000001","country","United Kingdom","sec_employed","Higher working","year","2024",,,,,"2014-2024",17.389,16.127,18.713,3377,"Percent",,
"dr33","Type of employment opportunities for young people","trend","K02000001","country","United Kingdom","sec_employed","Intermediate","year","2014",,,,,"2014-2024",21.621,20.626,22.647,6471,"Percent",,
"dr33","Type of employment opportunities for young people","trend","K02000001","country","United Kingdom","sec_employed","Intermediate","year","2015",,,,,"2014-2024",22.584,21.553,23.635,6294,"Percent",,
"dr33","Type of employment opportunities for young people","trend","K02000001","country","United Kingdom","sec_employed","Intermediate","year","2016",,,,,"2014-2024",22.402,21.363,23.468,6121,"Percent",,
"dr33","Type of employment opportunities for young people","trend","K02000001","country","United Kingdom","sec_employed","Intermediate","year","2017",,,,,"2014-2024",22.704,21.642,23.79,5930,"Percent",,
"dr33","Type of employment opportunities for young people","trend","K02000001","country","United Kingdom","sec_employed","Intermediate","year","2018",,,,,"2014-2024",22.644,21.555,23.764,5605,"Percent",,
