"Ind_code","Ind_name","Area_code","Area_name","Area_type","Age","SEB","Category_type","Category","Value","LCI","UCI","SE","Sample_size","Time_period","Unit","Value_note","Sex"
"MO41","Absolute housing mobility","K02000001","United Kingdom","Country","25-64","Owned",NA,NA,70.94329707,70.11897797,71.74120888,NA,12159,"2016-20","Percentage",NA,"Total"
"MO41","Absolute housing mobility","K02000001","United Kingdom","Country","25-64","Not owned",NA,NA,46.1839995,44.88003038,47.46609848,NA,5785,"2016-20","Percentage",NA,"Total"
"MO41","Absolute housing mobility","K02000001","United Kingdom","Country","25-64","Owned","Disability","No",73.58565724,72.54646768,74.59433353,NA,7218,"2016-20","Percentage",NA,"Total"
"MO41","Absolute housing mobility","K02000001","United Kingdom","Country","25-64","Not owned","Disability","No",53.46115495,51.52161131,55.34792869,NA,2661,"2016-20","Percentage",NA,"Total"
"MO41","Absolute housing mobility","K02000001","United Kingdom","Country","25-64","Owned","Disability","Yes",60.67430112,58.99834004,62.32084791,NA,3379,"2016-20","Percentage",NA,"Total"
"MO41","Absolute housing mobility","K02000001","United Kingdom","Country","25-64","Not owned","Disability","Yes",34.15432473,32.28659125,36.05330991,NA,2486,"2016-20","Percentage",NA,"Total"
"MO41","Absolute housing mobility","K02000001","United Kingdom","Country","25-34","Owned",NA,NA,56.28623137,53.73292829,58.79222395,NA,1514,"2016-20","Percentage",NA,"Total"
"MO41","Absolute housing mobility","K02000001","United Kingdom","Country","25-34","Not owned",NA,NA,22.16348221,18.70109688,25.72374946,NA,562,"2016-20","Percentage",NA,"Total"
"MO41","Absolute housing mobility","K02000001","United Kingdom","Country","35-44","Owned",NA,NA,69.07218431,67.32861778,70.71533707,NA,2920,"2016-20","Percentage",NA,"Total"
"MO41","Absolute housing mobility","K02000001","United Kingdom","Country","35-44","Not owned",NA,NA,37.81712556,34.66108015,41.04606429,NA,915,"2016-20","Percentage",NA,"Total"
"MO41","Absolute housing mobility","K02000001","United Kingdom","Country","45-54","Owned",NA,NA,75.05249043,73.64601037,76.38034853,NA,3921,"2016-20","Percentage",NA,"Total"
"MO41","Absolute housing mobility","K02000001","United Kingdom","Country","45-54","Not owned",NA,NA,47.93337798,45.48809917,50.37802418,NA,1642,"2016-20","Percentage",NA,"Total"
"MO41","Absolute housing mobility","K02000001","United Kingdom","Country","55-64","Owned",NA,NA,80.76680929,79.46779697,81.99896501,NA,3804,"2016-20","Percentage",NA,"Total"
"MO41","Absolute housing mobility","K02000001","United Kingdom","Country","55-64","Not owned",NA,NA,59.64306345,57.74904916,61.50957317,NA,2666,"2016-20","Percentage",NA,"Total"
"MO41","Absolute housing mobility",NA,"North East","ITL1","25-64","Owned",NA,NA,72.24072343,67.92544877,76.23555695,NA,468,"2016-20","Percentage",NA,"Total"
"MO41","Absolute housing mobility",NA,"North East","ITL1","25-64","Not owned",NA,NA,45.34926484,40.57283206,49.95571708,NA,451,"2016-20","Percentage",NA,"Total"
"MO41","Absolute housing mobility",NA,"South West","ITL1","25-64","Owned",NA,NA,72.66820735,69.94538904,75.17276364,NA,1154,"2016-20","Percentage",NA,"Total"
"MO41","Absolute housing mobility",NA,"South West","ITL1","25-64","Not owned",NA,NA,53.96334843,49.10588061,58.7102436,NA,432,"2016-20","Percentage",NA,"Total"
"MO41","Absolute housing mobility",NA,"Wales","ITL1","25-64","Owned",NA,NA,72.2035913,68.38599461,75.59557209,NA,620,"2016-20","Percentage",NA,"Total"
"MO41","Absolute housing mobility",NA,"Wales","ITL1","25-64","Not owned",NA,NA,51.93740574,46.00703086,57.65936822,NA,297,"2016-20","Percentage",NA,"Total"
"MO41","Absolute housing mobility",NA,"Scotland","ITL1","25-64","Owned",NA,NA,73.07891256,69.94046962,75.99114217,NA,857,"2016-20","Percentage",NA,"Total"
