"Value","Ind_code","Ind_name","Area_type","Area_code","Area_name","Time_period","SEB","Age","Sex","Category_type","Category","Category_type2","Category2","Sample_size","LCI","UCI","SE","Unit","Value_note"
0.301,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","No qualifications","25-64","Total","Educational level","No qualifications",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.137,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","School qualifications","25-64","Total","Educational level","No qualifications",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.131,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","Post-school qualifications","25-64","Total","Educational level","No qualifications",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.064,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","University","25-64","Total","Educational level","No qualifications",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.419,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","No qualifications","25-64","Total","Educational level","School qualifications",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.44,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","School qualifications","25-64","Total","Educational level","School qualifications",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.374,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","Post-school qualifications","25-64","Total","Educational level","School qualifications",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.201,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","University","25-64","Total","Educational level","School qualifications",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.103,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","No qualifications","25-64","Total","Educational level","Post-school qualifications",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.123,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","School qualifications","25-64","Total","Educational level","Post-school qualifications",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.136,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","Post-school qualifications","25-64","Total","Educational level","Post-school qualifications",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.095,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","University","25-64","Total","Educational level","Post-school qualifications",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.176,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","No qualifications","25-64","Total","Educational level","University",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.3,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","School qualifications","25-64","Total","Educational level","University",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.359,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","Post-school qualifications","25-64","Total","Educational level","University",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.64,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","University","25-64","Total","Educational level","University",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.323,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","No qualifications","25-64","Male","Educational level","No qualifications",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.15,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","School qualifications","25-64","Male","Educational level","No qualifications",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.143,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","Post-school qualifications","25-64","Male","Educational level","No qualifications",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.075,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","University","25-64","Male","Educational level","No qualifications",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.284,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","No qualifications","25-64","Female","Educational level","No qualifications",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.127,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","School qualifications","25-64","Female","Educational level","No qualifications",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.122,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","Post-school qualifications","25-64","Female","Educational level","No qualifications",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.055,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","University","25-64","Female","Educational level","No qualifications",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.417,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","No qualifications","25-64","Male","Educational level","School qualifications",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.465,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","School qualifications","25-64","Male","Educational level","School qualifications",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.375,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","Post-school qualifications","25-64","Male","Educational level","School qualifications",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.242,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","University","25-64","Male","Educational level","School qualifications",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.422,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","No qualifications","25-64","Female","Educational level","School qualifications",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.42,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","School qualifications","25-64","Female","Educational level","School qualifications",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.373,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","Post-school qualifications","25-64","Female","Educational level","School qualifications",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.165,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","University","25-64","Female","Educational level","School qualifications",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.081,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","No qualifications","25-64","Male","Educational level","Post-school qualifications",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.09,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","School qualifications","25-64","Male","Educational level","Post-school qualifications",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.122,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","Post-school qualifications","25-64","Male","Educational level","Post-school qualifications",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.075,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","University","25-64","Male","Educational level","Post-school qualifications",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.121,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","No qualifications","25-64","Female","Educational level","Post-school qualifications",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.148,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","School qualifications","25-64","Female","Educational level","Post-school qualifications",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.146,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","Post-school qualifications","25-64","Female","Educational level","Post-school qualifications",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.113,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","University","25-64","Female","Educational level","Post-school qualifications",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.18,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","No qualifications","25-64","Male","Educational level","University",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.295,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","School qualifications","25-64","Male","Educational level","University",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
