Socio-economic background,Disability,Lower level (below CSE grade 1) (%),"O level, GCSE and equivalent (%)",A level and equivalent (%),Further education below degree (%),First degree (%),Higher degree (%)
Higher professional,Yes,6.06114559,8.259063316,21.52389188,7.955878862,34.96201716,21.10777631
,No,2.868461336,4.939953,16.42245373,5.651605326,46.03600325,24.05785033
Lower professional,Yes,8.679278105,12.7510366,24.82325206,8.246592912,30.98716614,14.51267418
,No,4.345472927,8.075503312,22.27914276,6.829969076,40.05135518,18.39913673
Intermediate,Yes,14.83513026,16.85471149,28.77254403,7.978890741,20.68545542,10.75383468
,No,10.32359572,11.07447516,27.44968886,7.070686937,32.02754456,11.92055402
Higher working,Yes,20.22635893,18.32935114,31.25654241,5.999419522,20.70738541,3.480942575
,No,11.83893396,14.53491439,32.1530219,7.633462728,25.8987527,7.813162362
Lower working,Yes,30.00529078,22.63487754,27.03385659,5.726586992,11.49327159,2.852018787
,No,19.567989,16.84901838,31.34478412,6.799503938,18.98218804,6.251120223
