Socio-economic background,Sex,Lower level (below CSE grade 1) (%),"O level, GCSE and equivalent (%)",A level and equivalent (%),Further education below degree (%),First degree (%),Higher degree (%)
Higher professional,Men,3.400259017,6.609547076,18.79439271,5.839505389,43.53068935,21.78482519
,Women,3.053385746,3.981931911,15.16058166,6.022049536,46.08082135,25.67018664
Lower professional,Men,5.775002294,10.05777203,25.14270312,7.256331271,35.2648469,16.47012572
,Women,4.11990814,7.387360752,20.0331712,6.763069448,42.41761513,19.27887533
Intermediate,Men,12.75109802,12.5978713,27.84744311,7.135126591,28.27662935,11.14763789
,Women,9.129419155,11.13692182,27.23133817,7.30923971,32.76533914,12.39905784
Higher working,Men,15.20429324,15.80575688,32.72054475,6.800246822,22.47464199,6.899495303
,Women,10.95517863,14.48446975,31.19581303,8.01500748,27.78386334,7.442173752
Lower working,Men,24.95835758,17.86810715,30.84222331,5.665592741,15.38213297,4.989157255
,Women,18.7812305,18.41782775,29.97957577,7.414478179,19.21515255,6.053704584
