measure_code,measure_title,chart_type,area_code,area_type,area_name,primary_split_type,primary_split_value,secondary_split_type,secondary_split_value,tertiary_split_type,tertiary_split_value,fourth_split_type,fourth_split_value,time_period,value,lci,uci,sample_size,unit,value_note,variable_used,weight_used,age_used,year_used,seb_three_cat,label
dr32,Youth unemployment,trend,K02000001,country,United Kingdom,unemp_binary,Unemployed,year,2014,NA,NA,NA,NA,2014-2024,17.485,16.53,18.486,5896,Percent,NA,"unemp_binary, year",rweight,16-24,2014-2024,NA,17%
dr32,Youth unemployment,trend,K02000001,country,United Kingdom,unemp_binary,Unemployed,year,2015,NA,NA,NA,NA,2014-2024,15.289,14.363,16.253,5679,Percent,NA,"unemp_binary, year",rweight,16-24,2014-2024,NA,15%
dr32,Youth unemployment,trend,K02000001,country,United Kingdom,unemp_binary,Unemployed,year,2016,NA,NA,NA,NA,2014-2024,14.352,13.422,15.338,5246,Percent,NA,"unemp_binary, year",rweight,16-24,2014-2024,NA,14%
dr32,Youth unemployment,trend,K02000001,country,United Kingdom,unemp_binary,Unemployed,year,2017,NA,NA,NA,NA,2014-2024,13.195,12.268,14.185,4895,Percent,NA,"unemp_binary, year",rweight,16-24,2014-2024,NA,13%
dr32,Youth unemployment,trend,K02000001,country,United Kingdom,unemp_binary,Unemployed,year,2018,NA,NA,NA,NA,2014-2024,12.331,11.408,13.321,4646,Percent,NA,"unemp_binary, year",rweight,16-24,2014-2024,NA,12%
dr32,Youth unemployment,trend,K02000001,country,United Kingdom,unemp_binary,Unemployed,year,2019,NA,NA,NA,NA,2014-2024,13.11,12.139,14.143,4455,Percent,NA,"unemp_binary, year",rweight,16-24,2014-2024,NA,13%
dr32,Youth unemployment,trend,K02000001,country,United Kingdom,unemp_binary,Unemployed,year,2020,NA,NA,NA,NA,2014-2024,15.925,14.694,17.247,3233,Percent,NA,"unemp_binary, year",rweight,16-24,2014-2024,NA,16%
dr32,Youth unemployment,trend,K02000001,country,United Kingdom,unemp_binary,Unemployed,year,2021,NA,NA,NA,NA,2014-2024,13.07,12.047,14.154,4026,Percent,NA,"unemp_binary, year",rweight,16-24,2014-2024,NA,13%
dr32,Youth unemployment,trend,K02000001,country,United Kingdom,unemp_binary,Unemployed,year,2022,NA,NA,NA,NA,2014-2024,11.136,10.056,12.333,3024,Percent,NA,"unemp_binary, year",rweight,16-24,2014-2024,NA,11%
dr32,Youth unemployment,trend,K02000001,country,United Kingdom,unemp_binary,Unemployed,year,2023,NA,NA,NA,NA,2014-2024,13.101,11.612,14.694,1904,Percent,NA,"unemp_binary, year",rweight,16-24,2014-2024,NA,13%
dr32,Youth unemployment,trend,K02000001,country,United Kingdom,unemp_binary,Unemployed,year,2024,NA,NA,NA,NA,2014-2024,15.957,14.583,17.399,2666,Percent,NA,"unemp_binary, year",rweight,16-24,2014-2024,NA,16%
dr32,Youth unemployment,geography_caterpillar,TLH2,ITL2,Bedfordshire and Hertfordshire,unemp_binary,Unemployed,itl2_current_geo,Bedfordshire and Hertfordshire,quintile,3,NA,NA,2014-2024,13.788,11.92,15.858,1227,Percent,NA,"unemp_binary, itl2_current_geo",rweight,16-24,2014-2024,NA,14%
dr32,Youth unemployment,geography_caterpillar,TLH2,ITL2,"Berkshire, Buckinghamshire and Oxfordshire",unemp_binary,Unemployed,itl2_current_geo,"Berkshire, Buckinghamshire and Oxfordshire",quintile,2,NA,NA,2014-2024,11.62,10.114,13.338,1582,Percent,NA,"unemp_binary, itl2_current_geo",rweight,16-24,2014-2024,NA,12%
dr32,Youth unemployment,geography_caterpillar,TLH2,ITL2,Cheshire,unemp_binary,Unemployed,itl2_current_geo,Cheshire,quintile,1,NA,NA,2014-2024,8.747,6.751,11.113,690,Percent,NA,"unemp_binary, itl2_current_geo",rweight,16-24,2014-2024,NA,9%
