measure_code,measure_title,chart_type,area_code,area_type,area_name,primary_split_type,primary_split_value,secondary_split_type,secondary_split_value,tertiary_split_type,tertiary_split_value,fourth_split_type,fourth_split_value,time_period,value,lci,uci,sample_size,unit,value_note,variable_used,weight_used,age_used,year_used,seb_three_cat,label
dr53,Postgraduate education,trend,K02000001,country,United Kingdom,higher_degree_binary,Higher degree,year,2014,NA,NA,NA,NA,2014-2024,9.313,9.064,9.57,51086,Percent,NA,"higher_degree_binary, year",rweight,25-64,2014-2024,NA,9%
dr53,Postgraduate education,trend,K02000001,country,United Kingdom,higher_degree_binary,Higher degree,year,2015,NA,NA,NA,NA,2014-2024,10.934,10.662,11.215,49290,Percent,NA,"higher_degree_binary, year",rweight,25-64,2014-2024,NA,11%
dr53,Postgraduate education,trend,K02000001,country,United Kingdom,higher_degree_binary,Higher degree,year,2016,NA,NA,NA,NA,2014-2024,11.976,11.683,12.273,46797,Percent,NA,"higher_degree_binary, year",rweight,25-64,2014-2024,NA,12%
dr53,Postgraduate education,trend,K02000001,country,United Kingdom,higher_degree_binary,Higher degree,year,2017,NA,NA,NA,NA,2014-2024,12.145,11.852,12.447,46714,Percent,NA,"higher_degree_binary, year",rweight,25-64,2014-2024,NA,12%
dr53,Postgraduate education,trend,K02000001,country,United Kingdom,higher_degree_binary,Higher degree,year,2018,NA,NA,NA,NA,2014-2024,12.445,12.146,12.749,46438,Percent,NA,"higher_degree_binary, year",rweight,25-64,2014-2024,NA,12%
dr53,Postgraduate education,trend,K02000001,country,United Kingdom,higher_degree_binary,Higher degree,year,2019,NA,NA,NA,NA,2014-2024,13.105,12.797,13.421,45232,Percent,NA,"higher_degree_binary, year",rweight,25-64,2014-2024,NA,13%
dr53,Postgraduate education,trend,K02000001,country,United Kingdom,higher_degree_binary,Higher degree,year,2020,NA,NA,NA,NA,2014-2024,13.933,13.579,14.292,36527,Percent,NA,"higher_degree_binary, year",rweight,25-64,2014-2024,NA,14%
dr53,Postgraduate education,trend,K02000001,country,United Kingdom,higher_degree_binary,Higher degree,year,2021,NA,NA,NA,NA,2014-2024,14.233,13.921,14.552,47401,Percent,NA,"higher_degree_binary, year",rweight,25-64,2014-2024,NA,14%
dr53,Postgraduate education,trend,K02000001,country,United Kingdom,higher_degree_binary,Higher degree,year,2022,NA,NA,NA,NA,2014-2024,15.086,14.717,15.46,35904,Percent,NA,"higher_degree_binary, year",rweight,25-64,2014-2024,NA,15%
dr53,Postgraduate education,trend,K02000001,country,United Kingdom,higher_degree_binary,Higher degree,year,2023,NA,NA,NA,NA,2014-2024,16.187,15.706,16.677,22328,Percent,NA,"higher_degree_binary, year",rweight,25-64,2014-2024,NA,16%
dr53,Postgraduate education,trend,K02000001,country,United Kingdom,higher_degree_binary,Higher degree,year,2024,NA,NA,NA,NA,2014-2024,16.107,15.699,16.521,30902,Percent,NA,"higher_degree_binary, year",rweight,25-64,2014-2024,NA,16%
dr53,Postgraduate education,geography_caterpillar,TLH2,ITL2,Bedfordshire and Hertfordshire,higher_degree_binary,Higher degree,itl2_current_geo,Bedfordshire and Hertfordshire,quintile,4,NA,NA,2014-2024,13.497,12.889,14.126,11878,Percent,NA,"higher_degree_binary, itl2_current_geo",rweight,25-64,2014-2024,NA,13%
dr53,Postgraduate education,geography_caterpillar,TLH2,ITL2,"Berkshire, Buckinghamshire and Oxfordshire",higher_degree_binary,Higher degree,itl2_current_geo,"Berkshire, Buckinghamshire and Oxfordshire",quintile,5,NA,NA,2014-2024,18.128,17.552,18.714,17042,Percent,NA,"higher_degree_binary, itl2_current_geo",rweight,25-64,2014-2024,NA,18%
dr53,Postgraduate education,geography_caterpillar,TLH2,ITL2,Cheshire,higher_degree_binary,Higher degree,itl2_current_geo,Cheshire,quintile,5,NA,NA,2014-2024,15.744,14.91,16.62,7081,Percent,NA,"higher_degree_binary, itl2_current_geo",rweight,25-64,2014-2024,NA,16%
dr53,Postgraduate education,geography_caterpillar,TLH2,ITL2,Cornwall and Isles of Scilly,higher_degree_binary,Higher degree,itl2_current_geo,Cornwall and Isles of Scilly,quintile,1,NA,NA,2014-2024,9.708,8.879,10.614,4592,Percent,NA,"higher_degree_binary, itl2_current_geo",rweight,25-64,2014-2024,NA,10%
dr53,Postgraduate education,geography_caterpillar,TLH2,ITL2,Cumbria,higher_degree_binary,Higher degree,itl2_current_geo,Cumbria,quintile,2,NA,NA,2014-2024,10.244,9.325,11.215,4056,Percent,NA,"higher_degree_binary, itl2_current_geo",rweight,25-64,2014-2024,NA,10%
dr53,Postgraduate education,geography_caterpillar,TLH2,ITL2,Derbyshire and Nottinghamshire,higher_degree_binary,Higher degree,itl2_current_geo,Derbyshire and Nottinghamshire,quintile,2,NA,NA,2014-2024,10.205,9.739,10.695,15646,Percent,NA,"higher_degree_binary, itl2_current_geo",rweight,25-64,2014-2024,NA,10%
dr53,Postgraduate education,geography_caterpillar,TLH2,ITL2,Devon,higher_degree_binary,Higher degree,itl2_current_geo,Devon,quintile,3,NA,NA,2014-2024,11.273,10.61,11.962,8546,Percent,NA,"higher_degree_binary, itl2_current_geo",rweight,25-64,2014-2024,NA,11%
dr53,Postgraduate education,geography_caterpillar,TLH2,ITL2,Dorset and Somerset,higher_degree_binary,Higher degree,itl2_current_geo,Dorset and Somerset,quintile,3,NA,NA,2014-2024,10.854,10.245,11.487,9797,Percent,NA,"higher_degree_binary, itl2_current_geo",rweight,25-64,2014-2024,NA,11%
dr53,Postgraduate education,geography_caterpillar,TLH2,ITL2,East Anglia,higher_degree_binary,Higher degree,itl2_current_geo,East Anglia,quintile,3,NA,NA,2014-2024,11.312,10.863,11.78,18562,Percent,NA,"higher_degree_binary, itl2_current_geo",rweight,25-64,2014-2024,NA,11%
dr53,Postgraduate education,geography_caterpillar,TLH2,ITL2,East Wales,higher_degree_binary,Higher degree,itl2_current_geo,East Wales,quintile,4,NA,NA,2014-2024,13.957,13.2,14.737,7942,Percent,NA,"higher_degree_binary, itl2_current_geo",rweight,25-64,2014-2024,NA,14%
