"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","variable_used","weight_used","age_used","year_used"
"ci4","Promising Prospects","composite_index","NA","Local Authority","Aberdeen City","time_period","2018 to 2020","zscore_category","middling",NA,NA,NA,NA,"2018 to 2020","-0.245","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci4","Promising Prospects","composite_index","NA","Local Authority","Aberdeenshire","time_period","2018 to 2020","zscore_category","middling",NA,NA,NA,NA,"2018 to 2020","-0.148","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci4","Promising Prospects","composite_index","NA","Local Authority","Angus","time_period","2018 to 2020","zscore_category","lower middling",NA,NA,NA,NA,"2018 to 2020","-0.556","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci4","Promising Prospects","composite_index","NA","Local Authority","Argyll and Bute Islands","time_period","2018 to 2020","zscore_category","lower middling",NA,NA,NA,NA,"2018 to 2020","-0.632","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci4","Promising Prospects","composite_index","NA","Local Authority","Barking and Dagenham","time_period","2018 to 2020","zscore_category","upper middling",NA,NA,NA,NA,"2018 to 2020","0.569","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci4","Promising Prospects","composite_index","NA","Local Authority","Barnet","time_period","2018 to 2020","zscore_category","most favourable",NA,NA,NA,NA,"2018 to 2020","2.845","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci4","Promising Prospects","composite_index","NA","Local Authority","Barnsley","time_period","2018 to 2020","zscore_category","unfavourable",NA,NA,NA,NA,"2018 to 2020","-1.393","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci4","Promising Prospects","composite_index","NA","Local Authority","Bath and North East Somerset","time_period","2018 to 2020","zscore_category","upper middling",NA,NA,NA,NA,"2018 to 2020","0.537","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci4","Promising Prospects","composite_index","NA","Local Authority","Bedford","time_period","2018 to 2020","zscore_category","most favourable",NA,NA,NA,NA,"2018 to 2020","1.843","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci4","Promising Prospects","composite_index","NA","Local Authority","Bexley","time_period","2018 to 2020","zscore_category","favourable",NA,NA,NA,NA,"2018 to 2020","1.132","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci4","Promising Prospects","composite_index","NA","Local Authority","Birmingham","time_period","2018 to 2020","zscore_category","lower middling",NA,NA,NA,NA,"2018 to 2020","-0.551","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci4","Promising Prospects","composite_index","NA","Local Authority","Blackburn with Darwen","time_period","2018 to 2020","zscore_category","lower middling",NA,NA,NA,NA,"2018 to 2020","-0.905","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci4","Promising Prospects","composite_index","NA","Local Authority","Blackpool","time_period","2018 to 2020","zscore_category","middling",NA,NA,NA,NA,"2018 to 2020","-0.459","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci4","Promising Prospects","composite_index","NA","Local Authority","Blaenau Gwent","time_period","2018 to 2020","zscore_category","lower middling",NA,NA,NA,NA,"2018 to 2020","-0.720","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci4","Promising Prospects","composite_index","NA","Local Authority","Bolton","time_period","2018 to 2020","zscore_category","middling",NA,NA,NA,NA,"2018 to 2020","-0.238","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci4","Promising Prospects","composite_index","NA","Local Authority","Bournemouth, Christchurch and Poole","time_period","2018 to 2020","zscore_category","middling",NA,NA,NA,NA,"2018 to 2020","0.104","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci4","Promising Prospects","composite_index","NA","Local Authority","Bracknell Forest","time_period","2018 to 2020","zscore_category","favourable",NA,NA,NA,NA,"2018 to 2020","1.282","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci4","Promising Prospects","composite_index","NA","Local Authority","Bradford","time_period","2018 to 2020","zscore_category","unfavourable",NA,NA,NA,NA,"2018 to 2020","-1.081","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci4","Promising Prospects","composite_index","NA","Local Authority","Brent","time_period","2018 to 2020","zscore_category","most favourable",NA,NA,NA,NA,"2018 to 2020","2.682","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci4","Promising Prospects","composite_index","NA","Local Authority","Bridgend","time_period","2018 to 2020","zscore_category","lower middling",NA,NA,NA,NA,"2018 to 2020","-0.729","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci4","Promising Prospects","composite_index","NA","Local Authority","Brighton and Hove","time_period","2018 to 2020","zscore_category","favourable",NA,NA,NA,NA,"2018 to 2020","1.016","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci4","Promising Prospects","composite_index","NA","Local Authority","Bristol, City of","time_period","2018 to 2020","zscore_category","middling",NA,NA,NA,NA,"2018 to 2020","0.156","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci4","Promising Prospects","composite_index","NA","Local Authority","Bromley","time_period","2018 to 2020","zscore_category","upper middling",NA,NA,NA,NA,"2018 to 2020","0.506","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci4","Promising Prospects","composite_index","NA","Local Authority","Buckinghamshire","time_period","2018 to 2020","zscore_category","most favourable",NA,NA,NA,NA,"2018 to 2020","2.153","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci4","Promising Prospects","composite_index","NA","Local Authority","Bury","time_period","2018 to 2020","zscore_category","lower middling",NA,NA,NA,NA,"2018 to 2020","-0.645","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci4","Promising Prospects","composite_index","NA","Local Authority","Caerphilly","time_period","2018 to 2020","zscore_category","unfavourable",NA,NA,NA,NA,"2018 to 2020","-1.167","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci4","Promising Prospects","composite_index","NA","Local Authority","Calderdale","time_period","2018 to 2020","zscore_category","middling",NA,NA,NA,NA,"2018 to 2020","-0.471","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci4","Promising Prospects","composite_index","NA","Local Authority","Cambridgeshire CC","time_period","2018 to 2020","zscore_category","middling",NA,NA,NA,NA,"2018 to 2020","-0.492","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci4","Promising Prospects","composite_index","NA","Local Authority","Camden and City of London","time_period","2018 to 2020","zscore_category","most favourable",NA,NA,NA,NA,"2018 to 2020","1.888","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci4","Promising Prospects","composite_index","NA","Local Authority","Cardiff","time_period","2018 to 2020","zscore_category","middling",NA,NA,NA,NA,"2018 to 2020","-0.007","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci4","Promising Prospects","composite_index","NA","Local Authority","Carmarthenshire","time_period","2018 to 2020","zscore_category","middling",NA,NA,NA,NA,"2018 to 2020","0.008","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci4","Promising Prospects","composite_index","NA","Local Authority","Central Bedfordshire","time_period","2018 to 2020","zscore_category","most favourable",NA,NA,NA,NA,"2018 to 2020","1.838","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci4","Promising Prospects","composite_index","NA","Local Authority","Ceredigion","time_period","2018 to 2020","zscore_category","lower middling",NA,NA,NA,NA,"2018 to 2020","-0.619","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci4","Promising Prospects","composite_index","NA","Local Authority","Cheshire East","time_period","2018 to 2020","zscore_category","upper middling",NA,NA,NA,NA,"2018 to 2020","0.777","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci4","Promising Prospects","composite_index","NA","Local Authority","Cheshire West and Chester","time_period","2018 to 2020","zscore_category","middling",NA,NA,NA,NA,"2018 to 2020","-0.454","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci4","Promising Prospects","composite_index","NA","Local Authority","City of Edinburgh","time_period","2018 to 2020","zscore_category","middling",NA,NA,NA,NA,"2018 to 2020","0.353","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci4","Promising Prospects","composite_index","NA","Local Authority","Clackmannanshire","time_period","2018 to 2020","zscore_category","lower middling",NA,NA,NA,NA,"2018 to 2020","-0.637","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci4","Promising Prospects","composite_index","NA","Local Authority","Conwy","time_period","2018 to 2020","zscore_category","middling",NA,NA,NA,NA,"2018 to 2020","-0.442","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci4","Promising Prospects","composite_index","NA","Local Authority","Cornwall and Isles of Scilly","time_period","2018 to 2020","zscore_category","unfavourable",NA,NA,NA,NA,"2018 to 2020","-1.413","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci4","Promising Prospects","composite_index","NA","Local Authority","Coventry","time_period","2018 to 2020","zscore_category","lower middling",NA,NA,NA,NA,"2018 to 2020","-0.571","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci4","Promising Prospects","composite_index","NA","Local Authority","Croydon","time_period","2018 to 2020","zscore_category","upper middling",NA,NA,NA,NA,"2018 to 2020","0.664","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci4","Promising Prospects","composite_index","NA","Local Authority","Cumbria","time_period","2018 to 2020","zscore_category","lower middling",NA,NA,NA,NA,"2018 to 2020","-0.534","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci4","Promising Prospects","composite_index","NA","Local Authority","Darlington","time_period","2018 to 2020","zscore_category","lower middling",NA,NA,NA,NA,"2018 to 2020","-0.818","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci4","Promising Prospects","composite_index","NA","Local Authority","Denbighshire","time_period","2018 to 2020","zscore_category","middling",NA,NA,NA,NA,"2018 to 2020","-0.370","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci4","Promising Prospects","composite_index","NA","Local Authority","Derby","time_period","2018 to 2020","zscore_category","middling",NA,NA,NA,NA,"2018 to 2020","-0.006","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci4","Promising Prospects","composite_index","NA","Local Authority","Derbyshire","time_period","2018 to 2020","zscore_category","middling",NA,NA,NA,NA,"2018 to 2020","-0.041","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci4","Promising Prospects","composite_index","NA","Local Authority","Devon CC","time_period","2018 to 2020","zscore_category","upper middling",NA,NA,NA,NA,"2018 to 2020","0.938","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci4","Promising Prospects","composite_index","NA","Local Authority","Doncaster","time_period","2018 to 2020","zscore_category","lower middling",NA,NA,NA,NA,"2018 to 2020","-0.714","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci4","Promising Prospects","composite_index","NA","Local Authority","Dorset","time_period","2018 to 2020","zscore_category","middling",NA,NA,NA,NA,"2018 to 2020","-0.092","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci4","Promising Prospects","composite_index","NA","Local Authority","Dudley","time_period","2018 to 2020","zscore_category","lower middling",NA,NA,NA,NA,"2018 to 2020","-0.757","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci4","Promising Prospects","composite_index","NA","Local Authority","Dumfries and Galloway","time_period","2018 to 2020","zscore_category","most unfavourable",NA,NA,NA,NA,"2018 to 2020","-1.644","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
