"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","variable_used","weight_used","age_used","year_used","label"
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age","25","seb","Lower working","sex","Men","year","2014 to 2016","2014 to 2024",0.206,"0.183","0.228",NA,"Predictive margins",NA,NA,NA,NA,NA,"0%"
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age","26","seb","Lower working","sex","Men","year","2014 to 2016","2014 to 2024",0.219,"0.199","0.238",NA,"Predictive margins",NA,NA,NA,NA,NA,"0%"
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age","27","seb","Lower working","sex","Men","year","2014 to 2016","2014 to 2024",0.231,"0.213","0.248",NA,"Predictive margins",NA,NA,NA,NA,NA,"0%"
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age","28","seb","Lower working","sex","Men","year","2014 to 2016","2014 to 2024",0.242,"0.226","0.259",NA,"Predictive margins",NA,NA,NA,NA,NA,"0%"
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age","29","seb","Lower working","sex","Men","year","2014 to 2016","2014 to 2024",0.253,"0.238","0.269",NA,"Predictive margins",NA,NA,NA,NA,NA,"0%"
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age","30","seb","Lower working","sex","Men","year","2014 to 2016","2014 to 2024",0.263,"0.247","0.278",NA,"Predictive margins",NA,NA,NA,NA,NA,"0%"
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age","31","seb","Lower working","sex","Men","year","2014 to 2016","2014 to 2024",0.271,"0.256","0.287",NA,"Predictive margins",NA,NA,NA,NA,NA,"0%"
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age","32","seb","Lower working","sex","Men","year","2014 to 2016","2014 to 2024",0.279,"0.263","0.294",NA,"Predictive margins",NA,NA,NA,NA,NA,"0%"
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age","33","seb","Lower working","sex","Men","year","2014 to 2016","2014 to 2024",0.285,"0.269","0.300",NA,"Predictive margins",NA,NA,NA,NA,NA,"0%"
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age","34","seb","Lower working","sex","Men","year","2014 to 2016","2014 to 2024",0.29,"0.274","0.305",NA,"Predictive margins",NA,NA,NA,NA,NA,"0%"
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age","35","seb","Lower working","sex","Men","year","2014 to 2016","2014 to 2024",0.293,"0.277","0.309",NA,"Predictive margins",NA,NA,NA,NA,NA,"0%"
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age","36","seb","Lower working","sex","Men","year","2014 to 2016","2014 to 2024",0.295,"0.279","0.311",NA,"Predictive margins",NA,NA,NA,NA,NA,"0%"
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age","37","seb","Lower working","sex","Men","year","2014 to 2016","2014 to 2024",0.296,"0.280","0.312",NA,"Predictive margins",NA,NA,NA,NA,NA,"0%"
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age","38","seb","Lower working","sex","Men","year","2014 to 2016","2014 to 2024",0.295,"0.279","0.311",NA,"Predictive margins",NA,NA,NA,NA,NA,"0%"
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age","39","seb","Lower working","sex","Men","year","2014 to 2016","2014 to 2024",0.293,"0.277","0.309",NA,"Predictive margins",NA,NA,NA,NA,NA,"0%"
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age","40","seb","Lower working","sex","Men","year","2014 to 2016","2014 to 2024",0.289,"0.274","0.305",NA,"Predictive margins",NA,NA,NA,NA,NA,"0%"
