measure_code,measure_title,chart_type,area_code,area_type,area_name,primary_split_type,primary_split_value,secondary_split_type,secondary_split_value,tertiary_split_type,tertiary_split_value,fourth_split_type,fourth_split_value,time_period,value,lci,uci,sample_size,unit,value_note,variable_used,weight_used,age_used,year_used,seb_three_cat,label
dr33,Type of employment opportunities for young people,trend,K02000001,country,United Kingdom,sec_employed,Higher professional,year,2014,NA,NA,NA,NA,2014-2024,10.532,9.807,11.319,6471,Percent,NA,"sec_employed, year",rweight,22-29,2014-2024,NA,11%
dr33,Type of employment opportunities for young people,trend,K02000001,country,United Kingdom,sec_employed,Higher professional,year,2015,NA,NA,NA,NA,2014-2024,11.14,10.376,11.947,6294,Percent,NA,"sec_employed, year",rweight,22-29,2014-2024,NA,11%
dr33,Type of employment opportunities for young people,trend,K02000001,country,United Kingdom,sec_employed,Higher professional,year,2016,NA,NA,NA,NA,2014-2024,11.546,10.766,12.384,6121,Percent,NA,"sec_employed, year",rweight,22-29,2014-2024,NA,12%
dr33,Type of employment opportunities for young people,trend,K02000001,country,United Kingdom,sec_employed,Higher professional,year,2017,NA,NA,NA,NA,2014-2024,10.927,10.15,11.756,5930,Percent,NA,"sec_employed, year",rweight,22-29,2014-2024,NA,11%
dr33,Type of employment opportunities for young people,trend,K02000001,country,United Kingdom,sec_employed,Higher professional,year,2018,NA,NA,NA,NA,2014-2024,13.253,12.385,14.178,5605,Percent,NA,"sec_employed, year",rweight,22-29,2014-2024,NA,13%
dr33,Type of employment opportunities for young people,trend,K02000001,country,United Kingdom,sec_employed,Higher professional,year,2019,NA,NA,NA,NA,2014-2024,13.813,12.922,14.759,5530,Percent,NA,"sec_employed, year",rweight,22-29,2014-2024,NA,14%
dr33,Type of employment opportunities for young people,trend,K02000001,country,United Kingdom,sec_employed,Higher professional,year,2020,NA,NA,NA,NA,2014-2024,14.244,13.152,15.395,3821,Percent,NA,"sec_employed, year",rweight,22-29,2014-2024,NA,14%
dr33,Type of employment opportunities for young people,trend,K02000001,country,United Kingdom,sec_employed,Higher professional,year,2021,NA,NA,NA,NA,2014-2024,16.901,15.888,17.982,5015,Percent,NA,"sec_employed, year",rweight,22-29,2014-2024,NA,17%
dr33,Type of employment opportunities for young people,trend,K02000001,country,United Kingdom,sec_employed,Higher professional,year,2022,NA,NA,NA,NA,2014-2024,18.11,16.898,19.382,3772,Percent,NA,"sec_employed, year",rweight,22-29,2014-2024,NA,18%
dr33,Type of employment opportunities for young people,trend,K02000001,country,United Kingdom,sec_employed,Higher professional,year,2023,NA,NA,NA,NA,2014-2024,21.009,19.36,22.785,2231,Percent,NA,"sec_employed, year",rweight,22-29,2014-2024,NA,21%
dr33,Type of employment opportunities for young people,trend,K02000001,country,United Kingdom,sec_employed,Higher professional,year,2024,NA,NA,NA,NA,2014-2024,18.914,17.622,20.293,3377,Percent,NA,"sec_employed, year",rweight,22-29,2014-2024,NA,19%
