"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","variable_used","weight_used","age_used","year_used"
"ci3","Innovation and Growth","composite_index","NA","Local Authority","Aberdeen City","time_period","2000 to 2005","zscore_category","favourable",NA,NA,NA,NA,"2000 to 2005","1.244","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci3","Innovation and Growth","composite_index","NA","Local Authority","Aberdeenshire","time_period","2000 to 2005","zscore_category","middling",NA,NA,NA,NA,"2000 to 2005","0.067","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci3","Innovation and Growth","composite_index","NA","Local Authority","Angus","time_period","2000 to 2005","zscore_category","lower middling",NA,NA,NA,NA,"2000 to 2005","-0.617","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci3","Innovation and Growth","composite_index","NA","Local Authority","Argyll and Bute Islands","time_period","2000 to 2005","zscore_category","lower middling",NA,NA,NA,NA,"2000 to 2005","-0.719","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci3","Innovation and Growth","composite_index","NA","Local Authority","Barking and Dagenham","time_period","2000 to 2005","zscore_category","lower middling",NA,NA,NA,NA,"2000 to 2005","-0.661","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci3","Innovation and Growth","composite_index","NA","Local Authority","Barnet","time_period","2000 to 2005","zscore_category","favourable",NA,NA,NA,NA,"2000 to 2005","1.101","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci3","Innovation and Growth","composite_index","NA","Local Authority","Barnsley","time_period","2000 to 2005","zscore_category","unfavourable",NA,NA,NA,NA,"2000 to 2005","-1.174","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci3","Innovation and Growth","composite_index","NA","Local Authority","Bath and North East Somerset","time_period","2000 to 2005","zscore_category","favourable",NA,NA,NA,NA,"2000 to 2005","1.083","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci3","Innovation and Growth","composite_index","NA","Local Authority","Bedford","time_period","2000 to 2005","zscore_category","upper middling",NA,NA,NA,NA,"2000 to 2005","0.796","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci3","Innovation and Growth","composite_index","NA","Local Authority","Bexley","time_period","2000 to 2005","zscore_category","middling",NA,NA,NA,NA,"2000 to 2005","-0.377","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci3","Innovation and Growth","composite_index","NA","Local Authority","Birmingham","time_period","2000 to 2005","zscore_category","middling",NA,NA,NA,NA,"2000 to 2005","-0.063","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci3","Innovation and Growth","composite_index","NA","Local Authority","Blackburn with Darwen","time_period","2000 to 2005","zscore_category","lower middling",NA,NA,NA,NA,"2000 to 2005","-0.910","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci3","Innovation and Growth","composite_index","NA","Local Authority","Blackpool","time_period","2000 to 2005","zscore_category","lower middling",NA,NA,NA,NA,"2000 to 2005","-0.846","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci3","Innovation and Growth","composite_index","NA","Local Authority","Blaenau Gwent","time_period","2000 to 2005","zscore_category","unfavourable",NA,NA,NA,NA,"2000 to 2005","-1.173","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci3","Innovation and Growth","composite_index","NA","Local Authority","Bolton","time_period","2000 to 2005","zscore_category","lower middling",NA,NA,NA,NA,"2000 to 2005","-0.810","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci3","Innovation and Growth","composite_index","NA","Local Authority","Bournemouth, Christchurch and Poole","time_period","2000 to 2005","zscore_category","middling",NA,NA,NA,NA,"2000 to 2005","-0.432","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci3","Innovation and Growth","composite_index","NA","Local Authority","Bracknell Forest","time_period","2000 to 2005","zscore_category","upper middling",NA,NA,NA,NA,"2000 to 2005","0.726","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci3","Innovation and Growth","composite_index","NA","Local Authority","Bradford","time_period","2000 to 2005","zscore_category","lower middling",NA,NA,NA,NA,"2000 to 2005","-0.504","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci3","Innovation and Growth","composite_index","NA","Local Authority","Brent","time_period","2000 to 2005","zscore_category","middling",NA,NA,NA,NA,"2000 to 2005","0.463","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
