"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","variable_used","weight_used","age_used","year_used"
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Aberdeen City","time_period","2000 to 2005","zscore_category","upper middling",NA,NA,NA,NA,"2000 to 2005","0.742","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Aberdeenshire","time_period","2000 to 2005","zscore_category","upper middling",NA,NA,NA,NA,"2000 to 2005","0.712","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Angus","time_period","2000 to 2005","zscore_category","middling",NA,NA,NA,NA,"2000 to 2005","-0.185","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Argyll and Bute Islands","time_period","2000 to 2005","zscore_category","middling",NA,NA,NA,NA,"2000 to 2005","-0.132","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Barking and Dagenham","time_period","2000 to 2005","zscore_category","unfavourable",NA,NA,NA,NA,"2000 to 2005","-1.133","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Barnet","time_period","2000 to 2005","zscore_category","most favourable",NA,NA,NA,NA,"2000 to 2005","1.789","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Barnsley","time_period","2000 to 2005","zscore_category","unfavourable",NA,NA,NA,NA,"2000 to 2005","-1.361","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Bath and North East Somerset","time_period","2000 to 2005","zscore_category","most favourable",NA,NA,NA,NA,"2000 to 2005","1.598","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Bedford","time_period","2000 to 2005","zscore_category","upper middling",NA,NA,NA,NA,"2000 to 2005","0.595","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Bexley","time_period","2000 to 2005","zscore_category","middling",NA,NA,NA,NA,"2000 to 2005","0.175","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Birmingham","time_period","2000 to 2005","zscore_category","lower middling",NA,NA,NA,NA,"2000 to 2005","-0.820","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Blackburn with Darwen","time_period","2000 to 2005","zscore_category","unfavourable",NA,NA,NA,NA,"2000 to 2005","-1.167","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Blackpool","time_period","2000 to 2005","zscore_category","lower middling",NA,NA,NA,NA,"2000 to 2005","-0.852","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Blaenau Gwent","time_period","2000 to 2005","zscore_category","most unfavourable",NA,NA,NA,NA,"2000 to 2005","-1.961","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
