"","ind_code","ind_name","area_type","area_code","area_name","time_period","seb","age","sex","category_type","category","category_type2","category2","value","sample_size","lci","uci","se","unit","value_note"
"1","DR53","University research students","Country","K02000001","United Kingdom","2014","Total","25 to 29","Total","Higher Education",NA,NA,NA,9.31333667947621,4634,0.0847657377319444,0.10150099585758,0.00426919850143763,"Percentage",NA
"2","DR53","University research students","Country","K02000001","United Kingdom","2015","Total","25 to 29","Total","Higher Education",NA,NA,NA,10.9344448862624,5168,0.100836045347451,0.117852852377796,0.00434102220161846,"Percentage",NA
"3","DR53","University research students","Country","K02000001","United Kingdom","2016","Total","25 to 29","Total","Higher Education",NA,NA,NA,11.9756051557007,5336,0.11104444166832,0.128467661445693,0.0044446989227993,"Percentage",NA
"4","DR53","University research students","Country","K02000001","United Kingdom","2017","Total","25 to 29","Total","Higher Education",NA,NA,NA,12.1452435786097,5443,0.112774375590447,0.130130495981748,0.00442758173247475,"Percentage",NA
"5","DR53","University research students","Country","K02000001","United Kingdom","2018","Total","25 to 29","Total","Higher Education",NA,NA,NA,12.4449870138526,5446,0.115682789823645,0.133216950453407,0.0044730001606536,"Percentage",NA
"6","DR53","University research students","Country","K02000001","United Kingdom","2019","Total","25 to 29","Total","Higher Education",NA,NA,NA,13.1048623232271,5633,0.122236102232175,0.139861144232366,0.00449618418372212,"Percentage",NA
"7","DR53","University research students","Country","K02000001","United Kingdom","2020","Total","25 to 29","Total","Higher Education",NA,NA,NA,13.9325130529856,4879,0.129608292740548,0.149041968319165,0.00495757030066762,"Percentage",NA
"8","DR53","University research students","Country","K02000001","United Kingdom","2021","Total","25 to 29","Total","Higher Education",NA,NA,NA,14.2331481750433,6621,0.133915505577197,0.150747457923668,0.00429386539450796,"Percentage",NA
"9","DR53","University research students","Country","K02000001","United Kingdom","2022","Total","25 to 29","Total","Higher Education",NA,NA,NA,15.0858204728285,5153,0.141085819546121,0.160630589910448,0.00498591080722607,"Percentage",NA
"10","DR53","University research students","ITL2","K02000001","Bedfordshire and Hertfordshire","2014-2022","Total","25 to 29","Total","Quintile","4",NA,NA,11.8039556190811,1229,0.100000306597627,0.136078805783996,0.00920369877203292,"Percentage",NA
"11","DR53","University research students","ITL2","K02000001","Berkshire, Buckinghamshire and Oxfordshire","2014-2022","Total","25 to 29","Total","Quintile","5",NA,NA,17.3324146118837,2471,0.158399059521675,0.188249232715998,0.00761484010059261,"Percentage",NA
"12","DR53","University research students","ITL2","K02000001","Cheshire","2014-2022","Total","25 to 29","Total","Quintile","4",NA,NA,12.9753228438225,682,0.104533280792411,0.154973176084039,0.012867320227456,"Percentage",NA
"13","DR53","University research students","ITL2","K02000001","Cornwall and Isles of Scilly","2014-2022","Total","25 to 29","Total","Quintile","2",NA,NA,9.5181093103856,301,0.0620276222912945,0.128334563916418,0.0169150361288579,"Percentage",NA
"14","DR53","University research students","ITL2","K02000001","Cumbria","2014-2022","Total","25 to 29","Total","Quintile","2",NA,NA,9.90033240448802,354,0.0678903932572424,0.130116254832518,0.015873944279407,"Percentage",NA
