Ind_code,Ind_name,Area_type,Area_code,Area_name,Time_period,SEB,Age,Sex,Category_type,Category,Value,Sample_size,LCI,UCI,SE,Unit,Value_note,Quintile,Q1_upper,Q2_upper,Q3_upper,Q4_upper
CI3,Socio-cultural advantage,ITL2,TLH2,Bedfordshire and Hertfordshire,NA,NA,NA,Total,NA,NA,0.559937604,NA,NA,NA,NA,NA,NA,5,0.186138551,0.28739771,0.353405715,0.49738027
CI3,Socio-cultural advantage,ITL2,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",NA,NA,NA,Total,NA,NA,0.717483208,NA,NA,NA,NA,NA,NA,5,,,,
CI3,Socio-cultural advantage,ITL2,TLD6,Cheshire,NA,NA,NA,Total,NA,NA,0.571874639,NA,NA,NA,NA,NA,NA,5,,,,
CI3,Socio-cultural advantage,ITL2,TLK3,Cornwall and Isles of Scilly,NA,NA,NA,Total,NA,NA,0.16738006,NA,NA,NA,NA,NA,NA,1,,,,
CI3,Socio-cultural advantage,ITL2,TLD1,Cumbria,NA,NA,NA,Total,NA,NA,0.189548591,NA,NA,NA,NA,NA,NA,2,,,,
CI3,Socio-cultural advantage,ITL2,TLF1,Derbyshire and Nottinghamshire,NA,NA,NA,Total,NA,NA,0.28739771,NA,NA,NA,NA,NA,NA,2,,,,
CI3,Socio-cultural advantage,ITL2,TLK4,Devon,NA,NA,NA,Total,NA,NA,0.335494257,NA,NA,NA,NA,NA,NA,3,,,,
CI3,Socio-cultural advantage,ITL2,TLK2,Dorset and Somerset,NA,NA,NA,Total,NA,NA,0.43021196,NA,NA,NA,NA,NA,NA,4,,,,
CI3,Socio-cultural advantage,ITL2,TLH1,East Anglia,NA,NA,NA,Total,NA,NA,0.367573549,NA,NA,NA,NA,NA,NA,4,,,,
CI3,Socio-cultural advantage,ITL2,TLL2,East Wales,NA,NA,NA,Total,NA,NA,0.353405715,NA,NA,NA,NA,NA,NA,3,,,,
CI3,Socio-cultural advantage,ITL2,TLE1,East Yorkshire and Northern Lincolnshire,NA,NA,NA,Total,NA,NA,0.053180423,NA,NA,NA,NA,NA,NA,1,,,,
CI3,Socio-cultural advantage,ITL2,TLM7,Eastern Scotland,NA,NA,NA,Total,NA,NA,0.352640085,NA,NA,NA,NA,NA,NA,3,,,,
