Ind_code,Ind_name,Area_type,Area_code,Area_name,Time_period,SEB,Age,Sex,Category_type,Category,Value,FSM_eligible,Not_known_to_be_FSM_eligible,Sample_size,LCI,UCI,SE,Unit,Value_note
IN12,Attainment at age 11,ITL2,TLC2,"Northumberland, and Tyne and Wear",2021-2022,FSM,11,Total,NA,NA,23.766392,43.565862,67.332254,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN12,Attainment at age 11,ITL2,TLC1,Tees Valley and Durham,2021-2022,FSM,11,Total,NA,NA,24.08117607,44.12579114,68.20696721,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN12,Attainment at age 11,ITL2,TLD7,Merseyside,2021-2022,FSM,11,Total,NA,NA,24.25749088,39.36673739,63.62422827,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN12,Attainment at age 11,ITL2,TLD3,Greater Manchester,2021-2022,FSM,11,Total,NA,NA,22.47785179,42.42450614,64.90235793,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN12,Attainment at age 11,ITL2,TLD6,Cheshire,2021-2022,FSM,11,Total,NA,NA,26.41610755,40.04608295,66.4621905,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN12,Attainment at age 11,ITL2,TLD4,Lancashire,2021-2022,FSM,11,Total,NA,NA,18.03003713,45.68288854,63.71292567,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN12,Attainment at age 11,ITL2,TLD1,Cumbria,2021-2022,FSM,11,Total,NA,NA,24.2132703,36.85220729,61.06547759,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN12,Attainment at age 11,ITL2,TLE3,South Yorkshire,2021-2022,FSM,11,Total,NA,NA,25.45333018,38.35536547,63.80869565,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN12,Attainment at age 11,ITL2,TLE4,West Yorkshire,2021-2022,FSM,11,Total,NA,NA,24.32246096,39.83539095,64.15785191,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN12,Attainment at age 11,ITL2,TLE1,East Yorkshire and Northern Lincolnshire,2021-2022,FSM,11,Total,NA,NA,20.87571202,43.14984709,64.02555911,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN12,Attainment at age 11,ITL2,TLE2,North Yorkshire,2021-2022,FSM,11,Total,NA,NA,31.23419147,38.33865815,69.57284962,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
