"Value","Ind_code","Ind_name","Area_type","Area_code","Area_name","Time_period","SEB","Age","Sex","Category_type","Category","Category_type2","Category2","Sample_size","LCI","UCI","SE","Unit","Value_note"
0.284,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","No qualifications","25-64","Female","Educational level","No qualifications",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.127,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","School qualifications","25-64","Female","Educational level","No qualifications",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.122,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","Post-school qualifications","25-64","Female","Educational level","No qualifications",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.055,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","University","25-64","Female","Educational level","No qualifications",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.422,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","No qualifications","25-64","Female","Educational level","School qualifications",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.42,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","School qualifications","25-64","Female","Educational level","School qualifications",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.373,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","Post-school qualifications","25-64","Female","Educational level","School qualifications",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.165,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","University","25-64","Female","Educational level","School qualifications",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.121,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","No qualifications","25-64","Female","Educational level","Post-school qualifications",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.148,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","School qualifications","25-64","Female","Educational level","Post-school qualifications",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.146,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","Post-school qualifications","25-64","Female","Educational level","Post-school qualifications",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.113,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","University","25-64","Female","Educational level","Post-school qualifications",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.173,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","No qualifications","25-64","Female","Educational level","University",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.305,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","School qualifications","25-64","Female","Educational level","University",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.359,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","Post-school qualifications","25-64","Female","Educational level","University",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
0.667,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020","University","25-64","Female","Educational level","University",NA,NA,12304,NA,NA,NA,"Percentage","SEB variable indicates parental level of education"
