"Ind_code","Ind_name","Area_code","Area_name","Area_type","Age","SEB","Category_type","Category","Value","LCI","UCI","SE","Sample_size","Time_period","Unit","Value_note","Sex","Category_type2","Category2"
"IN33","Occupational level of young people","TLI3","Inner London - West","ITL2","25-29",NA,"Occupational level","Higher professional",0.086212,-0.94100636,1.11343036,0.524091,72,"2018-2021","Random effect",NA,"Total",NA,NA
"IN33","Occupational level of young people","TLI4","Inner London - East","ITL2","25-29",NA,"Occupational level","Higher professional",0.008951,-1.00662888,1.02453088,0.518153,185,"2018-2021","Random effect",NA,"Total",NA,NA
"IN33","Occupational level of young people","TLI6","Outer London - South","ITL2","25-29",NA,"Occupational level","Higher professional",0.005565,-1.01339588,1.02452588,0.519878,145,"2018-2021","Random effect",NA,"Total",NA,NA
"IN33","Occupational level of young people","TLI5","Outer London - East and North East","ITL2","25-29",NA,"Occupational level","Higher professional",0.209765,-0.79915088,1.21868088,0.514753,236,"2018-2021","Random effect",NA,"Total",NA,NA
"IN33","Occupational level of young people","TLI7","Outer London - West and North West","ITL2","25-29",NA,"Occupational level","Higher professional",0.024796,-0.991121,1.040713,0.518325,172,"2018-2021","Random effect",NA,"Total",NA,NA
"IN33","Occupational level of young people","TLH2","Bedfordshire and Hertfordshire","ITL2","25-29",NA,"Occupational level","Higher professional",0.210581,-0.792988,1.21415,0.512025,295,"2018-2021","Random effect",NA,"Total",NA,NA
"IN33","Occupational level of young people","TLJ1","Berkshire, Buckinghamshire and Oxfordshire","ITL2","25-29",NA,"Occupational level","Higher professional",-0.00138,-0.99283228,0.99007228,0.505843,413,"2018-2021","Random effect",NA,"Total",NA,NA
"IN33","Occupational level of young people","TLD6","Cheshire","ITL2","25-29",NA,"Occupational level","Higher professional",-0.02341,-1.04214548,0.99532548,0.519763,148,"2018-2021","Random effect",NA,"Total",NA,NA
"IN33","Occupational level of young people","TLK3","Cornwall and Isles of Scilly","ITL2","25-29",NA,"Occupational level","Higher professional",-0.08617,-1.11188308,0.93954308,0.523323,87,"2018-2021","Random effect",NA,"Total",NA,NA
"IN33","Occupational level of young people","TLD1","Cumbria","ITL2","25-29",NA,"Occupational level","Higher professional",0.06844,-0.9540528,1.0909328,0.52168,112,"2018-2021","Random effect",NA,"Total",NA,NA
"IN33","Occupational level of young people","TLF1","Derbyshire and Nottinghamshire","ITL2","25-29",NA,"Occupational level","Higher professional",0.031714,-0.96467944,1.02810744,0.508364,363,"2018-2021","Random effect",NA,"Total",NA,NA
"IN33","Occupational level of young people","TLK4","Devon","ITL2","25-29",NA,"Occupational level","Higher professional",-0.02123,-1.03290556,0.99044556,0.516161,217,"2018-2021","Random effect",NA,"Total",NA,NA
"IN33","Occupational level of young people","TLK2","Dorset and Somerset","ITL2","25-29",NA,"Occupational level","Higher professional",0.161342,-0.84834416,1.17102816,0.515146,232,"2018-2021","Random effect",NA,"Total",NA,NA
"IN33","Occupational level of young people","TLH1","East Anglia","ITL2","25-29",NA,"Occupational level","Higher professional",-0.01542,-1.00749948,0.97665948,0.506163,414,"2018-2021","Random effect",NA,"Total",NA,NA
"IN33","Occupational level of young people","TLE1","East Yorkshire and Northern Lincolnshire","ITL2","25-29",NA,"Occupational level","Higher professional",-0.01276,-1.02968836,1.00416836,0.518841,166,"2018-2021","Random effect",NA,"Total",NA,NA
"IN33","Occupational level of young people","TLH3","Essex","ITL2","25-29",NA,"Occupational level","Higher professional",-0.01749,-1.02225068,0.98727068,0.512633,276,"2018-2021","Random effect",NA,"Total",NA,NA
"IN33","Occupational level of young people","TLK1","Gloucestershire, Wiltshire and Bath/Bristol area","ITL2","25-29",NA,"Occupational level","Higher professional",-0.05903,-1.04716008,0.92910008,0.504148,443,"2018-2021","Random effect",NA,"Total",NA,NA
"IN33","Occupational level of young people","TLD3","Greater Manchester","ITL2","25-29",NA,"Occupational level","Higher professional",0.110706,-0.88168708,1.10309908,0.506323,426,"2018-2021","Random effect",NA,"Total",NA,NA
"IN33","Occupational level of young people","TLJ3","Hampshire and Isle of Wight","ITL2","25-29",NA,"Occupational level","Higher professional",0.087223,-0.91612844,1.09057444,0.511914,294,"2018-2021","Random effect",NA,"Total",NA,NA
"IN33","Occupational level of young people","TLG1","Herefordshire, Worcestershire and Warwickshire","ITL2","25-29",NA,"Occupational level","Higher professional",-0.01498,-1.02610284,0.99614284,0.515879,225,"2018-2021","Random effect",NA,"Total",NA,NA
