"Ind_code","Ind_name","Area_code","Area_name","Area_type","Age","SEB","Category_type","Category","Value","LCI","UCI","SE","Sample_size","Time_period","Unit","Value_note","Sex","Category_type2","Category2"
"IN33","Occupational level of young people","K02000001","United Kingdom","Country","25-29","Lower working","Occupational level","Lower working",28.89492398,NA,NA,NA,820,"2014-21","Percentage",NA,"Women",NA,NA
"IN33","Occupational level of young people","K02000001","United Kingdom","Country","25-29","Lower working","Occupational level","Higher working",26.74878644,NA,NA,NA,798,"2014-21","Percentage",NA,"Women",NA,NA
"IN33","Occupational level of young people","K02000001","United Kingdom","Country","25-29","Lower working","Occupational level","Intermediate",21.19081848,NA,NA,NA,605,"2014-21","Percentage",NA,"Women",NA,NA
"IN33","Occupational level of young people","K02000001","United Kingdom","Country","25-29","Lower working","Occupational level","Lower professional",18.70939806,NA,NA,NA,530,"2014-21","Percentage",NA,"Women",NA,NA
"IN33","Occupational level of young people","K02000001","United Kingdom","Country","25-29","Lower working","Occupational level","Higher professional",4.456073036,NA,NA,NA,129,"2014-21","Percentage",NA,"Women",NA,NA
"IN33","Occupational level of young people","K02000001","United Kingdom","Country","25-29","Higher working","Occupational level","Lower working",19.08746044,NA,NA,NA,509,"2014-21","Percentage",NA,"Women",NA,NA
"IN33","Occupational level of young people","K02000001","United Kingdom","Country","25-29","Higher working","Occupational level","Higher working",25.62355959,NA,NA,NA,695,"2014-21","Percentage",NA,"Women",NA,NA
"IN33","Occupational level of young people","K02000001","United Kingdom","Country","25-29","Higher working","Occupational level","Intermediate",21.91259594,NA,NA,NA,599,"2014-21","Percentage",NA,"Women",NA,NA
"IN33","Occupational level of young people","K02000001","United Kingdom","Country","25-29","Higher working","Occupational level","Lower professional",26.27879052,NA,NA,NA,690,"2014-21","Percentage",NA,"Women",NA,NA
"IN33","Occupational level of young people","K02000001","United Kingdom","Country","25-29","Higher working","Occupational level","Higher professional",7.097593508,NA,NA,NA,181,"2014-21","Percentage",NA,"Women",NA,NA
"IN33","Occupational level of young people","K02000001","United Kingdom","Country","25-29","Intermediate","Occupational level","Lower working",19.11247639,NA,NA,NA,600,"2014-21","Percentage",NA,"Women",NA,NA
"IN33","Occupational level of young people","K02000001","United Kingdom","Country","25-29","Intermediate","Occupational level","Higher working",19.31531578,NA,NA,NA,638,"2014-21","Percentage",NA,"Women",NA,NA
"IN33","Occupational level of young people","K02000001","United Kingdom","Country","25-29","Intermediate","Occupational level","Intermediate",23.96239225,NA,NA,NA,792,"2014-21","Percentage",NA,"Women",NA,NA
"IN33","Occupational level of young people","K02000001","United Kingdom","Country","25-29","Intermediate","Occupational level","Lower professional",28.62368338,NA,NA,NA,909,"2014-21","Percentage",NA,"Women",NA,NA
"IN33","Occupational level of young people","K02000001","United Kingdom","Country","25-29","Intermediate","Occupational level","Higher professional",8.986132195,NA,NA,NA,285,"2014-21","Percentage",NA,"Women",NA,NA
"IN33","Occupational level of young people","K02000001","United Kingdom","Country","25-29","Lower professional","Occupational level","Lower working",14.06397949,NA,NA,NA,387,"2014-21","Percentage",NA,"Women",NA,NA
"IN33","Occupational level of young people","K02000001","United Kingdom","Country","25-29","Lower professional","Occupational level","Higher working",15.12496081,NA,NA,NA,444,"2014-21","Percentage",NA,"Women",NA,NA
"IN33","Occupational level of young people","K02000001","United Kingdom","Country","25-29","Lower professional","Occupational level","Intermediate",21.19189752,NA,NA,NA,626,"2014-21","Percentage",NA,"Women",NA,NA
"IN33","Occupational level of young people","K02000001","United Kingdom","Country","25-29","Lower professional","Occupational level","Lower professional",35.16142576,NA,NA,NA,977,"2014-21","Percentage",NA,"Women",NA,NA
"IN33","Occupational level of young people","K02000001","United Kingdom","Country","25-29","Lower professional","Occupational level","Higher professional",14.45773642,NA,NA,NA,392,"2014-21","Percentage",NA,"Women",NA,NA
"IN33","Occupational level of young people","K02000001","United Kingdom","Country","25-29","Higher professional","Occupational level","Lower working",11.17037697,NA,NA,NA,264,"2014-21","Percentage",NA,"Women",NA,NA
"IN33","Occupational level of young people","K02000001","United Kingdom","Country","25-29","Higher professional","Occupational level","Higher working",11.51318301,NA,NA,NA,292,"2014-21","Percentage",NA,"Women",NA,NA
"IN33","Occupational level of young people","K02000001","United Kingdom","Country","25-29","Higher professional","Occupational level","Intermediate",20.19408552,NA,NA,NA,479,"2014-21","Percentage",NA,"Women",NA,NA
"IN33","Occupational level of young people","K02000001","United Kingdom","Country","25-29","Higher professional","Occupational level","Lower professional",37.08414461,NA,NA,NA,870,"2014-21","Percentage",NA,"Women",NA,NA
"IN33","Occupational level of young people","K02000001","United Kingdom","Country","25-29","Higher professional","Occupational level","Higher professional",20.03820989,NA,NA,NA,452,"2014-21","Percentage",NA,"Women",NA,NA
