"Value","Ind_code","Ind_name","Area_type","Area_code","Area_name","Time_period","SEB","Age","Sex","Category_type","Category","Category_type2","Category2","Sample_size","LCI","UCI","SE","Unit","Value_note"
27.6,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020",NA,"25-64","Total","Ethnicity","White British",NA,NA,NA,26.7,28.5,NA,"Percentage","Percentage obtaining degrees of those whose parents did not have degrees (upwards mobility)"
43.9,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020",NA,"25-64","Total","Ethnicity","Other white",NA,NA,NA,39,48.8,NA,"Percentage","Percentage obtaining degrees of those whose parents did not have degrees (upwards mobility)"
32,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020",NA,"25-64","Total","Ethnicity","Mixed",NA,NA,NA,23.1,40.9,NA,"Percentage","Percentage obtaining degrees of those whose parents did not have degrees (upwards mobility)"
40.2,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020",NA,"25-64","Total","Ethnicity","Indian",NA,NA,NA,33.6,46.8,NA,"Percentage","Percentage obtaining degrees of those whose parents did not have degrees (upwards mobility)"
37.2,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020",NA,"25-64","Total","Ethnicity","Pakistani",NA,NA,NA,29.3,45.1,NA,"Percentage","Percentage obtaining degrees of those whose parents did not have degrees (upwards mobility)"
32.4,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020",NA,"25-64","Total","Ethnicity","Bangladeshi",NA,NA,NA,22.2,42.6,NA,"Percentage","Percentage obtaining degrees of those whose parents did not have degrees (upwards mobility)"
64.4,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020",NA,"25-64","Total","Ethnicity","Chinese",NA,NA,NA,48.4,80.4,NA,"Percentage","Percentage obtaining degrees of those whose parents did not have degrees (upwards mobility)"
33.1,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020",NA,"25-64","Total","Ethnicity","Black Caribbean",NA,NA,NA,25,41.2,NA,"Percentage","Percentage obtaining degrees of those whose parents did not have degrees (upwards mobility)"
29.3,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020",NA,"25-64","Total","Ethnicity","Black African",NA,NA,NA,21.1,37.5,NA,"Percentage","Percentage obtaining degrees of those whose parents did not have degrees (upwards mobility)"
35.2,"MO31","Absolute educational mobility","National",NA,"United Kingdom","2020",NA,"25-64","Total","Ethnicity","Other",NA,NA,NA,27.4,43,NA,"Percentage","Percentage obtaining degrees of those whose parents did not have degrees (upwards mobility)"
