"Ind_code","Ind_name","Area_code","Area_name","Area_type","Age","SEB","Category_type","Category","Value","LCI","UCI","SE","Sample_size","Time_period","Unit","Value_note","Sex"
"MO41","Absolute housing mobility",NA,"North East","ITL1","25-64","Owned",NA,NA,72.24072343,67.92544877,76.23555695,NA,468,"2016-20","Percentage",NA,"Total"
"MO41","Absolute housing mobility",NA,"North East","ITL1","25-64","Not owned",NA,NA,45.34926484,40.57283206,49.95571708,NA,451,"2016-20","Percentage",NA,"Total"
"MO41","Absolute housing mobility",NA,"South West","ITL1","25-64","Owned",NA,NA,72.66820735,69.94538904,75.17276364,NA,1154,"2016-20","Percentage",NA,"Total"
"MO41","Absolute housing mobility",NA,"South West","ITL1","25-64","Not owned",NA,NA,53.96334843,49.10588061,58.7102436,NA,432,"2016-20","Percentage",NA,"Total"
"MO41","Absolute housing mobility",NA,"Wales","ITL1","25-64","Owned",NA,NA,72.2035913,68.38599461,75.59557209,NA,620,"2016-20","Percentage",NA,"Total"
"MO41","Absolute housing mobility",NA,"Wales","ITL1","25-64","Not owned",NA,NA,51.93740574,46.00703086,57.65936822,NA,297,"2016-20","Percentage",NA,"Total"
"MO41","Absolute housing mobility",NA,"Scotland","ITL1","25-64","Owned",NA,NA,73.07891256,69.94046962,75.99114217,NA,857,"2016-20","Percentage",NA,"Total"
"MO41","Absolute housing mobility",NA,"Scotland","ITL1","25-64","Not owned",NA,NA,49.69912234,46.07751189,53.27311234,NA,767,"2016-20","Percentage",NA,"Total"
"MO41","Absolute housing mobility",NA,"North West","ITL1","25-64","Owned",NA,NA,72.07739416,69.74839522,74.31854362,NA,1522,"2016-20","Percentage",NA,"Total"
"MO41","Absolute housing mobility",NA,"North West","ITL1","25-64","Not owned",NA,NA,45.62363327,41.81799566,49.33717401,NA,698,"2016-20","Percentage",NA,"Total"
"MO41","Absolute housing mobility",NA,"Yorkshire and The Humber","ITL1","25-64","Owned",NA,NA,72.96079869,70.3871784,75.31529222,NA,1288,"2016-20","Percentage",NA,"Total"
"MO41","Absolute housing mobility",NA,"Yorkshire and The Humber","ITL1","25-64","Not owned",NA,NA,43.46446703,39.39408123,47.4825965,NA,599,"2016-20","Percentage",NA,"Total"
"MO41","Absolute housing mobility",NA,"East Midlands","ITL1","25-64","Owned",NA,NA,70.5888682,67.62876397,73.25132491,NA,1044,"2016-20","Percentage",NA,"Total"
"MO41","Absolute housing mobility",NA,"East Midlands","ITL1","25-64","Not owned",NA,NA,48.27908556,43.82163185,52.66952087,NA,510,"2016-20","Percentage",NA,"Total"
"MO41","Absolute housing mobility",NA,"West Midlands","ITL1","25-64","Owned",NA,NA,72.29794702,69.54341664,74.89251424,NA,1111,"2016-20","Percentage",NA,"Total"
"MO41","Absolute housing mobility",NA,"West Midlands","ITL1","25-64","Not owned",NA,NA,46.86959117,42.44192189,51.2957161,NA,508,"2016-20","Percentage",NA,"Total"
"MO41","Absolute housing mobility",NA,"East of England","ITL1","25-64","Owned",NA,NA,72.68871617,70.13753432,75.04740159,NA,1305,"2016-20","Percentage",NA,"Total"
"MO41","Absolute housing mobility",NA,"East of England","ITL1","25-64","Not owned",NA,NA,45.37939322,41.10991712,49.61711542,NA,547,"2016-20","Percentage",NA,"Total"
"MO41","Absolute housing mobility",NA,"London","ITL1","25-64","Owned",NA,NA,59.59102402,56.5836746,62.4055097,NA,1124,"2016-20","Percentage",NA,"Total"
"MO41","Absolute housing mobility",NA,"London","ITL1","25-64","Not owned",NA,NA,35.30692617,30.61543718,39.74664579,NA,439,"2016-20","Percentage",NA,"Total"
"MO41","Absolute housing mobility",NA,"South East","ITL1","25-64","Owned",NA,NA,74.94422536,72.755428,76.97638261,NA,1666,"2016-20","Percentage",NA,"Total"
"MO41","Absolute housing mobility",NA,"South East","ITL1","25-64","Not owned",NA,NA,47.83530081,43.37766483,51.99258896,NA,537,"2016-20","Percentage",NA,"Total"
