Ind_code,Ind_name,Area_type,Area_code,Area_name,Time_period,SEB,Age,Sex,Category_type,Category,Value,FSM_eligible,Not_known_to_be_FSM_eligible,Sample_size,LCI,UCI,SE,Unit,Value_note
IN13,Attainment at age 16,ITL2,TLC1,Tees Valley and Durham,2021-2022,FSM,16,Total,NA,NA,28.07116636,25.4761039,53.54727026,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN13,Attainment at age 16,ITL2,TLC2,"Northumberland, and Tyne and Wear",2021-2022,FSM,16,Total,NA,NA,29.99697461,23.78628377,53.78325838,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN13,Attainment at age 16,ITL2,TLD4,Lancashire,2021-2022,FSM,16,Total,NA,NA,24.29008863,24.05491803,48.34500666,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN13,Attainment at age 16,ITL2,TLD3,Greater Manchester,2021-2022,FSM,16,Total,NA,NA,24.90134147,28.89754516,53.79888663,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN13,Attainment at age 16,ITL2,TLD6,Cheshire,2021-2022,FSM,16,Total,NA,NA,34.55451429,21.874,56.42851429,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN13,Attainment at age 16,ITL2,TLD1,Cumbria,2021-2022,FSM,16,Total,NA,NA,27.5,22.9,50.4,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN13,Attainment at age 16,ITL2,TLD7,Merseyside,2021-2022,FSM,16,Total,NA,NA,29.51623704,22.38005019,51.89628723,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN13,Attainment at age 16,ITL2,TLE3,South Yorkshire,2021-2022,FSM,16,Total,NA,NA,28.02067607,24.93217438,52.95285045,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN13,Attainment at age 16,ITL2,TLE4,West Yorkshire,2021-2022,FSM,16,Total,NA,NA,27.76887091,27.41408176,55.18295267,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN13,Attainment at age 16,ITL2,TLE1,East Yorkshire and Northern Lincolnshire,2021-2022,FSM,16,Total,NA,NA,23.02388956,24.92936326,47.95325282,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN13,Attainment at age 16,ITL2,TLE2,North Yorkshire,2021-2022,FSM,16,Total,NA,NA,36.7,23.8,60.5,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN13,Attainment at age 16,ITL2,TLF1,Derbyshire and Nottinghamshire,2021-2022,FSM,16,Total,NA,NA,25.99207031,23.24662953,49.23869984,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN13,Attainment at age 16,ITL2,TLF2,"Leicestershire, Rutland and Northamptonshire",2021-2022,FSM,16,Total,NA,NA,24.23379898,26.37230246,50.60610144,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN13,Attainment at age 16,ITL2,TLF3,Lincolnshire,2021-2022,FSM,16,Total,NA,NA,27.9,24.5,52.4,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN13,Attainment at age 16,ITL2,TLG3,West Midlands,2021-2022,FSM,16,Total,NA,NA,22.62483419,31.75211387,54.37694806,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN13,Attainment at age 16,ITL2,TLG1,"Herefordshire, Worcestershire and Warwickshire",2021-2022,FSM,16,Total,NA,NA,25.1,24.4,49.5,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN13,Attainment at age 16,ITL2,TLG2,Shropshire and Staffordshire,2021-2022,FSM,16,Total,NA,NA,26.22832406,21.37017544,47.5984995,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN13,Attainment at age 16,ITL2,TLH2,Bedfordshire and Hertfordshire,2021-2022,FSM,16,Total,NA,NA,20.96446811,28.13959391,49.10406202,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN13,Attainment at age 16,ITL2,TLH1,East Anglia,2021-2022,FSM,16,Total,NA,NA,26.5,22.2,48.7,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN13,Attainment at age 16,ITL2,TLH3,Essex,2021-2022,FSM,16,Total,NA,NA,33.16698843,27.45226337,60.6192518,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN13,Attainment at age 16,ITL2,TLI3,Inner London - West,2021-2022,FSM,16,Total,NA,NA,19.42424532,49.49381488,68.9180602,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN13,Attainment at age 16,ITL2,TLI4,Inner London - East,2021-2022,FSM,16,Total,NA,NA,16.38815715,43.7609677,60.14912485,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN13,Attainment at age 16,ITL2,TLI5,Outer London - East and North East,2021-2022,FSM,16,Total,NA,NA,22.43803778,36.50062788,58.93866566,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN13,Attainment at age 16,ITL2,TLI7,Outer London - West and North West,2021-2022,FSM,16,Total,NA,NA,22.9673734,42.49449625,65.46186965,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN13,Attainment at age 16,ITL2,TLI6,Outer London - South,2021-2022,FSM,16,Total,NA,NA,29.01666237,36.4873546,65.50401697,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN13,Attainment at age 16,ITL2,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2021-2022,FSM,16,Total,NA,NA,33.67972158,28.07324455,61.75296613,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN13,Attainment at age 16,ITL2,TLJ2,"Surrey, East and West Sussex",2021-2022,FSM,16,Total,NA,NA,33.3,29.2,62.5,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
