"Ind_code","Ind_name","Area_code","Area_name","Area_type","Age","SEB","Category_type","Category","Value","LCI","UCI","SE","Sample_size","Time_period","Unit","Value_note","Sex"
"IN43","Income progression","K02000001","United Kingdom","Country","25","Lower working","Sex","Men",20483.86,19183.01,21784.71,663.6579,NA,"2014-21","Predictive margins",NA,"Men"
"IN43","Income progression","K02000001","United Kingdom","Country","26","Lower working","Sex","Men",21784.52,20659.89,22909.15,573.753,NA,"2014-21","Predictive margins",NA,"Men"
"IN43","Income progression","K02000001","United Kingdom","Country","27","Lower working","Sex","Men",23000.45,22018.75,23982.15,500.8346,NA,"2014-21","Predictive margins",NA,"Men"
"IN43","Income progression","K02000001","United Kingdom","Country","28","Lower working","Sex","Men",24131.65,23258.6,25004.69,445.4041,NA,"2014-21","Predictive margins",NA,"Men"
"IN43","Income progression","K02000001","United Kingdom","Country","29","Lower working","Sex","Men",25178.11,24380.08,25976.14,407.134,NA,"2014-21","Predictive margins",NA,"Men"
"IN43","Income progression","K02000001","United Kingdom","Country","30","Lower working","Sex","Men",26139.84,25386.34,26893.34,384.415,NA,"2014-21","Predictive margins",NA,"Men"
"IN43","Income progression","K02000001","United Kingdom","Country","31","Lower working","Sex","Men",27016.84,26283.01,27750.66,374.3753,NA,"2014-21","Predictive margins",NA,"Men"
"IN43","Income progression","K02000001","United Kingdom","Country","32","Lower working","Sex","Men",27809.1,27076.93,28541.27,373.535,NA,"2014-21","Predictive margins",NA,"Men"
"IN43","Income progression","K02000001","United Kingdom","Country","33","Lower working","Sex","Men",28516.63,27774.33,29258.94,378.7032,NA,"2014-21","Predictive margins",NA,"Men"
"IN43","Income progression","K02000001","United Kingdom","Country","34","Lower working","Sex","Men",29139.43,28379.65,29899.21,387.6197,NA,"2014-21","Predictive margins",NA,"Men"
"IN43","Income progression","K02000001","United Kingdom","Country","35","Lower working","Sex","Men",29677.49,28895.02,30459.97,399.1975,NA,"2014-21","Predictive margins",NA,"Men"
"IN43","Income progression","K02000001","United Kingdom","Country","36","Lower working","Sex","Men",30130.82,29320.32,30941.33,413.4957,NA,"2014-21","Predictive margins",NA,"Men"
"IN43","Income progression","K02000001","United Kingdom","Country","37","Lower working","Sex","Men",30499.42,29653.51,31345.33,431.5616,NA,"2014-21","Predictive margins",NA,"Men"
"IN43","Income progression","K02000001","United Kingdom","Country","38","Lower working","Sex","Men",30783.29,29891.06,31675.51,455.1893,NA,"2014-21","Predictive margins",NA,"Men"
"IN43","Income progression","K02000001","United Kingdom","Country","39","Lower working","Sex","Men",30982.42,30028.63,31936.2,486.5958,NA,"2014-21","Predictive margins",NA,"Men"
"IN43","Income progression","K02000001","United Kingdom","Country","40","Lower working","Sex","Men",31096.81,30061.8,32131.83,528.037,NA,"2014-21","Predictive margins",NA,"Men"
