"Region","Percentage (%)"
"Bedfordshire and Hertfordshire",43.294
"Berkshire, Buckinghamshire and Oxfordshire",50.414
"Cheshire",45.583
"Cornwall and Isles of Scilly",31.854
"Cumbria",27.962
"Derbyshire and Nottinghamshire",31.901
"Devon",34.648
"Dorset and Somerset",34.726
"East Anglia",31.075
"East Wales",37.684
"East Yorkshire and Northern Lincolnshire",25.924
"Eastern Scotland",41.332
"Essex",30.517
"Gloucestershire, Wiltshire and Bath/Bristol area",41.757
"Greater Manchester",34.845
"Hampshire and Isle of Wight",38.153
"Herefordshire, Worcestershire and Warwickshire",37.747
"Highlands and Islands",33.003
"Inner London - East",48.986
"Inner London - West",66.479
"Kent",34.35
"Lancashire",30.32
"Leicestershire, Rutland and Northamptonshire",32.271
"Lincolnshire",24.295
"Merseyside",32.829
"North Eastern Scotland",39.899
"North Yorkshire",38.255
"Northern Ireland",31.459
"Northumberland, and Tyne and Wear",29.617
"Outer London - East and North East",43.165
"Outer London - South",50.368
"Outer London - West and North West",52.306
"Shropshire and Staffordshire",31.32
"South Yorkshire",28.803
"Southern Scotland",27.912
"Surrey, East and West Sussex",44.682
"Tees Valley and Durham",26.594
"West Central Scotland",33.104
"West Midlands",29.909
"West Wales and The Valleys",28.491
"West Yorkshire",30.868
