"Region","FSM eligible (%)","Not FSM eligible (%)"
"Bedfordshire and Hertfordshire",40.53,65.913
"Berkshire, Buckinghamshire and Oxfordshire",39.538,67.16
"Cheshire",43.552,68.595
"Cornwall and Isles of Scilly",42.265,65.25
"Cumbria",38.84,60.875
"Derbyshire and Nottinghamshire",43.887,66.621
"Devon",41.055,64.755
"Dorset and Somerset",38.529,64.002
"East Anglia",39.326,62.102
"East Yorkshire and Northern Lincolnshire",49.472,67.639
"Essex",44.13,68.164
"Gloucestershire, Wiltshire and Bath/Bristol area",36.394,64.623
"Greater Manchester",48.104,67.655
"Hampshire and Isle of Wight",40.133,64.887
"Herefordshire, Worcestershire and Warwickshire",40.064,65.094
"Inner London - East",60.512,74.858
"Inner London - West",60.963,77.865
"Kent",43.369,68.841
"Lancashire",43.204,65.944
"Leicestershire, Rutland and Northamptonshire",44.693,66.307
"Lincolnshire",41.307,63.26
"Merseyside",43.572,66.018
"North Yorkshire",35.319,65.356
"Northumberland, and Tyne and Wear",47.9,69.596
"Outer London - East and North East",54.471,73.308
"Outer London - South",50.289,73.942
"Outer London - West and North West",54.311,74.025
"Shropshire and Staffordshire",45.595,66.304
"South Yorkshire",43.285,66.365
"Surrey, East and West Sussex",38.455,66.733
"Tees Valley and Durham",47.425,70.667
"West Midlands",50.181,66.855
"West Yorkshire",44.285,66.855
