"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","seb_three_cat"
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",1997,,,,,,,"1997-2024",4.013,,,,"Ratio",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",1998,,,,,,,"1997-2024",3.99,,,,"Ratio",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",1999,,,,,,,"1997-2024",3.993,,,,"Ratio",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",2000,,,,,,,"1997-2024",3.961,,,,"Ratio",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",2001,,,,,,,"1997-2024",4.033,,,,"Ratio",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",2002,,,,,,,"1997-2024",4.019,,,,"Ratio",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",2003,,,,,,,"1997-2024",3.978,,,,"Ratio",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",2004,,,,,,,"1997-2024",3.956,,,,"Ratio",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",2005,,,,,,,"1997-2024",3.996,,,,"Ratio",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",2006,,,,,,,"1997-2024",3.97,,,,"Ratio",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",2007,,,,,,,"1997-2024",3.93,,,,"Ratio",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",2008,,,,,,,"1997-2024",3.945,,,,"Ratio",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",2009,,,,,,,"1997-2024",3.948,,,,"Ratio",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",2010,,,,,,,"1997-2024",3.963,,,,"Ratio",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",2011,,,,,,,"1997-2024",3.962,,,,"Ratio",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",2012,,,,,,,"1997-2024",3.864,,,,"Ratio",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",2013,,,,,,,"1997-2024",3.863,,,,"Ratio",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",2014,,,,,,,"1997-2024",3.821,,,,"Ratio",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",2015,,,,,,,"1997-2024",3.725,,,,"Ratio",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",2016,,,,,,,"1997-2024",3.621,,,,"Ratio",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",2017,,,,,,,"1997-2024",3.568,,,,"Ratio",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",2018,,,,,,,"1997-2024",3.54,,,,"Ratio",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",2019,,,,,,,"1997-2024",3.456,,,,"Ratio",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",2020,,,,,,,"1997-2024",3.407,,,,"Ratio",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",2021,,,,,,,"1997-2024",3.268,,,,"Ratio",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",2022,,,,,,,"1997-2024",3.098,,,,"Ratio",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",2023,,,,,,,"1997-2024",3.03,,,,"Ratio",,
"dr11","Distribution of earnings","trend","K02000001","country","United Kingdom","year",2024,,,,,,,"1997-2024",2.985,,,,"Ratio",,
