"Ind_code","Ind_name","Area_code","Area_name","Area_type","Age","SEB","Category_type","Category","Value","LCI","UCI","SE","Sample_size","Time_period","Unit","Value_note","Sex","Quintile"
"CI2","Precarious situations","TLH2","Bedfordshire and Hertfordshire","ITL2",NA,NA,NA,NA,0.301524639,NA,NA,NA,NA,NA,NA,NA,"Total",3
"CI2","Precarious situations","TLJ1","Berkshire, Buckinghamshire and Oxfordshire","ITL2",NA,NA,NA,NA,0.329232982,NA,NA,NA,NA,NA,NA,NA,"Total",3
"CI2","Precarious situations","TLD6","Cheshire","ITL2",NA,NA,NA,NA,0.240735392,NA,NA,NA,NA,NA,NA,NA,"Total",2
"CI2","Precarious situations","TLK3","Cornwall and Isles of Scilly","ITL2",NA,NA,NA,NA,0.489063097,NA,NA,NA,NA,NA,NA,NA,"Total",5
"CI2","Precarious situations","TLD1","Cumbria","ITL2",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"Total",1
"CI2","Precarious situations","TLF1","Derbyshire and Nottinghamshire","ITL2",NA,NA,NA,NA,0.193447581,NA,NA,NA,NA,NA,NA,NA,"Total",1
"CI2","Precarious situations","TLK4","Devon","ITL2",NA,NA,NA,NA,0.201100974,NA,NA,NA,NA,NA,NA,NA,"Total",2
"CI2","Precarious situations","TLK2","Dorset and Somerset","ITL2",NA,NA,NA,NA,0.230378461,NA,NA,NA,NA,NA,NA,NA,"Total",2
"CI2","Precarious situations","TLH1","East Anglia","ITL2",NA,NA,NA,NA,0.303149327,NA,NA,NA,NA,NA,NA,NA,"Total",3
"CI2","Precarious situations","TLL2","East Wales","ITL2",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"Total",1
"CI2","Precarious situations","TLE1","East Yorkshire and Northern Lincolnshire","ITL2",NA,NA,NA,NA,0.16044414,NA,NA,NA,NA,NA,NA,NA,"Total",1
"CI2","Precarious situations","TLM7","Eastern Scotland","ITL2",NA,NA,NA,NA,0.532966067,NA,NA,NA,NA,NA,NA,NA,"Total",5
"CI2","Precarious situations","TLH3","Essex","ITL2",NA,NA,NA,NA,0.224220964,NA,NA,NA,NA,NA,NA,NA,"Total",2
"CI2","Precarious situations","TLK1","Gloucestershire, Wiltshire and Bath/Bristol area","ITL2",NA,NA,NA,NA,0.133566521,NA,NA,NA,NA,NA,NA,NA,"Total",1
"CI2","Precarious situations","TLD3","Greater Manchester","ITL2",NA,NA,NA,NA,0.507892158,NA,NA,NA,NA,NA,NA,NA,"Total",5
"CI2","Precarious situations","TLJ3","Hampshire and Isle of Wight","ITL2",NA,NA,NA,NA,0.204385115,NA,NA,NA,NA,NA,NA,NA,"Total",2
