Region,Difference compared to average (£)
Bedfordshire and Hertfordshire,0.812499232
"Berkshire, Buckinghamshire and Oxfordshire",0.438587698
Cheshire,-0.907641112
Cornwall and Isles of Scilly,-0.618827047
Cumbria,0.316734012
Derbyshire and Nottinghamshire,-0.053077773
Devon,0.160244906
Dorset and Somerset,0.528935186
East Anglia,-0.419467839
East Wales,-0.405089562
East Yorkshire and Northern Lincolnshire,-0.375605478
Eastern Scotland,-0.746903146
Essex,0.002107451
"Gloucestershire, Wiltshire and Bath/Bristol area",-0.692822274
Greater Manchester,-0.337258358
Hampshire and Isle of Wight,0.049657943
"Herefordshire, Worcestershire and Warwickshire",0.658623531
Highlands and Islands,-0.700920349
Inner London - East,1.176200163
Inner London - West,0.384965437
Kent,-0.53106819
Lancashire,-0.809443628
"Leicestershire, Rutland and Northamptonshire",0.576231979
Lincolnshire,-0.964636976
Merseyside,-0.193541879
North Eastern Scotland,0.088854073
North Yorkshire,0.748601924
Northern Ireland,-1.236443833
Northumberland and Tyne and Wear,-0.92732289
Outer London - East and North East,1.980863547
Outer London - South,1.519055458
Outer London - West and North West,1.059094648
Shropshire and Staffordshire,-0.322226593
South Yorkshire,-0.600835448
Southern Scotland,-0.58707495
"Surrey, East and West Sussex",1.844792872
Tees Valley and Durham,-0.865984884
West Central Scotland,0.757818854
West Midlands,-0.399139275
West Wales and The Valleys,-0.171506479
West Yorkshire,-0.237030952
