"Region","FSM eligible (%)","Not FSM eligible (%)"
"Bedfordshire and Hertfordshire",25.608,54.696
"Berkshire, Buckinghamshire and Oxfordshire",25.344,57.336
"Cheshire",18.334,52.204
"Cornwall and Isles of Scilly",20.962,44.946
"Cumbria",18.297,45.459
"Derbyshire and Nottinghamshire",21.651,50.31
"Devon",22.613,52.061
"Dorset and Somerset",24.192,50.8
"East Anglia",21.61,48.961
"East Yorkshire and Northern Lincolnshire",20.843,44.409
"Essex",20.709,50.623
"Gloucestershire, Wiltshire and Bath/Bristol area",21.493,52.771
"Greater Manchester",26.672,51.633
"Hampshire and Isle of Wight",19.099,49.154
"Herefordshire, Worcestershire and Warwickshire",20.372,51.451
"Inner London - East",41.967,58.341
"Inner London - West",45.292,67.037
"Kent",22.319,54.137
"Lancashire",21.321,49.556
"Leicestershire, Rutland and Northamptonshire",23.955,49.885
"Lincolnshire",20.839,49.585
"Merseyside",18.777,45.992
"North Yorkshire",22.158,54.05
"Northumberland, and Tyne and Wear",23.469,50.647
"Outer London - East and North East",34.684,57.809
"Outer London - South",32.868,64.205
"Outer London - West and North West",39.313,64.672
"Shropshire and Staffordshire",19.384,43.448
"South Yorkshire",22.113,50.153
"Surrey, East and West Sussex",22.67,54.965
"Tees Valley and Durham",24.067,49.434
"West Midlands",28.377,50.984
"West Yorkshire",25.022,52.351
