"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","time_period_formatted"
"in13","Attainment at age 16","index_trend","E92000001","Country","England","time_period",2011,,,,,,,2011,4.07,,,,"Disadvantage index",,"2010/11"
"in13","Attainment at age 16","index_trend","E92000001","Country","England","time_period",2012,,,,,,,2012,3.89,,,,"Disadvantage index",,"2011/12"
"in13","Attainment at age 16","index_trend","E92000001","Country","England","time_period",2013,,,,,,,2013,3.8,,,,"Disadvantage index",,"2012/13"
"in13","Attainment at age 16","index_trend","E92000001","Country","England","time_period",2014,,,,,,,2014,3.74,,,,"Disadvantage index",,"2013/14"
"in13","Attainment at age 16","index_trend","E92000001","Country","England","time_period",2015,,,,,,,2015,3.79,,,,"Disadvantage index",,"2014/15"
"in13","Attainment at age 16","index_trend","E92000001","Country","England","time_period",2016,,,,,,,2016,3.78,,,,"Disadvantage index",,"2015/16"
"in13","Attainment at age 16","index_trend","E92000001","Country","England","time_period",2017,,,,,,,2017,3.66,,,,"Disadvantage index",,"2016/17"
"in13","Attainment at age 16","index_trend","E92000001","Country","England","time_period",2018,,,,,,,2018,3.68,,,,"Disadvantage index",,"2017/18"
"in13","Attainment at age 16","index_trend","E92000001","Country","England","time_period",2019,,,,,,,2019,3.7,,,,"Disadvantage index",,"2018/19"
"in13","Attainment at age 16","index_trend","E92000001","Country","England","time_period",2020,,,,,,,2020,3.66,,,,"Disadvantage index",,"2019/20"
"in13","Attainment at age 16","index_trend","E92000001","Country","England","time_period",2021,,,,,,,2021,3.79,,,,"Disadvantage index",,"2020/21"
"in13","Attainment at age 16","index_trend","E92000001","Country","England","time_period",2022,,,,,,,2022,3.84,,,,"Disadvantage index",,"2021/22"
"in13","Attainment at age 16","index_trend","E92000001","Country","England","time_period",2023,,,,,,,2023,3.94,,,,"Disadvantage index",,"2022/23"
"in13","Attainment at age 16","index_trend","E92000001","Country","England","time_period",2024,,,,,,,2024,3.92,,,,"Disadvantage index",,"2023/24"
