Region,Index of ‘precarious situations’,Quintile
Bedfordshire and Hertfordshire,0.301524639,3
"Berkshire, Buckinghamshire and Oxfordshire",0.329232982,3
Cheshire,0.240735392,2
Cornwall and Isles of Scilly,0.489063097,5
Cumbria,0,1
Derbyshire and Nottinghamshire,0.193447581,1
Devon,0.201100974,2
Dorset and Somerset,0.230378461,2
East Anglia,0.303149327,3
East Wales,0,1
East Yorkshire and Northern Lincolnshire,0.16044414,1
Eastern Scotland,0.532966067,5
Essex,0.224220964,2
"Gloucestershire, Wiltshire and Bath/Bristol area",0.133566521,1
Greater Manchester,0.507892158,5
Hampshire and Isle of Wight,0.204385115,2
"Herefordshire, Worcestershire and Warwickshire",0.376801824,4
Highlands and Islands,0.455113757,4
Inner London - East,0.457052344,4
Inner London - West,0.514564755,5
Kent,0.272071805,2
Lancashire,0.356494893,4
"Leicestershire, Rutland and Northamptonshire",0.221869937,2
Lincolnshire,0.277110255,3
Merseyside,0.554116649,5
North Eastern Scotland,0.355665563,3
North Yorkshire,0,1
Northern Ireland,0.475651884,5
"Northumberland, and Tyne and Wear",0.836101369,5
Outer London - East and North East,0.241233245,2
Outer London - South,0.527374647,5
Outer London - West and North West,0.399208822,4
Shropshire and Staffordshire,0.31953563,3
South Yorkshire,0.507731047,5
Southern Scotland,0.187734704,1
"Surrey, East and West Sussex",0.084704639,1
Tees Valley and Durham,0.289586433,3
West Central Scotland,0.425035222,4
West Midlands,0.362219459,4
West Wales and The Valleys,0.308985194,3
West Yorkshire,0.370555355,4
