Socio-economic background,Disabled,Employment,Education and training,NEET
Higher professional,Yes,44.73,32.33,22.93
,No,54.97,37.23,7.8
,Gap,-10.24,-4.9,15.13
Lower professional,Yes,39.38,31.61,29.01
,No,60.45,31.23,8.32
,Gap,-21.07,0.38,20.69
Intermediate,Yes,42.21,27.48,30.31
,No,61.13,29.07,9.8
,Gap,-18.92,-1.59,20.51
Higher working,Yes,34.68,26.54,38.78
,No,60.32,28.38,11.3
,Gap,-25.64,-1.84,27.48
Lower working,Yes,23.61,31.46,44.93
,No,53.18,30.56,16.26
,Gap,-29.57,0.9,28.67
