Region,Ratio
Inner London - West,1.8336976
Inner London - East,1.3031593
Outer London - South,2.344885
Outer London - East and North East,1.3210803
Outer London - West and North West,2.392963
Bedfordshire and Hertfordshire,0.843828877
"Berkshire, Buckinghamshire and Oxfordshire",0.851338722
Cheshire,0.64009373
Cornwall and Isles of Scilly,0.832016321
Cumbria,0.638586609
Derbyshire and Nottinghamshire,0.597964422
Devon,0.561588451
Dorset and Somerset,0.680959925
East Anglia,0.70807985
East Yorkshire and Northern Lincolnshire,0.573918097
Essex,0.617799126
"Gloucestershire, Wiltshire and Bath/Bristol area",0.626153571
Greater Manchester,1.4513165
Hampshire and Isle of Wight,0.637135358
"Herefordshire, Worcestershire and Warwickshire",1.2662891
Kent,0.730523477
Lancashire,2.639626
"Leicestershire, Rutland and Northamptonshire",0.607772055
Lincolnshire,1.6188045
Merseyside,1.5084347
North Yorkshire,0.764495484
Northern Ireland,0.642292274
Northumberland and Tyne and Wear,3.556513
Shropshire and Staffordshire,0.6887734
South Yorkshire,0.920661786
"Surrey, East and West Sussex",0.543992659
Tees Valley and Durham,1.3145053
West Midlands,1.5760232
West Yorkshire,0.83823442
West Wales and The Valleys,0.678659347
East Wales,0.475430015
Highlands and Islands,0.626980671
Eastern Scotland,1.8940546
West Central Scotland,0.696091959
Southern Scotland,0.585542488
North Eastern Scotland,2.294591
