Socio-economic background,Sex,Lower level (below CSE grade 1),"O level, GCSE and equivalent",A level and equivalent,Further education below degree,First degree,Higher degree
Higher professional,Men,3.499574534,6.99032816,19.20092229,5.9283084,42.31556293,22.01900489
,Women,3.234604389,3.907674237,15.39993808,6.147321906,45.01297498,26.26203489
,Gap,0.264970145,3.082653923,3.80098421,-0.219013506,-2.69741205,-4.24303
Lower professional,Men,5.796087548,9.799664444,25.48549663,7.445893845,35.41289075,16.02208512
,Women,4.159557221,7.275069755,20.29717087,7.166163294,42.45319582,18.64884303
,Gap,1.636530327,2.524594689,5.18832576,0.279730551,-7.04030507,-2.62675791
Intermediate,Men,13.04605096,12.65099596,28.19529527,6.973091129,28.10817815,10.80177861
,Women,9.534174712,10.89491306,27.85876765,7.289450145,32.91137821,11.47941459
,Gap,3.511876248,1.7560829,0.33652762,-0.316359016,-4.80320006,-0.67763598
Higher working,Men,15.83255596,15.72688426,33.08024728,6.659522904,21.90573032,6.691254108
,Women,10.7810705,14.0170523,32.01473708,8.215384426,27.67078732,7.166001818
,Gap,5.05148546,1.70983196,1.0655102,-1.555861522,-5.765057,-0.47474771
Lower working,Men,25.14544538,17.66325825,30.88254037,5.969580454,15.17986601,4.91630818
,Women,19.11987426,17.71381235,31.32339424,7.238103182,18.62410537,5.829587978
,Gap,6.02557112,-0.0505541,-0.44085387,-1.268522728,-3.44423936,-0.913279798
