Ethnicity,Lower working,Higher professional,Gap
Bangladeshi,6.969164775,3.521243915,3.44792086
Chinese,11.91445909,6.182500496,5.731958594
Indian,11.20841429,5.793786816,5.414627474
Pakistani,17.10214348,9.133202135,7.968941345
Black African,17.31040955,9.255258847,8.055150703
Black Caribbean,15.79437125,8.373250788,7.421120462
Mixed,11.87128564,6.158645276,5.712640364
White British,6.421096528,3.23489811,3.186198418
White other,6.63767733,3.347854608,3.289822722
Other,12.82317481,6.687229083,6.135945727
