Socio-economic background,Sex,Lower working (%),Higher working (%),Intermediate (%),Lower professional (%),Higher professional (%)
Higher professional,Men,13.43525212,12.65594027,15.58022484,30.77649882,27.55208395
,Women,11.17037697,11.51318301,20.19408552,37.08414461,20.03820989
Lower professional,Men,14.45160202,17.44405974,18.66733943,28.52082756,20.91617125
,Women,14.06397949,15.12496081,21.19189752,35.16142576,14.45773642
Intermediate,Men,18.19448669,22.22366196,21.22044488,23.19122022,15.17018625
,Women,19.11247639,19.31531578,23.96239225,28.62368338,8.986132195
Higher working,Men,21.85032798,28.1141441,17.20119747,20.88922883,11.94510162
,Women,19.08746044,25.62355959,21.91259594,26.27879052,7.097593508
Lower working,Men,32.17313542,28.25802479,16.91734463,15.36978312,7.281712055
,Women,28.89492398,26.74878644,21.19081848,18.70939806,4.456073036
