ind_code,ind_name,area_type,area_code,area_name,time_period,seb,age,sex,category_type,category,category_type2,category2,value,sample_size,lci,uci,se,unit,value_note,Quintile
IN13,Attainment at age 16,Country,E92000001,England,202223,FSM eligible,16,Boys,NA,NA,NA,NA,23.3,69628,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Not known to be FSM eligible,16,Boys,NA,NA,NA,NA,49,239025,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Disadvantaged,16,Boys,NA,NA,NA,NA,23.6,80790,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Not known to be disadvantaged,16,Boys,NA,NA,NA,NA,50.1,227863,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Total,16,Boys,NA,NA,NA,NA,43.2,308653,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,FSM eligible,16,Girls,NA,NA,NA,NA,26.5,66440,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Not known to be FSM eligible,16,Girls,NA,NA,NA,NA,53.5,228555,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Disadvantaged,16,Girls,NA,NA,NA,NA,26.8,77194,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Not known to be disadvantaged,16,Girls,NA,NA,NA,NA,54.7,217801,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Total,16,Girls,NA,NA,NA,NA,47.4,294995,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,FSM eligible,16,Total,NA,NA,NA,NA,24.8,136068,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Not known to be FSM eligible,16,Total,NA,NA,NA,NA,51.2,467580,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Disadvantaged,16,Total,NA,NA,NA,NA,25.2,157984,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Not known to be disadvantaged,16,Total,NA,NA,NA,NA,52.4,445664,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202223,Total,16,Total,NA,NA,NA,NA,45.3,603648,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202122,FSM eligible,16,Boys,NA,NA,NA,NA,26.4,61945,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202122,Not known to be FSM eligible,16,Boys,NA,NA,NA,NA,52.7,237102,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202122,Disadvantaged,16,Boys,NA,NA,NA,NA,27.6,78444,NA,NA,NA,Percentage,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,202122,Not known to be disadvantaged,16,Boys,NA,NA,NA,NA,54.2,220603,NA,NA,NA,Percentage,NA,NA
