"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","value_for_chart"
"dr41","Civic engagement","trend","E92000001","Country","England","time_period","2013/14",,,,,,,"2013/14",38.561,,,,"Percent",,"38.561"
"dr41","Civic engagement","trend","E92000001","Country","England","time_period","2014/15",,,,,,,"2014/15",35.365,,,,"Percent",,"35.365"
"dr41","Civic engagement","trend","E92000001","Country","England","time_period","2015/16",,,,,,,"2015/16",33.335,,,,"Percent",,"33.335"
"dr41","Civic engagement","trend","E92000001","Country","England","time_period","2016/17",,,,,,,"2016/17",41.123,,,,"Percent",,"41.123"
"dr41","Civic engagement","trend","E92000001","Country","England","time_period","2017/18",,,,,,,"2017/18",37.827,,,,"Percent",,"37.827"
"dr41","Civic engagement","trend","E92000001","Country","England","time_period","2018/19",,,,,,,"2018/19",34.351,,,,"Percent",,"34.351"
"dr41","Civic engagement","trend","E92000001","Country","England","time_period","2019/20",,,,,,,"2019/20",40.7,39.5,41.9,,"Percent",,"40.7"
"dr41","Civic engagement","trend","E92000001","Country","England","time_period","2020/21",,,,,,,"2020/21",41.256,40.083,42.439,,"Percent",,"41.256"
"dr41","Civic engagement","trend","E92000001","Country","England","time_period","2021/22",,,,,,,"2021/22",33.93,32.833,35.045,,"Percent",,"33.93"
"dr41","Civic engagement","trend","E92000001","Country","England","time_period","2022/23",,,,,,,"2022/23",,,,,"Percent",,"x"
"dr41","Civic engagement","trend","E92000001","Country","England","time_period","2023/24",,,,,,,"2023/24",33.338,33.058,33.621,,"Percent",,"33.338"
