ind_code,ind_name,area_type,area_code,area_name,time_period,seb,age,sex,category_type,category,category_type2,category2,value,sample_size,lci,uci,se,unit,value_note,Quintile
IN13,Attainment at age 16,Country,E92000001,England,2011,Total,16,Total,NA,NA,NA,NA,4.07,NA,NA,NA,NA,Disadvantage index,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,2012,Total,16,Total,NA,NA,NA,NA,3.89,NA,NA,NA,NA,Disadvantage index,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,2013,Total,16,Total,NA,NA,NA,NA,3.81,NA,NA,NA,NA,Disadvantage index,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,2014,Total,16,Total,NA,NA,NA,NA,3.74,NA,NA,NA,NA,Disadvantage index,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,2015,Total,16,Total,NA,NA,NA,NA,3.8,NA,NA,NA,NA,Disadvantage index,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,2016,Total,16,Total,NA,NA,NA,NA,3.78,NA,NA,NA,NA,Disadvantage index,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,2017,Total,16,Total,NA,NA,NA,NA,3.66,NA,NA,NA,NA,Disadvantage index,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,2018,Total,16,Total,NA,NA,NA,NA,3.68,NA,NA,NA,NA,Disadvantage index,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,2019,Total,16,Total,NA,NA,NA,NA,3.7,NA,NA,NA,NA,Disadvantage index,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,2020,Total,16,Total,NA,NA,NA,NA,3.66,NA,NA,NA,NA,Disadvantage index,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,2021,Total,16,Total,NA,NA,NA,NA,3.79,NA,NA,NA,NA,Disadvantage index,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,2022,Total,16,Total,NA,NA,NA,NA,3.84,NA,NA,NA,NA,Disadvantage index,NA,NA
IN13,Attainment at age 16,Country,E92000001,England,2023,Total,16,Total,NA,NA,NA,NA,3.95,NA,NA,NA,NA,Disadvantage index,NA,NA
