Region,FSM eligible (%),Not FSM eligible (%)
Bedfordshire and Hertfordshire,24.70,54.95
"Berkshire, Buckinghamshire and Oxfordshire",24.49,56.65
Cheshire,18.35,50.85
Cornwall and Isles of Scilly,19.20,44.49
Cumbria,18.64,44.06
Derbyshire and Nottinghamshire,20.70,49.19
Devon,20.51,50.69
Dorset and Somerset,22.02,48.82
East Anglia,21.43,47.60
East Yorkshire and Northern Lincolnshire,20.60,45.05
Essex,20.61,49.44
"Gloucestershire, Wiltshire and Bath/Bristol area",21.05,51.58
Greater Manchester,25.23,49.82
Hampshire and Isle of Wight,16.95,48.23
"Herefordshire, Worcestershire and Warwickshire",20.99,51.36
Inner London - East,40.00,57.45
Inner London - West,42.10,64.99
Kent,21.47,52.58
Lancashire,20.15,48.96
"Leicestershire, Rutland and Northamptonshire",23.60,47.79
Lincolnshire,22.40,48.80
Merseyside,17.27,46.08
North Yorkshire,21.08,51.34
"Northumberland, and Tyne and Wear",21.27,50.07
Outer London - East and North East,34.18,56.21
Outer London - South,33.50,63.10
Outer London - West and North West,38.83,62.58
Shropshire and Staffordshire,17.85,43.79
South Yorkshire,22.20,49.00
"Surrey, East and West Sussex",21.44,53.38
Tees Valley and Durham,22.98,49.51
West Midlands,26.96,49.08
West Yorkshire,23.76,50.29
