Ind_code,Ind_name,Area_code,Area_name,Area_type,Age,SEB,Category_type,Category,Value,LCI,UCI,SE,Sample_size,Time_period,Unit,Value_note,Sex
IN43,Income progression,K02000001,United Kingdom,Country,25,Higher professional,Sex,Men,29983.63,28270.35,31696.91,874.0675,NA,2014-21,Predictive margins,NA,Men
IN43,Income progression,K02000001,United Kingdom,Country,26,Higher professional,Sex,Men,31765.92,30221.96,33309.88,787.6862,NA,2014-21,Predictive margins,NA,Men
IN43,Income progression,K02000001,United Kingdom,Country,27,Higher professional,Sex,Men,33463.48,32060.43,34866.52,715.7928,NA,2014-21,Predictive margins,NA,Men
IN43,Income progression,K02000001,United Kingdom,Country,28,Higher professional,Sex,Men,35076.3,33785.94,36366.65,658.3037,NA,2014-21,Predictive margins,NA,Men
IN43,Income progression,K02000001,United Kingdom,Country,29,Higher professional,Sex,Men,36604.39,35399.26,37809.51,614.8214,NA,2014-21,Predictive margins,NA,Men
IN43,Income progression,K02000001,United Kingdom,Country,30,Higher professional,Sex,Men,38047.74,36901.9,39193.58,584.5759,NA,2014-21,Predictive margins,NA,Men
IN43,Income progression,K02000001,United Kingdom,Country,31,Higher professional,Sex,Men,39406.36,38296.02,40516.7,566.4645,NA,2014-21,Predictive margins,NA,Men
IN43,Income progression,K02000001,United Kingdom,Country,32,Higher professional,Sex,Men,40680.25,39584.13,41776.37,559.2086,NA,2014-21,Predictive margins,NA,Men
IN43,Income progression,K02000001,United Kingdom,Country,33,Higher professional,Sex,Men,41869.41,40768.63,42970.18,561.5849,NA,2014-21,Predictive margins,NA,Men
IN43,Income progression,K02000001,United Kingdom,Country,34,Higher professional,Sex,Men,42973.83,41851.37,44096.29,572.6489,NA,2014-21,Predictive margins,NA,Men
IN43,Income progression,K02000001,United Kingdom,Country,35,Higher professional,Sex,Men,43993.52,42833.37,45153.67,591.877,NA,2014-21,Predictive margins,NA,Men
IN43,Income progression,K02000001,United Kingdom,Country,36,Higher professional,Sex,Men,44928.47,43714.76,46142.19,619.2027,NA,2014-21,Predictive margins,NA,Men
IN43,Income progression,K02000001,United Kingdom,Country,37,Higher professional,Sex,Men,45778.7,44494.9,47062.49,654.9571,NA,2014-21,Predictive margins,NA,Men
IN43,Income progression,K02000001,United Kingdom,Country,38,Higher professional,Sex,Men,46544.19,45172.59,47915.79,699.7523,NA,2014-21,Predictive margins,NA,Men
IN43,Income progression,K02000001,United Kingdom,Country,39,Higher professional,Sex,Men,47224.94,45746.34,48703.55,754.3418,NA,2014-21,Predictive margins,NA,Men
IN43,Income progression,K02000001,United Kingdom,Country,40,Higher professional,Sex,Men,47820.97,46214.65,49427.28,819.4952,NA,2014-21,Predictive margins,NA,Men
IN43,Income progression,K02000001,United Kingdom,Country,41,Higher professional,Sex,Men,48332.26,46576.17,50088.34,895.9057,NA,2014-21,Predictive margins,NA,Men
IN43,Income progression,K02000001,United Kingdom,Country,42,Higher professional,Sex,Men,48758.81,46829.78,50687.85,984.1387,NA,2014-21,Predictive margins,NA,Men
IN43,Income progression,K02000001,United Kingdom,Country,43,Higher professional,Sex,Men,49100.64,46974.65,51226.62,1084.617,NA,2014-21,Predictive margins,NA,Men
IN43,Income progression,K02000001,United Kingdom,Country,44,Higher professional,Sex,Men,49357.73,47010.22,51705.23,1197.631,NA,2014-21,Predictive margins,NA,Men
IN43,Income progression,K02000001,United Kingdom,Country,25,Lower professional,Sex,Men,26855.66,25457.81,28253.51,713.145,NA,2014-21,Predictive margins,NA,Men
IN43,Income progression,K02000001,United Kingdom,Country,26,Lower professional,Sex,Men,28601.62,27363.52,29839.71,631.6413,NA,2014-21,Predictive margins,NA,Men
IN43,Income progression,K02000001,United Kingdom,Country,27,Lower professional,Sex,Men,30262.85,29150.76,31374.94,567.3566,NA,2014-21,Predictive margins,NA,Men
IN43,Income progression,K02000001,United Kingdom,Country,28,Lower professional,Sex,Men,31839.34,30819.56,32859.12,520.2648,NA,2014-21,Predictive margins,NA,Men
IN43,Income progression,K02000001,United Kingdom,Country,29,Lower professional,Sex,Men,33331.1,32371.74,34290.46,489.4392,NA,2014-21,Predictive margins,NA,Men
IN43,Income progression,K02000001,United Kingdom,Country,30,Lower professional,Sex,Men,34738.13,33811.14,35665.12,472.9225,NA,2014-21,Predictive margins,NA,Men
IN43,Income progression,K02000001,United Kingdom,Country,31,Lower professional,Sex,Men,36060.42,35143.08,36977.77,468.0053,NA,2014-21,Predictive margins,NA,Men
IN43,Income progression,K02000001,United Kingdom,Country,32,Lower professional,Sex,Men,37297.98,36373.16,38222.8,471.8174,NA,2014-21,Predictive margins,NA,Men
IN43,Income progression,K02000001,United Kingdom,Country,33,Lower professional,Sex,Men,38450.81,37506.19,39395.44,481.9205,NA,2014-21,Predictive margins,NA,Men
