Region,Difference compared to average
Inner London - West,83.36976
Inner London - East,30.31593
Outer London - South,134.4885
Outer London - East and North East,32.10803
Outer London - West and North West,139.2963
Bedfordshire and Hertfordshire,-18.50744
"Berkshire, Buckinghamshire and Oxfordshire",-17.46206
Cheshire,-56.22712
Cornwall and Isles of Scilly,-20.18995
Cumbria,-56.59583
Derbyshire and Nottinghamshire,-67.23403
Devon,-78.06634
Dorset and Somerset,-46.85152
East Anglia,-41.22701
East Yorkshire and Northern Lincolnshire,-74.24089
Essex,-61.86491
"Gloucestershire, Wiltshire and Bath/Bristol area",-59.70523
Greater Manchester,45.13165
Hampshire and Isle of Wight,-56.95252
"Herefordshire, Worcestershire and Warwickshire",26.62891
Kent,-36.88814
Lancashire,163.9626
"Leicestershire, Rutland and Northamptonshire",-64.53537
Lincolnshire,61.88045
Merseyside,50.84347
North Yorkshire,-30.80522
Northern Ireland,-55.69236
Northumberland and Tyne and Wear,255.6513
Shropshire and Staffordshire,-45.18563
South Yorkshire,-8.61752
"Surrey, East and West Sussex",-83.82601
Tees Valley and Durham,31.45053
West Midlands,57.60232
West Yorkshire,-19.29837
West Wales and The Valleys,-47.34933
East Wales,-110.3359
Highlands and Islands,-59.49455
Eastern Scotland,89.40546
West Central Scotland,-43.65918
Southern Scotland,-70.7818
North Eastern Scotland,129.4591
