Region,Index of 'innovation and growth',Group
Aberdeen city,0.805716201,Middle Group
Aberdeenshire,-0.814651262,Middle Group
Angus,-0.905154628,Middle Group
Argyll and Bute Islands,-2.411842915,Least Favourable
Barking and Dagenham,-0.787594688,Middle Group
Barnet,1.056134429,Favourable
Barnsley,-1.085019862,Unfavourable
Bath and North East Somerset,0.685720397,Middle Group
Bedford,0.771102107,Middle Group
Bexley,-0.761161698,Middle Group
Birmingham,0.485635458,Middle Group
Blackburn with Darwen,-0.349589656,Middle Group
Blackpool,-0.392271312,Middle Group
Blaenau Gwent,-1.924839753,Least Favourable
Bolton,-0.283549674,Middle Group
"Bournemouth, Christchurch and Poole",0.128621292,Middle Group
Bracknell Forest,1.268232896,Favourable
Bradford,-0.295177086,Middle Group
Brent,0.820712598,Middle Group
Bridgend,-0.89098782,Middle Group
Brighton and Hove,1.18614681,Favourable
Bristol,1.733315092,Favourable
Bromley,0.249296399,Middle Group
Buckinghamshire,0.973892978,Middle Group
Bury,-0.239184827,Middle Group
Caerphilly,-1.240155793,Unfavourable
Calderdale,-0.790693776,Middle Group
Cambridgeshire county council,1.312661857,Favourable
Camden and City of London,3.069747418,Most Favourable
Cardiff,1.068519763,Favourable
Carmarthenshire county council,-1.205440022,Unfavourable
Central Bedfordshire,0.979239139,Middle Group
Ceredigion county council,-1.222931947,Unfavourable
Cheshire East,1.230372116,Favourable
Cheshire West and Chester,1.611107423,Favourable
Edinburgh city,1.365480582,Favourable
Clackmannanshire,-0.35001306,Middle Group
Conwy,-0.477631106,Middle Group
Cornwall and Isles of Scilly,-1.729490477,Least Favourable
Coventry,0.511130905,Middle Group
Croydon,0.022236786,Middle Group
Cumbria county council,-0.993276231,Middle Group
Darlington,-0.215441258,Middle Group
Denbighshire county council,-0.890058029,Middle Group
Derby,0.930999666,Middle Group
Derbyshire county council,-0.069141402,Middle Group
Devon county council,-0.749664076,Middle Group
Doncaster,-0.920954841,Middle Group
Dorset,-0.934285094,Middle Group
Dudley,0.054034315,Middle Group
Dumfries and Galloway,-2.20658454,Least Favourable
Dundee city,0.672152415,Middle Group
Durham county council,-1.012813474,Unfavourable
Ealing,1.343022888,Favourable
East Ayrshire,-1.549520788,Unfavourable
East Dunbartonshire,0.400657574,Middle Group
East Lothian,0.240282972,Middle Group
East Renfrewshire,0.633484701,Middle Group
East Riding of Yorkshire,-0.378215706,Middle Group
East Sussex county council,-0.115002003,Middle Group
Enfield,-0.498605249,Middle Group
Essex county council,0.140384434,Middle Group
Falkirk,0.080425297,Middle Group
Fife,-0.070214897,Middle Group
Flintshire county council,-0.548328088,Middle Group
Gateshead,-0.38388268,Middle Group
Glasgow,0.266210299,Middle Group
Gloucestershire county council,0.397938993,Middle Group
Greenwich,-0.217369071,Middle Group
Gwynedd,-1.389316772,Unfavourable
Hackney,1.070774505,Favourable
Halton,-0.293941402,Middle Group
Hammersmith and Fulham,2.510152884,Most Favourable
Hampshire county council,0.39279924,Middle Group
Haringey,0.907678037,Middle Group
Harrow,0.983568065,Middle Group
Hartlepool,-0.403236009,Middle Group
Havering,-0.904245252,Middle Group
Herefordshire,0.363352998,Middle Group
Hertfordshire county council,1.099741065,Favourable
Highland,-1.838462178,Least Favourable
Hillingdon,0.671186192,Middle Group
Hounslow,1.136160157,Favourable
Inverclyde,-0.504928745,Middle Group
Isle of Anglesey,-1.519542157,Unfavourable
Isle of Wight,0.170111826,Middle Group
Islington,1.493891915,Favourable
Kensington and Chelsea,2.649060739,Most Favourable
Kent county council,0.043708933,Middle Group
Hull,-0.112011639,Middle Group
Kingston upon Thames,0.570533979,Middle Group
Kirklees,-0.28464419,Middle Group
Knowsley,-0.053434065,Middle Group
Lambeth,1.112183137,Favourable
Lancashire county council,-0.095629551,Middle Group
Leeds,0.266522131,Middle Group
Leicester,0.360805629,Middle Group
Leicestershire county council,-0.181590756,Middle Group
Lewisham,0.843018823,Middle Group
Lincolnshire county council,-1.291616519,Unfavourable
Liverpool,0.381657635,Middle Group
Luton,0.96628373,Middle Group
Manchester,0.181496415,Middle Group
Medway,0.184857939,Middle Group
Merthyr Tydfil,-1.196511267,Unfavourable
Merton,0.476058432,Middle Group
Middlesbrough,-0.193123816,Middle Group
Midlothian,0.169597526,Middle Group
Milton Keynes,1.265248735,Favourable
Monmouthshire county council,-0.097697742,Middle Group
Moray,-1.777879848,Least Favourable
Na h-Eileanan Siar,-2.65040431,Least Favourable
Neath Port Talbot,-1.104060371,Unfavourable
