Ind_code,Ind_name,Area_type,Area_code,Area_name,Time_period,SEB,Age,Sex,Category_type,Category,Value,Sample_size,LCI,UCI,SE,Unit,Value_note
DR52,Business enterprise R&D expenditure,National,NA,United Kingdom,2007,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Euros,NA
DR52,Business enterprise R&D expenditure,National,NA,United Kingdom,2008,NA,NA,NA,NA,NA,0.84707115,NA,NA,NA,NA,Euros,NA
DR52,Business enterprise R&D expenditure,National,NA,United Kingdom,2009,NA,NA,NA,NA,NA,0.990004288,NA,NA,NA,NA,Euros,NA
DR52,Business enterprise R&D expenditure,National,NA,United Kingdom,2010,NA,NA,NA,NA,NA,0.859496439,NA,NA,NA,NA,Euros,NA
DR52,Business enterprise R&D expenditure,National,NA,United Kingdom,2011,NA,NA,NA,NA,NA,0.784178365,NA,NA,NA,NA,Euros,NA
DR52,Business enterprise R&D expenditure,National,NA,United Kingdom,2012,NA,NA,NA,NA,NA,0.903524219,NA,NA,NA,NA,Euros,NA
DR52,Business enterprise R&D expenditure,National,NA,United Kingdom,2013,NA,NA,NA,NA,NA,0.989611868,NA,NA,NA,NA,Euros,NA
DR52,Business enterprise R&D expenditure,National,NA,United Kingdom,2014,NA,NA,NA,NA,NA,1.011836806,NA,NA,NA,NA,Euros,NA
DR52,Business enterprise R&D expenditure,National,NA,United Kingdom,2015,NA,NA,NA,NA,NA,1.300255602,NA,NA,NA,NA,Euros,NA
DR52,Business enterprise R&D expenditure,National,NA,United Kingdom,2016,NA,NA,NA,NA,NA,1.202074782,NA,NA,NA,NA,Euros,NA
DR52,Business enterprise R&D expenditure,National,NA,United Kingdom,2017,NA,NA,NA,NA,NA,1.325741491,NA,NA,NA,NA,Euros,NA
DR52,Business enterprise R&D expenditure,National,NA,United Kingdom,2018,NA,NA,NA,NA,NA,1.324977196,NA,NA,NA,NA,Euros,NA
