"Region","Lower working (%)","Higher professional (%)"
"Bedfordshire and Hertfordshire",15.824,22.643
"Berkshire, Buckinghamshire and Oxfordshire",13.223,25.224
"Cheshire",14.719,24.52
"Cornwall and Isles of Scilly",17.311,12.6
"Cumbria",16.167,12.038
"Derbyshire and Nottinghamshire",19.311,15.57
"Devon",15.547,15.125
"Dorset and Somerset",14.626,15.75
"East Anglia",17.317,16.43
"East Wales",18.45,16.022
"East Yorkshire and Northern Lincolnshire",25.401,10.615
"Eastern Scotland",18.628,18.351
"Essex",15.973,17.353
"Gloucestershire, Wiltshire and Bath/Bristol area",14.773,21.674
"Greater Manchester",22.655,15.37
"Hampshire and Isle of Wight",14.488,20.165
"Herefordshire, Worcestershire and Warwickshire",16.002,19.884
"Highlands and Islands",14.597,10.902
"Inner London - East",26.181,19.154
"Inner London - West",18.104,30.883
"Kent",15.869,17.437
"Lancashire",21.018,13.462
"Leicestershire, Rutland and Northamptonshire",20.797,15.75
"Lincolnshire",21.528,13.08
"Merseyside",20.091,15.118
"North Eastern Scotland",17.423,18.758
"North Yorkshire",12.659,18.843
"Northern Ireland",22.747,12.877
"Northumberland, and Tyne and Wear",22.803,13.331
"Outer London - East and North East",20.723,16.054
"Outer London - South",15.459,24.926
"Outer London - West and North West",19.501,21.913
"Shropshire and Staffordshire",17.294,14.29
"South Yorkshire",23.606,12.777
"Southern Scotland",18.648,11.315
"Surrey, East and West Sussex",11.881,23.141
"Tees Valley and Durham",23.698,10.918
"West Central Scotland",22.757,16.037
"West Midlands",28.531,12.436
"West Wales and The Valleys",21.656,10.387
"West Yorkshire",24.069,15.024
