Ind_code,Ind_name,Area_code,Area_name,Area_type,Age,SEB,Category_type,Category,Value,LCI,UCI,SE,Sample_size,Time_period,Unit,Value_note
IN21a,Destinations following the end of compulsory full-time education:NEET,K02000001,United Kingdom,Country,16-24 ,Higher professional,,,9.8,8.141822878,11.45817712,1.658177122,1235,2021,Percentage,
IN21a,Destinations following the end of compulsory full-time education:NEET,K02000001,United Kingdom,Country,16-24 ,Lower professional,,,10.6,8.873319632,12.32668037,1.726680368,1221,2021,Percentage,
IN21a,Destinations following the end of compulsory full-time education:NEET,K02000001,United Kingdom,Country,16-24 ,Intermediate,,,11.4,9.472177129,13.32782287,1.927822871,1044,2021,Percentage,
IN21a,Destinations following the end of compulsory full-time education:NEET,K02000001,United Kingdom,Country,16-24 ,Higher working,,,10.3,8.033666068,12.56633393,2.266333932,691,2021,Percentage,
IN21a,Destinations following the end of compulsory full-time education:NEET,K02000001,United Kingdom,Country,16-24 ,Lower working,,,18.7,15.88115953,21.51884047,2.818840467,735,2021,Percentage,
IN21a,Destinations following the end of compulsory full-time education:NEET,K02000001,United Kingdom,Country,16-24 ,Total,,,12,11.09252881,12.90747119,0.90747119,4926,2021,Percentage,
IN23,Highest qualification of young people ,K02000001,United Kingdom,Country,25-29,Higher professional,Highest qualification,1.Higher degree,26.14,22.612,29.668,1.8,1012,2018-2021,Percentage,
IN23,Highest qualification of young people ,K02000001,United Kingdom,Country,25-29,Lower professional,Highest qualification,1.Higher degree,19.84,16.704,22.976,1.6,847,2018-2021,Percentage,
IN23,Highest qualification of young people ,K02000001,United Kingdom,Country,25-29,Intermediate,Highest qualification,1.Higher degree,13.19,10.642,15.738,1.3,611,2018-2021,Percentage,
IN23,Highest qualification of young people ,K02000001,United Kingdom,Country,25-29,Higher working,Highest qualification,1.Higher degree,10.66,7.72,13.6,1.5,305,2018-2021,Percentage,
IN23,Highest qualification of young people ,K02000001,United Kingdom,Country,25-29,Lower working,Highest qualification,1.Higher degree,7.46,5.108,9.812,1.2,254,2018-2021,Percentage,
IN23,Highest qualification of young people ,K02000001,United Kingdom,Country,25-29,Total,Highest qualification,1.Higher degree,15.87,14.498,17.242,0.7,3029,2018-2021,Percentage,
IN23,Highest qualification of young people ,K02000001,United Kingdom,Country,25-29,Higher professional,Highest qualification,2.First degree,45.24,,,,1890,2018-2021,Percentage,
IN23,Highest qualification of young people ,K02000001,United Kingdom,Country,25-29,Lower professional,Highest qualification,2.First degree,40.09,,,,2040,2018-2021,Percentage,
IN23,Highest qualification of young people ,K02000001,United Kingdom,Country,25-29,Intermediate,Highest qualification,2.First degree,34.78,,,,1809,2018-2021,Percentage,
IN23,Highest qualification of young people ,K02000001,United Kingdom,Country,25-29,Higher working,Highest qualification,2.First degree,31.68,,,,1209,2018-2021,Percentage,
IN23,Highest qualification of young people ,K02000001,United Kingdom,Country,25-29,Lower working,Highest qualification,2.First degree,20.37,,,,872,2018-2021,Percentage,
IN23,Highest qualification of young people ,K02000001,United Kingdom,Country,25-29,Total,Highest qualification,2.First degree,34.95,,,,7820,2018-2021,Percentage,
IN23,Highest qualification of young people ,K02000001,United Kingdom,Country,25-29,Higher professional,Highest qualification,3.Further education below degree,5.12,,,,288,2018-2021,Percentage,
IN23,Highest qualification of young people ,K02000001,United Kingdom,Country,25-29,Lower professional,Highest qualification,3.Further education below degree,5.42,,,,410,2018-2021,Percentage,
IN23,Highest qualification of young people ,K02000001,United Kingdom,Country,25-29,Intermediate,Highest qualification,3.Further education below degree,6.03,,,,456,2018-2021,Percentage,
IN23,Highest qualification of young people ,K02000001,United Kingdom,Country,25-29,Higher working,Highest qualification,3.Further education below degree,8.59,,,,379,2018-2021,Percentage,
IN23,Highest qualification of young people ,K02000001,United Kingdom,Country,25-29,Lower working,Highest qualification,3.Further education below degree,4.59,,,,357,2018-2021,Percentage,
IN23,Highest qualification of young people ,K02000001,United Kingdom,Country,25-29,Total,Highest qualification,3.Further education below degree,5.84,,,,1890,2018-2021,Percentage,
IN23,Highest qualification of young people ,K02000001,United Kingdom,Country,25-29,Higher professional,Highest qualification,4.A level and equivalent,16.39,,,,843,2018-2021,Percentage,
IN23,Highest qualification of young people ,K02000001,United Kingdom,Country,25-29,Lower professional,Highest qualification,4.A level and equivalent,21.42,,,,1265,2018-2021,Percentage,
IN23,Highest qualification of young people ,K02000001,United Kingdom,Country,25-29,Intermediate,Highest qualification,4.A level and equivalent,28.34,,,,1788,2018-2021,Percentage,
IN23,Highest qualification of young people ,K02000001,United Kingdom,Country,25-29,Higher working,Highest qualification,4.A level and equivalent,30.24,,,,1671,2018-2021,Percentage,
IN23,Highest qualification of young people ,K02000001,United Kingdom,Country,25-29,Lower working,Highest qualification,4.A level and equivalent,30.14,,,,1645,2018-2021,Percentage,
IN23,Highest qualification of young people ,K02000001,United Kingdom,Country,25-29,Total,Highest qualification,4.A level and equivalent,24.98,,,,7212,2018-2021,Percentage,
IN23,Highest qualification of young people ,K02000001,United Kingdom,Country,25-29,Higher professional,Highest qualification,"5.O level, GCSE and equivalent",3.74,,,,255,2018-2021,Percentage,
IN23,Highest qualification of young people ,K02000001,United Kingdom,Country,25-29,Lower professional,Highest qualification,"5.O level, GCSE and equivalent",9.55,,,,467,2018-2021,Percentage,
IN23,Highest qualification of young people ,K02000001,United Kingdom,Country,25-29,Intermediate,Highest qualification,"5.O level, GCSE and equivalent",8.58,,,,765,2018-2021,Percentage,
IN23,Highest qualification of young people ,K02000001,United Kingdom,Country,25-29,Higher working,Highest qualification,"5.O level, GCSE and equivalent",10.93,,,,751,2018-2021,Percentage,
IN23,Highest qualification of young people ,K02000001,United Kingdom,Country,25-29,Lower working,Highest qualification,"5.O level, GCSE and equivalent",17.19,,,,949,2018-2021,Percentage,
IN23,Highest qualification of young people ,K02000001,United Kingdom,Country,25-29,Total,Highest qualification,"5.O level, GCSE and equivalent",9.75,,,,3187,2018-2021,Percentage,
IN23,Highest qualification of young people ,K02000001,United Kingdom,Country,25-29,Higher professional,Highest qualification,6.Lower level (below CSE grade 1),3.37,1.802,4.938,0.8,158,2018-2021,Percentage,
IN23,Highest qualification of young people ,K02000001,United Kingdom,Country,25-29,Lower professional,Highest qualification,6.Lower level (below CSE grade 1),3.68,2.112,5.248,0.8,264,2018-2021,Percentage,
IN23,Highest qualification of young people ,K02000001,United Kingdom,Country,25-29,Intermediate,Highest qualification,6.Lower level (below CSE grade 1),9.06,6.904,11.216,1.1,682,2018-2021,Percentage,
IN23,Highest qualification of young people ,K02000001,United Kingdom,Country,25-29,Higher working,Highest qualification,6.Lower level (below CSE grade 1),7.9,5.352,10.448,1.3,674,2018-2021,Percentage,
IN23,Highest qualification of young people ,K02000001,United Kingdom,Country,25-29,Lower working,Highest qualification,6.Lower level (below CSE grade 1),20.25,16.722,23.778,1.8,1148,2018-2021,Percentage,
IN23,Highest qualification of young people ,K02000001,United Kingdom,Country,25-29,Total,Highest qualification,6.Lower level (below CSE grade 1),8.61,7.63,9.59,0.5,2926,2018-2021,Percentage,
IN31,Economic activity of young people ,K02000001,United Kingdom,Country,25-29,Higher professional,,,90.32,87.9092,92.7308,1.23,577,2021,Percentage,
