Ind_code,Ind_name,Area_code,Area_name,Area_type,Age,SEB,Category_type,Category,Value,LCI,UCI,SE,Sample_size,Time_period,Unit,Value_note
DR32,Youth unemployment,TLI3,"Inner London - West",ITL2,16-24,,,,24.3,15.088,33.512,4.7,84,2018-2021,Percentage,
DR32,Youth unemployment,TLI4,"Inner London - East",ITL2,16-24,,,,24.5,18.228,30.772,3.2,187,2018-2021,Percentage,
DR32,Youth unemployment,TLI6,"Outer London - South",ITL2,16-24,,,,23,16.532,29.468,3.3,159,2018-2021,Percentage,
DR32,Youth unemployment,TLI5,"Outer London - East and North East",ITL2,16-24,,,,18.2,12.908,23.492,2.7,206,2018-2021,Percentage,
DR32,Youth unemployment,TLI7,"Outer London - West and North West",ITL2,16-24,,,,21.7,15.82,27.58,3,193,2018-2021,Percentage,
DR32,Youth unemployment,TLH2,"Bedfordshire and Hertfordshire",ITL2,16-24,,,,12.4,9.264,15.536,1.6,431,2018-2021,Percentage,
DR32,Youth unemployment,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",ITL2,16-24,,,,11.8,8.86,14.74,1.5,465,2018-2021,Percentage,
DR32,Youth unemployment,TLD6,"Cheshire",ITL2,16-24,,,,10.8,6.488,15.112,2.2,192,2018-2021,Percentage,
DR32,Youth unemployment,TLK3,"Cornwall and Isles of Scilly",ITL2,16-24,,,,12.6,7.112,18.088,2.8,137,2018-2021,Percentage,
DR32,Youth unemployment,TLD1,"Cumbria",ITL2,16-24,,,,10.9,5.608,16.192,2.7,130,2018-2021,Percentage,
DR32,Youth unemployment,TLF1,"Derbyshire and Nottinghamshire",ITL2,16-24,,,,16,12.472,19.528,1.8,406,2018-2021,Percentage,
DR32,Youth unemployment,TLK4,"Devon",ITL2,16-24,,,,12.2,8.28,16.12,2,266,2018-2021,Percentage,
DR32,Youth unemployment,TLK2,"Dorset and Somerset",ITL2,16-24,,,,11.7,7.78,15.62,2,263,2018-2021,Percentage,
DR32,Youth unemployment,TLH1,"East Anglia",ITL2,16-24,,,,13.8,10.86,16.74,1.5,503,2018-2021,Percentage,
DR32,Youth unemployment,TLE1,"East Yorkshire and Northern Lincolnshire",ITL2,16-24,,,,18.5,12.424,24.576,3.1,157,2018-2021,Percentage,
DR32,Youth unemployment,TLH3,"Essex",ITL2,16-24,,,,10.7,7.368,14.032,1.7,346,2018-2021,Percentage,
DR32,Youth unemployment,TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",ITL2,16-24,,,,10.5,7.952,13.048,1.3,533,2018-2021,Percentage,
DR32,Youth unemployment,TLD3,"Greater Manchester",ITL2,16-24,,,,18.9,15.176,22.624,1.9,416,2018-2021,Percentage,
DR32,Youth unemployment,TLJ3,"Hampshire and Isle of Wight",ITL2,16-24,,,,12.7,9.172,16.228,1.8,363,2018-2021,Percentage,
DR32,Youth unemployment,TLG1,"Herefordshire, Worcestershire and Warwickshire",ITL2,16-24,,,,10.9,6.98,14.82,2,238,2018-2021,Percentage,
DR32,Youth unemployment,TLJ4,"Kent",ITL2,16-24,,,,14.9,10.98,18.82,2,310,2018-2021,Percentage,
DR32,Youth unemployment,TLD4,"Lancashire",ITL2,16-24,,,,11.7,7.976,15.424,1.9,300,2018-2021,Percentage,
DR32,Youth unemployment,TLF2,"Leicestershire, Rutland and Northamptonshire",ITL2,16-24,,,,15.7,11.976,19.424,1.9,386,2018-2021,Percentage,
DR32,Youth unemployment,TLF3,"Lincolnshire",ITL2,16-24,,,,13.5,8.208,18.792,2.7,157,2018-2021,Percentage,
DR32,Youth unemployment,TLD7,"Merseyside",ITL2,16-24,,,,11.5,7.188,15.812,2.2,211,2018-2021,Percentage,
DR32,Youth unemployment,TLE2,"North Yorkshire",ITL2,16-24,,,,10.4,6.088,14.712,2.2,190,2018-2021,Percentage,
DR32,Youth unemployment,TLN0,"Northern Ireland",ITL2,16-24,,,,9.5,7.54,11.46,1,839,2018-2021,Percentage,
DR32,Youth unemployment,TLC2,"Northumberland and Tyne and Wear",ITL2,16-24,,,,15.7,11.388,20.012,2.2,267,2018-2021,Percentage,
DR32,Youth unemployment,TLG2,"Shropshire and Staffordshire",ITL2,16-24,,,,13.3,9.576,17.024,1.9,309,2018-2021,Percentage,
DR32,Youth unemployment,TLE3,"South Yorkshire",ITL2,16-24,,,,12.8,8.488,17.112,2.2,225,2018-2021,Percentage,
DR32,Youth unemployment,TLJ2,"Surrey, East and West Sussex",ITL2,16-24,,,,11.5,8.56,14.44,1.5,462,2018-2021,Percentage,
DR32,Youth unemployment,TLC1,"Tees Valley and Durham",ITL2,16-24,,,,15.8,11.292,20.308,2.3,245,2018-2021,Percentage,
DR32,Youth unemployment,TLG3,"West Midlands",ITL2,16-24,,,,17.4,14.068,20.732,1.7,491,2018-2021,Percentage,
DR32,Youth unemployment,TLE4,"West Yorkshire",ITL2,16-24,,,,15.7,12.172,19.228,1.8,398,2018-2021,Percentage,
DR32,Youth unemployment,TLL1,"West Wales and The Valleys",ITL2,16-24,,,,12.6,9.268,15.932,1.7,367,2018-2021,Percentage,
DR32,Youth unemployment,TLL2,"East Wales",ITL2,16-24,,,,14.3,9.596,19.004,2.4,215,2018-2021,Percentage,
DR32,Youth unemployment,TLM6,"Highlands and Islands",ITL2,16-24,,,,4.2,-0.504,8.904,2.4,69,2018-2021,Percentage,
DR32,Youth unemployment,TLM7,"Eastern Scotland",ITL2,16-24,,,,12.2,8.672,15.728,1.8,336,2018-2021,Percentage,
DR32,Youth unemployment,TLM8,"West Central Scotland",ITL2,16-24,,,,10.6,7.072,14.128,1.8,280,2018-2021,Percentage,
DR32,Youth unemployment,TLM9,"Southern Scotland",ITL2,16-24,,,,15,9.512,20.488,2.8,161,2018-2021,Percentage,
DR32,Youth unemployment,TLM5,"North Eastern Scotland",ITL2,16-24,,,,13.1,6.24,19.96,3.5,95,2018-2021,Percentage,
