Region,Index of childhood poverty and disadvantage,Quintile
Bedfordshire and Hertfordshire,0.263436498,2
"Berkshire, Buckinghamshire and Oxfordshire",0.165000597,1
Cheshire,0.223892788,1
Cornwall and Isles of Scilly,0.390466631,3
Cumbria,0.329367943,2
Derbyshire and Nottinghamshire,0.43657324,4
Devon,0.304115598,2
Dorset and Somerset,0.228298874,1
East Anglia,0.375048584,3
East Wales,0.385473243,3
East Yorkshire and Northern Lincolnshire,0.623857298,5
Eastern Scotland,0.304781463,2
Essex,0.289326944,2
"Gloucestershire, Wiltshire and Bath/Bristol area",0.18653779,1
Greater Manchester,0.638230272,5
Hampshire and Isle of Wight,0.263857817,2
"Herefordshire, Worcestershire and Warwickshire",0.26956072,2
Highlands and Islands,0,1
Inner London - East,0.998637194,5
Inner London - West,0.611177687,5
Kent,0.349428005,3
Lancashire,0.466605009,4
"Leicestershire, Rutland and Northamptonshire",0.415318188,3
Lincolnshire,0.422947402,3
Merseyside,0.440576043,4
North Eastern Scotland,0,1
North Yorkshire,0.17060666,1
Northern Ireland,0.343050828,2
"Northumberland, and Tyne and Wear",0.595625478,4
Outer London - East and North East,0.698109398,5
Outer London - South,0.441122923,4
Outer London - West and North West,0.652368431,5
Shropshire and Staffordshire,0.400215916,3
South Yorkshire,0.547996936,4
Southern Scotland,0.36693868,3
"Surrey, East and West Sussex",0,1
Tees Valley and Durham,0.608387493,5
West Central Scotland,0.387278698,3
West Midlands,0.775057231,5
West Wales and The Valleys,0.440964795,4
West Yorkshire,0.626413647,5
