year,ind_code,ind_name,area_type,area_code,area_name,time_period,seb,age,sex,category_type,category,category_type2,category2,value,sample_size,lci,uci,se,unit,value_note
2014,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2014,Total,40,Total,Highest qualification,Lower level (below CSE grade 1),NA,NA,17.24051669,3804,16.04013367,18.4408997,0.612440313,Percentage,NA
2015,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2015,Total,40,Total,Highest qualification,Lower level (below CSE grade 1),NA,NA,16.89647376,3629,15.67728668,18.11566084,0.622034226,Percentage,NA
2016,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2016,Total,40,Total,Highest qualification,Lower level (below CSE grade 1),NA,NA,16.37665598,3365,15.12628204,17.62702993,0.63794589,Percentage,NA
2017,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2017,Total,40,Total,Highest qualification,Lower level (below CSE grade 1),NA,NA,15.84025866,3214,14.57794737,17.10256995,0.644036371,Percentage,NA
2018,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2018,Total,40,Total,Highest qualification,Lower level (below CSE grade 1),NA,NA,15.80367669,3122,14.52410314,17.08325024,0.652843647,Percentage,NA
2019,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2019,Total,40,Total,Highest qualification,Lower level (below CSE grade 1),NA,NA,15.91734066,3073,14.62385009,17.21083123,0.659944167,Percentage,NA
2020,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2020,Total,40,Total,Highest qualification,Lower level (below CSE grade 1),NA,NA,13.39511148,1724,11.78731227,15.00291069,0.820305718,Percentage,NA
2021,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2021,Total,40,Total,Highest qualification,Lower level (below CSE grade 1),NA,NA,13.49446683,2010,12.00078585,14.98814781,0.762082133,Percentage,NA
2022,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2022,Total,40,Total,Highest qualification,Lower level (below CSE grade 1),NA,NA,13.49331203,1604,11.82130533,15.16531873,0.853064643,Percentage,NA
2014,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2014,Total,40,Total,Highest qualification,"O level, GCSE and equivalent",NA,NA,16.30403183,3753,15.12217038,17.48589327,0.602990533,Percentage,NA
2015,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2015,Total,40,Total,Highest qualification,"O level, GCSE and equivalent",NA,NA,15.8275429,3490,14.61656809,17.03851772,0.617844292,Percentage,NA
2016,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2016,Total,40,Total,Highest qualification,"O level, GCSE and equivalent",NA,NA,14.97941422,3189,13.74079369,16.21803475,0.631949249,Percentage,NA
2017,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2017,Total,40,Total,Highest qualification,"O level, GCSE and equivalent",NA,NA,14.73050085,3036,13.46980361,15.99119808,0.643212875,Percentage,NA
2018,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2018,Total,40,Total,Highest qualification,"O level, GCSE and equivalent",NA,NA,14.75727739,3010,13.49019575,16.02435904,0.646470228,Percentage,NA
2019,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2019,Total,40,Total,Highest qualification,"O level, GCSE and equivalent",NA,NA,13.72923742,2823,12.45967032,14.99880452,0.647738315,Percentage,NA
2020,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2020,Total,40,Total,Highest qualification,"O level, GCSE and equivalent",NA,NA,13.29931286,1960,11.7959843,14.80264141,0.767004365,Percentage,NA
2021,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2021,Total,40,Total,Highest qualification,"O level, GCSE and equivalent",NA,NA,12.95025862,2319,11.58369876,14.31681849,0.697224419,Percentage,NA
2022,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2022,Total,40,Total,Highest qualification,"O level, GCSE and equivalent",NA,NA,17.25678525,2327,15.72144717,18.79212333,0.783335756,Percentage,NA
2014,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2014,Total,40,Total,Highest qualification,A level and equivalent,NA,NA,26.49267058,5985,25.37464385,27.6106973,0.5704218,Percentage,NA
2015,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2015,Total,40,Total,Highest qualification,A level and equivalent,NA,NA,25.32002286,5552,24.17618234,26.46386338,0.583592103,Percentage,NA
2016,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2016,Total,40,Total,Highest qualification,A level and equivalent,NA,NA,25.32756274,5363,24.16362691,26.49149856,0.593844809,Percentage,NA
2017,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2017,Total,40,Total,Highest qualification,A level and equivalent,NA,NA,25.39266322,5201,24.20973732,26.57558911,0.603533621,Percentage,NA
2018,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2018,Total,40,Total,Highest qualification,A level and equivalent,NA,NA,25.09353406,5097,23.90328095,26.28378717,0.607271993,Percentage,NA
2019,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2019,Total,40,Total,Highest qualification,A level and equivalent,NA,NA,25.05851598,5098,23.86893237,26.2480996,0.606930416,Percentage,NA
2020,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2020,Total,40,Total,Highest qualification,A level and equivalent,NA,NA,24.77807918,3558,23.35948188,26.19667647,0.72377413,Percentage,NA
2021,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2021,Total,40,Total,Highest qualification,A level and equivalent,NA,NA,23.4319325,4128,22.13977896,24.72408605,0.659262014,Percentage,NA
2022,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2022,Total,40,Total,Highest qualification,A level and equivalent,NA,NA,19.06485244,2633,17.56442172,20.56528316,0.765525878,Percentage,NA
2014,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2014,Total,40,Total,Highest qualification,Further education below degree,NA,NA,10.30994782,2434,9.101866536,11.5180291,0.616368002,Percentage,NA
2015,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2015,Total,40,Total,Highest qualification,Further education below degree,NA,NA,10.33828923,2325,9.100711627,11.57586684,0.631417146,Percentage,NA
2016,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2016,Total,40,Total,Highest qualification,Further education below degree,NA,NA,10.02694014,2154,8.758489191,11.29539109,0.647168852,Percentage,NA
2017,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2017,Total,40,Total,Highest qualification,Further education below degree,NA,NA,9.961613785,2103,8.681598558,11.24162901,0.653068994,Percentage,NA
2018,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2018,Total,40,Total,Highest qualification,Further education below degree,NA,NA,9.202751729,1933,7.914100653,10.4914028,0.657475039,Percentage,NA
2019,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2019,Total,40,Total,Highest qualification,Further education below degree,NA,NA,9.29792575,1972,8.016172987,10.57967851,0.653955492,Percentage,NA
2020,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2020,Total,40,Total,Highest qualification,Further education below degree,NA,NA,9.2729202,1444,7.776859543,10.76898086,0.763296254,Percentage,NA
2021,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2021,Total,40,Total,Highest qualification,Further education below degree,NA,NA,8.649558855,1681,7.305790164,9.993327547,0.685596271,Percentage,NA
2022,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2022,Total,40,Total,Highest qualification,Further education below degree,NA,NA,8.097271434,1226,6.57025262,9.624290248,0.779091232,Percentage,NA
2014,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2014,Total,40,Total,Highest qualification,Degree level or above,NA,NA,29.65283309,6777,28.56542207,30.74024411,0.554801542,Percentage,NA
2015,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2015,Total,40,Total,Highest qualification,Degree level or above,NA,NA,31.61767124,6896,30.52019702,32.71514546,0.559935827,Percentage,NA
2016,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2016,Total,40,Total,Highest qualification,Degree level or above,NA,NA,33.28942692,6939,32.18061439,34.39823944,0.565720676,Percentage,NA
2017,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2017,Total,40,Total,Highest qualification,Degree level or above,NA,NA,34.07496349,7000,32.96463895,35.18528804,0.566492115,Percentage,NA
2018,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2018,Total,40,Total,Highest qualification,Degree level or above,NA,NA,35.14276013,7077,34.03044297,36.25507729,0.567508757,Percentage,NA
2019,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2019,Total,40,Total,Highest qualification,Degree level or above,NA,NA,35.99698019,7251,34.89216309,37.10179729,0.563682192,Percentage,NA
2020,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2020,Total,40,Total,Highest qualification,Degree level or above,NA,NA,39.25457628,6136,38.03273351,40.47641906,0.623389172,Percentage,NA
2021,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2021,Total,40,Total,Highest qualification,Degree level or above,NA,NA,41.47378319,8078,40.39938269,42.54818368,0.548163517,Percentage,NA
2022,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2022,Total,40,Total,Highest qualification,Degree level or above,NA,NA,42.08777884,6141,40.85297026,43.32258741,0.630004375,Percentage,NA
