year,ind_code,ind_name,area_type,area_code,area_name,time_period,seb,age,sex,category_type,category,category_type2,category2,value,sample_size,lci,uci,se,unit,value_note
2014,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2014,Total,40,Total,Highest qualification,A level and equivalent,NA,NA,26.4926705766981,5985,25.3746438488871,27.6106973045091,0.570421799903581,Percentage,NA
2015,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2015,Total,40,Total,Highest qualification,A level and equivalent,NA,NA,25.3200228611437,5552,24.1761823401578,26.4638633821297,0.583592102543868,Percentage,NA
2016,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2016,Total,40,Total,Highest qualification,A level and equivalent,NA,NA,25.3275627385495,5363,24.1636269122499,26.4914985648491,0.593844809336534,Percentage,NA
2017,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2017,Total,40,Total,Highest qualification,A level and equivalent,NA,NA,25.3926632171103,5201,24.2097373202939,26.5755891139267,0.603533620824694,Percentage,NA
2018,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2018,Total,40,Total,Highest qualification,A level and equivalent,NA,NA,25.0935340601633,5097,23.903280954691,26.2837871656357,0.607271992587923,Percentage,NA
2019,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2019,Total,40,Total,Highest qualification,A level and equivalent,NA,NA,25.0585159820954,5098,23.8689323661881,26.2480995980028,0.606930416279252,Percentage,NA
2020,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2020,Total,40,Total,Highest qualification,A level and equivalent,NA,NA,24.7780791768717,3558,23.3594818824148,26.1966764713287,0.72377412982497,Percentage,NA
2021,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2021,Total,40,Total,Highest qualification,A level and equivalent,NA,NA,23.4319325022999,4128,22.1397789557864,24.7240860488134,0.659262013527286,Percentage,NA
2022,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2022,Total,40,Total,Highest qualification,A level and equivalent,NA,NA,19.064852444187,2633,17.5644217241404,20.5652831642335,0.765525877574783,Percentage,NA
2014,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2014,Total,40,Total,Highest qualification,Degree level or above,NA,NA,29.6528330878481,6777,28.5654220652455,30.7402441104507,0.554801542144184,Percentage,NA
2015,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2015,Total,40,Total,Highest qualification,Degree level or above,NA,NA,31.6176712397794,6896,30.52019701825,32.7151454613089,0.55993582731093,Percentage,NA
2016,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2016,Total,40,Total,Highest qualification,Degree level or above,NA,NA,33.2894269175426,6939,32.1806143932424,34.3982394418428,0.565720675663365,Percentage,NA
2017,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2017,Total,40,Total,Highest qualification,Degree level or above,NA,NA,34.0749634916772,7000,32.9646389468436,35.1852880365109,0.566492114711051,Percentage,NA
2018,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2018,Total,40,Total,Highest qualification,Degree level or above,NA,NA,35.1427601305906,7077,34.0304429663857,36.2550772947954,0.567508757247384,Percentage,NA
2019,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2019,Total,40,Total,Highest qualification,Degree level or above,NA,NA,35.9969801889512,7251,34.8921630926029,37.1017972852994,0.563682192014416,Percentage,NA
2020,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2020,Total,40,Total,Highest qualification,Degree level or above,NA,NA,39.2545762822763,6136,38.0327335055669,40.4764190589857,0.623389171790492,Percentage,NA
2021,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2021,Total,40,Total,Highest qualification,Degree level or above,NA,NA,41.4737831863668,8078,40.3993826923692,42.5481836803644,0.548163517345704,Percentage,NA
2022,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2022,Total,40,Total,Highest qualification,Degree level or above,NA,NA,42.0877788358037,6141,40.8529702598238,43.3225874117837,0.630004375499993,Percentage,NA
2014,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2014,Total,40,Total,Highest qualification,Further education below degree,NA,NA,10.3099478202278,2434,9.10186653555009,11.5180291049056,0.616368002386601,Percentage,NA
2015,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2015,Total,40,Total,Highest qualification,Further education below degree,NA,NA,10.33828923325,2325,9.10071162672703,11.5758668397729,0.631417146185175,Percentage,NA
2016,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2016,Total,40,Total,Highest qualification,Further education below degree,NA,NA,10.0269401416592,2154,8.75848919102095,11.2953910922974,0.647168852366449,Percentage,NA
2017,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2017,Total,40,Total,Highest qualification,Further education below degree,NA,NA,9.96161378521477,2103,8.68159855765824,11.2416290127713,0.653068993651291,Percentage,NA
2018,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2018,Total,40,Total,Highest qualification,Further education below degree,NA,NA,9.20275172888326,1933,7.91410065298951,10.491402804777,0.657475038721299,Percentage,NA
2019,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2019,Total,40,Total,Highest qualification,Further education below degree,NA,NA,9.29792575007765,1972,8.01617298673464,10.5796785134207,0.653955491501535,Percentage,NA
2020,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2020,Total,40,Total,Highest qualification,Further education below degree,NA,NA,9.27292020016115,1444,7.77685954274913,10.7689808575732,0.763296253781643,Percentage,NA
2021,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2021,Total,40,Total,Highest qualification,Further education below degree,NA,NA,8.64955885547002,1681,7.30579016408327,9.99332754685677,0.685596271115687,Percentage,NA
2022,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2022,Total,40,Total,Highest qualification,Further education below degree,NA,NA,8.09727143375768,1226,6.57025261952356,9.62429024799179,0.779091231752098,Percentage,NA
2014,DR13,Distribution of parental education,Country,K02000001,United Kingdom,2014,Total,40,Total,Highest qualification,Lower level (below CSE grade 1),NA,NA,17.2405166873248,3804,16.0401336738507,18.4408997007989,0.612440312996987,Percentage,NA
