Region,Difference compared to average
Bedfordshire and Hertfordshire,-0.23
"Berkshire, Buckinghamshire and Oxfordshire",-0.43
Cheshire,-0.77
Cornwall and Isles of Scilly,-0.33
Cumbria,-0.17
Derbyshire and Nottinghamshire,0.03
Devon,-0.74
Dorset and Somerset,-0.5
East Anglia,-0.73
East Wales,-1.06
East Yorkshire and Northern Lincolnshire,-0.9
Eastern Scotland,0.85
Essex,-0.9
"Gloucestershire, Wiltshire and Bath/Bristol area",-0.83
Greater Manchester,0.52
Hampshire and Isle of Wight,-0.68
"Herefordshire, Worcestershire and Warwickshire",0.02
Highlands and Islands,-0.68
Inner London - East,0.6
Inner London - West,0.85
Kent,-0.36
Lancashire,1.91
"Leicestershire, Rutland and Northamptonshire",-0.56
Lincolnshire,0.7
Merseyside,0.67
North Eastern Scotland,1.52
North Yorkshire,-0.53
Northern Ireland,-0.51
Northumberland and Tyne and Wear,2.36
Outer London - East and North East,0.25
Outer London - South,1.45
Outer London - West and North West,1.71
Shropshire and Staffordshire,-0.31
South Yorkshire,-0.12
Southern Scotland,-0.87
"Surrey, East and West Sussex",-0.88
Tees Valley and Durham,0.46
West Central Scotland,-0.48
West Midlands,0.42
West Wales and The Valleys,-0.42
West Yorkshire,-0.32
