Socio-economic background,Disabled,Lower working (%),Higher working (%),Intermediate (%),Lower professional (%),Higher professional (%)
Higher professional,Yes,22.28388781,12.92620477,20.63061688,26.13134602,18.02794452
,No,10.9401342,11.38861792,17.07259663,34.79958517,25.79906607
Lower professional,Yes,25.8843888,18.08917495,18.46188398,27.41832467,10.1462276
,No,12.90835748,15.52043982,19.66316057,32.50480502,19.40323711
Intermediate,Yes,30.9433551,21.58002598,21.38486533,18.97990643,7.111847161
,No,16.82820638,19.98187444,22.63754679,26.64972851,13.90264388
Higher working,Yes,35.46941004,25.30925587,15.7345317,17.1538143,6.332988073
,No,17.82869807,26.6185925,20.24793274,24.94071717,10.36405952
Lower working,Yes,48.1074721,23.55273537,15.31903917,10.55953266,2.461220704
,No,26.13525961,27.43590152,20.19280149,19.24181398,6.994223395
