Region,Lower working (%),Higher professional (%)
Bedfordshire and Hertfordshire,21.7,14.8
"Berkshire, Buckinghamshire and Oxfordshire",18.3,15.1
Cheshire,24.8,13.9
Cornwall and Isles of Scilly,24.8,12.3
Cumbria,18.1,15.6
Derbyshire and Nottinghamshire,24.9,11.3
Devon,21.7,12.1
Dorset and Somerset,20.8,17.9
East Anglia,21.1,13.8
East Wales,24.4,11.3
East Yorkshire and Northern Lincolnshire,26.4,11.7
Eastern Scotland,25.7,9.8
Essex,16.8,12.7
"Gloucestershire, Wiltshire and Bath/Bristol area",18.9,11.2
Greater Manchester,27.1,11.8
Hampshire and Isle of Wight,19.1,15.2
"Herefordshire, Worcestershire and Warwickshire",21.6,13.2
Highlands and Islands,32.2,8.2
Inner London - East,25.9,13.2
Inner London - West,31.2,18.7
Kent,19.1,12
Lancashire,20.7,11.1
"Leicestershire, Rutland and Northamptonshire",17.8,13.4
Lincolnshire,17.7,5.7
Merseyside,24.4,9.3
North Eastern Scotland,22.3,11.8
North Yorkshire,11.7,12.6
Northern Ireland,28.2,11.9
Northumberland and Tyne and Wear,28,8.7
Outer London - East and North East,22.2,15.1
Outer London - South,23.6,13.7
Outer London - West and North West,26.3,11.2
Shropshire and Staffordshire,24.4,11.5
South Yorkshire,24.9,11.1
Southern Scotland,20.8,6.6
"Surrey, East and West Sussex",18.5,17.2
Tees Valley and Durham,25.7,8.4
West Central Scotland,28.6,10.2
West Midlands,26,11.3
West Wales and The Valleys,26.2,11.4
West Yorkshire,24.6,10.5
