"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","group_number"
"ci3","Innovation and Growth","composite_index",,"Local Authority","Aberdeen City","time_period","2018 to 2024","zscore_category","Favourable",,,,,"2018 to 2024",1.108,,,,"z-score",,6
"ci3","Innovation and Growth","composite_index",,"Local Authority","Aberdeenshire","time_period","2018 to 2024","zscore_category","Middling",,,,,"2018 to 2024",-0.044,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Angus","time_period","2018 to 2024","zscore_category","Middling",,,,,"2018 to 2024",-0.403,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Argyll and Bute Islands","time_period","2018 to 2024","zscore_category","Lower Middling",,,,,"2018 to 2024",-0.955,,,,"z-score",,3
"ci3","Innovation and Growth","composite_index",,"Local Authority","Barking and Dagenham","time_period","2018 to 2024","zscore_category","Lower Middling",,,,,"2018 to 2024",-0.691,,,,"z-score",,3
"ci3","Innovation and Growth","composite_index",,"Local Authority","Barnet","time_period","2018 to 2024","zscore_category","Favourable",,,,,"2018 to 2024",1.38,,,,"z-score",,6
"ci3","Innovation and Growth","composite_index",,"Local Authority","Barnsley","time_period","2018 to 2024","zscore_category","Unfavourable",,,,,"2018 to 2024",-1.102,,,,"z-score",,2
"ci3","Innovation and Growth","composite_index",,"Local Authority","Bath and North East Somerset","time_period","2018 to 2024","zscore_category","Upper Middling",,,,,"2018 to 2024",0.871,,,,"z-score",,5
"ci3","Innovation and Growth","composite_index",,"Local Authority","Bedford","time_period","2018 to 2024","zscore_category","Middling",,,,,"2018 to 2024",-0.177,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Bexley","time_period","2018 to 2024","zscore_category","Middling",,,,,"2018 to 2024",0.163,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Birmingham","time_period","2018 to 2024","zscore_category","Middling",,,,,"2018 to 2024",0.107,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Blackburn with Darwen","time_period","2018 to 2024","zscore_category","Unfavourable",,,,,"2018 to 2024",-1.116,,,,"z-score",,2
"ci3","Innovation and Growth","composite_index",,"Local Authority","Blackpool","time_period","2018 to 2024","zscore_category","Lower Middling",,,,,"2018 to 2024",-0.919,,,,"z-score",,3
"ci3","Innovation and Growth","composite_index",,"Local Authority","Blaenau Gwent","time_period","2018 to 2024","zscore_category","Unfavourable",,,,,"2018 to 2024",-1.233,,,,"z-score",,2
"ci3","Innovation and Growth","composite_index",,"Local Authority","Bolton","time_period","2018 to 2024","zscore_category","Lower Middling",,,,,"2018 to 2024",-0.825,,,,"z-score",,3
"ci3","Innovation and Growth","composite_index",,"Local Authority","Bournemouth, Christchurch and Poole","time_period","2018 to 2024","zscore_category","Middling",,,,,"2018 to 2024",-0.133,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Bracknell Forest","time_period","2018 to 2024","zscore_category","Middling",,,,,"2018 to 2024",0.326,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Bradford","time_period","2018 to 2024","zscore_category","Middling",,,,,"2018 to 2024",-0.424,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Brent","time_period","2018 to 2024","zscore_category","Upper Middling",,,,,"2018 to 2024",0.763,,,,"z-score",,5
"ci3","Innovation and Growth","composite_index",,"Local Authority","Bridgend","time_period","2018 to 2024","zscore_category","Middling",,,,,"2018 to 2024",-0.352,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Brighton and Hove","time_period","2018 to 2024","zscore_category","Favourable",,,,,"2018 to 2024",1.093,,,,"z-score",,6
"ci3","Innovation and Growth","composite_index",,"Local Authority","Bristol, City of","time_period","2018 to 2024","zscore_category","Favourable",,,,,"2018 to 2024",1.495,,,,"z-score",,6
"ci3","Innovation and Growth","composite_index",,"Local Authority","Bromley","time_period","2018 to 2024","zscore_category","Upper Middling",,,,,"2018 to 2024",0.985,,,,"z-score",,5
"ci3","Innovation and Growth","composite_index",,"Local Authority","Buckinghamshire","time_period","2018 to 2024","zscore_category","Middling",,,,,"2018 to 2024",0.2,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Bury","time_period","2018 to 2024","zscore_category","Middling",,,,,"2018 to 2024",-0.141,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Caerphilly","time_period","2018 to 2024","zscore_category","Lower Middling",,,,,"2018 to 2024",-0.692,,,,"z-score",,3
"ci3","Innovation and Growth","composite_index",,"Local Authority","Calderdale","time_period","2018 to 2024","zscore_category","Middling",,,,,"2018 to 2024",-0.396,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Cambridgeshire CC","time_period","2018 to 2024","zscore_category","Upper Middling",,,,,"2018 to 2024",0.821,,,,"z-score",,5
"ci3","Innovation and Growth","composite_index",,"Local Authority","Camden and City of London","time_period","2018 to 2024","zscore_category","Most Favourable",,,,,"2018 to 2024",5.828,,,,"z-score",,7
"ci3","Innovation and Growth","composite_index",,"Local Authority","Cardiff","time_period","2018 to 2024","zscore_category","Upper Middling",,,,,"2018 to 2024",0.852,,,,"z-score",,5
"ci3","Innovation and Growth","composite_index",,"Local Authority","Carmarthenshire","time_period","2018 to 2024","zscore_category","Lower Middling",,,,,"2018 to 2024",-0.654,,,,"z-score",,3
"ci3","Innovation and Growth","composite_index",,"Local Authority","Central Bedfordshire","time_period","2018 to 2024","zscore_category","Middling",,,,,"2018 to 2024",0.189,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Ceredigion","time_period","2018 to 2024","zscore_category","Middling",,,,,"2018 to 2024",0.042,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Cheshire East","time_period","2018 to 2024","zscore_category","Middling",,,,,"2018 to 2024",0.219,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Cheshire West and Chester","time_period","2018 to 2024","zscore_category","Favourable",,,,,"2018 to 2024",1.2,,,,"z-score",,6
"ci3","Innovation and Growth","composite_index",,"Local Authority","City of Edinburgh","time_period","2018 to 2024","zscore_category","Most Favourable",,,,,"2018 to 2024",1.695,,,,"z-score",,7
"ci3","Innovation and Growth","composite_index",,"Local Authority","Clackmannanshire","time_period","2018 to 2024","zscore_category","Lower Middling",,,,,"2018 to 2024",-0.563,,,,"z-score",,3
"ci3","Innovation and Growth","composite_index",,"Local Authority","Conwy","time_period","2018 to 2024","zscore_category","Middling",,,,,"2018 to 2024",-0.427,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Cornwall and Isles of Scilly","time_period","2018 to 2024","zscore_category","Lower Middling",,,,,"2018 to 2024",-0.744,,,,"z-score",,3
"ci3","Innovation and Growth","composite_index",,"Local Authority","Coventry","time_period","2018 to 2024","zscore_category","Middling",,,,,"2018 to 2024",0.307,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Croydon","time_period","2018 to 2024","zscore_category","Upper Middling",,,,,"2018 to 2024",0.621,,,,"z-score",,5
"ci3","Innovation and Growth","composite_index",,"Local Authority","Cumbria","time_period","2018 to 2024","zscore_category","Lower Middling",,,,,"2018 to 2024",-0.604,,,,"z-score",,3
"ci3","Innovation and Growth","composite_index",,"Local Authority","Darlington","time_period","2018 to 2024","zscore_category","Lower Middling",,,,,"2018 to 2024",-0.706,,,,"z-score",,3
"ci3","Innovation and Growth","composite_index",,"Local Authority","Denbighshire","time_period","2018 to 2024","zscore_category","Lower Middling",,,,,"2018 to 2024",-0.759,,,,"z-score",,3
"ci3","Innovation and Growth","composite_index",,"Local Authority","Derby","time_period","2018 to 2024","zscore_category","Middling",,,,,"2018 to 2024",-0.142,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Derbyshire","time_period","2018 to 2024","zscore_category","Lower Middling",,,,,"2018 to 2024",-0.512,,,,"z-score",,3
"ci3","Innovation and Growth","composite_index",,"Local Authority","Devon CC","time_period","2018 to 2024","zscore_category","Middling",,,,,"2018 to 2024",-0.307,,,,"z-score",,4
"ci3","Innovation and Growth","composite_index",,"Local Authority","Doncaster","time_period","2018 to 2024","zscore_category","Unfavourable",,,,,"2018 to 2024",-1.142,,,,"z-score",,2
"ci3","Innovation and Growth","composite_index",,"Local Authority","Dorset","time_period","2018 to 2024","zscore_category","Lower Middling",,,,,"2018 to 2024",-0.664,,,,"z-score",,3
"ci3","Innovation and Growth","composite_index",,"Local Authority","Dudley","time_period","2018 to 2024","zscore_category","Lower Middling",,,,,"2018 to 2024",-0.774,,,,"z-score",,3
"ci3","Innovation and Growth","composite_index",,"Local Authority","Dumfries and Galloway","time_period","2018 to 2024","zscore_category","Lower Middling",,,,,"2018 to 2024",-0.98,,,,"z-score",,3
