"Region","Mean hourly earnings (£)"
"Bedfordshire and Hertfordshire",26.051
"Berkshire, Buckinghamshire and Oxfordshire",25.186
"Cheshire",23.216
"Cornwall and Isles of Scilly",16.969
"Cumbria",18.196
"Derbyshire and Nottinghamshire",19.523
"Devon",18.989
"Dorset and Somerset",19.515
"East Anglia",19.039
"East Wales",19.012
"East Yorkshire and Northern Lincolnshire",17.191
"Eastern Scotland",21.32
"Essex",22.365
"Gloucestershire, Wiltshire and Bath/Bristol area",21.186
"Greater Manchester",19.621
"Hampshire and Isle of Wight",21.888
"Herefordshire, Worcestershire and Warwickshire",20.55
"Highlands and Islands",19.142
"Inner London - East",24.921
"Inner London - West",34.114
"Kent",21.539
"Lancashire",18.389
"Leicestershire, Rutland and Northamptonshire",18.792
"Lincolnshire",18.375
"Merseyside",19.635
"North Eastern Scotland",26.019
"North Yorkshire",20.261
"Northern Ireland",17.963
"Northumberland, and Tyne and Wear",18.013
"Outer London - East and North East",22.882
"Outer London - South",26.448
"Outer London - West and North West",25.388
"Shropshire and Staffordshire",18.513
"South Yorkshire",18.04
"Southern Scotland",18.447
"Surrey, East and West Sussex",25.152
"Tees Valley and Durham",17.157
"West Central Scotland",20.159
"West Midlands",18.808
"West Wales and The Valleys",17.293
"West Yorkshire",19.193
