"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","group_number"
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Aberdeen City","time_period","2012 to 2017","zscore_category","Upper Middling",,,,,"2012 to 2017",0.856,,,,"z-score",,5
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Aberdeenshire","time_period","2012 to 2017","zscore_category","Middling",,,,,"2012 to 2017",-0.014,,,,"z-score",,4
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Angus","time_period","2012 to 2017","zscore_category","Middling",,,,,"2012 to 2017",-0.455,,,,"z-score",,4
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Argyll and Bute Islands","time_period","2012 to 2017","zscore_category","Unfavourable",,,,,"2012 to 2017",-1.146,,,,"z-score",,2
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Barking and Dagenham","time_period","2012 to 2017","zscore_category","Middling",,,,,"2012 to 2017",-0.054,,,,"z-score",,4
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Barnet","time_period","2012 to 2017","zscore_category","Favourable",,,,,"2012 to 2017",1.083,,,,"z-score",,6
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Barnsley","time_period","2012 to 2017","zscore_category","Middling",,,,,"2012 to 2017",-0.172,,,,"z-score",,4
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Bath and North East Somerset","time_period","2012 to 2017","zscore_category","Middling",,,,,"2012 to 2017",-0.292,,,,"z-score",,4
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Bedford","time_period","2012 to 2017","zscore_category","Middling",,,,,"2012 to 2017",0.206,,,,"z-score",,4
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Bexley","time_period","2012 to 2017","zscore_category","Middling",,,,,"2012 to 2017",0.21,,,,"z-score",,4
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Birmingham","time_period","2012 to 2017","zscore_category","Lower Middling",,,,,"2012 to 2017",-0.901,,,,"z-score",,3
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Blackburn with Darwen","time_period","2012 to 2017","zscore_category","Lower Middling",,,,,"2012 to 2017",-0.55,,,,"z-score",,3
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Blackpool","time_period","2012 to 2017","zscore_category","Middling",,,,,"2012 to 2017",-0.475,,,,"z-score",,4
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Blaenau Gwent","time_period","2012 to 2017","zscore_category","Unfavourable",,,,,"2012 to 2017",-1.336,,,,"z-score",,2
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Bolton","time_period","2012 to 2017","zscore_category","Lower Middling",,,,,"2012 to 2017",-0.535,,,,"z-score",,3
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Bournemouth, Christchurch and Poole","time_period","2012 to 2017","zscore_category","Middling",,,,,"2012 to 2017",-0.215,,,,"z-score",,4
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Bracknell Forest","time_period","2012 to 2017","zscore_category","Favourable",,,,,"2012 to 2017",1.069,,,,"z-score",,6
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Bradford","time_period","2012 to 2017","zscore_category","Lower Middling",,,,,"2012 to 2017",-0.765,,,,"z-score",,3
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Brent","time_period","2012 to 2017","zscore_category","Middling",,,,,"2012 to 2017",0.463,,,,"z-score",,4
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Bridgend","time_period","2012 to 2017","zscore_category","Lower Middling",,,,,"2012 to 2017",-0.503,,,,"z-score",,3
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Brighton and Hove","time_period","2012 to 2017","zscore_category","Middling",,,,,"2012 to 2017",0.357,,,,"z-score",,4
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Bristol, City of","time_period","2012 to 2017","zscore_category","Favourable",,,,,"2012 to 2017",1.31,,,,"z-score",,6
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Bromley","time_period","2012 to 2017","zscore_category","Most Favourable",,,,,"2012 to 2017",2.248,,,,"z-score",,7
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Buckinghamshire","time_period","2012 to 2017","zscore_category","Upper Middling",,,,,"2012 to 2017",0.665,,,,"z-score",,5
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Bury","time_period","2012 to 2017","zscore_category","Middling",,,,,"2012 to 2017",0.221,,,,"z-score",,4
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Caerphilly","time_period","2012 to 2017","zscore_category","Lower Middling",,,,,"2012 to 2017",-0.734,,,,"z-score",,3
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Calderdale","time_period","2012 to 2017","zscore_category","Middling",,,,,"2012 to 2017",-0.244,,,,"z-score",,4
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Cambridgeshire CC","time_period","2012 to 2017","zscore_category","Upper Middling",,,,,"2012 to 2017",0.762,,,,"z-score",,5
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Camden and City of London","time_period","2012 to 2017","zscore_category","Most Favourable",,,,,"2012 to 2017",1.685,,,,"z-score",,7
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Cardiff","time_period","2012 to 2017","zscore_category","Middling",,,,,"2012 to 2017",-0.204,,,,"z-score",,4
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Carmarthenshire","time_period","2012 to 2017","zscore_category","Unfavourable",,,,,"2012 to 2017",-1.101,,,,"z-score",,2
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Central Bedfordshire","time_period","2012 to 2017","zscore_category","Favourable",,,,,"2012 to 2017",1.153,,,,"z-score",,6
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Ceredigion","time_period","2012 to 2017","zscore_category","Unfavourable",,,,,"2012 to 2017",-1.36,,,,"z-score",,2
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Cheshire East","time_period","2012 to 2017","zscore_category","Middling",,,,,"2012 to 2017",-0.188,,,,"z-score",,4
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Cheshire West and Chester","time_period","2012 to 2017","zscore_category","Middling",,,,,"2012 to 2017",0.151,,,,"z-score",,4
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","City of Edinburgh","time_period","2012 to 2017","zscore_category","Favourable",,,,,"2012 to 2017",1.163,,,,"z-score",,6
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Clackmannanshire","time_period","2012 to 2017","zscore_category","Middling",,,,,"2012 to 2017",-0.475,,,,"z-score",,4
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Conwy","time_period","2012 to 2017","zscore_category","Unfavourable",,,,,"2012 to 2017",-1.366,,,,"z-score",,2
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Cornwall and Isles of Scilly","time_period","2012 to 2017","zscore_category","Lower Middling",,,,,"2012 to 2017",-0.871,,,,"z-score",,3
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Coventry","time_period","2012 to 2017","zscore_category","Lower Middling",,,,,"2012 to 2017",-0.739,,,,"z-score",,3
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Croydon","time_period","2012 to 2017","zscore_category","Middling",,,,,"2012 to 2017",0.237,,,,"z-score",,4
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Cumbria","time_period","2012 to 2017","zscore_category","Middling",,,,,"2012 to 2017",-0.34,,,,"z-score",,4
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Darlington","time_period","2012 to 2017","zscore_category","Middling",,,,,"2012 to 2017",-0.358,,,,"z-score",,4
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Denbighshire","time_period","2012 to 2017","zscore_category","Unfavourable",,,,,"2012 to 2017",-1.078,,,,"z-score",,2
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Derby","time_period","2012 to 2017","zscore_category","Middling",,,,,"2012 to 2017",0.305,,,,"z-score",,4
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Derbyshire","time_period","2012 to 2017","zscore_category","Middling",,,,,"2012 to 2017",0.021,,,,"z-score",,4
